"firm","dimension","cells","coder_A","coder_B","evidence_and_basis","recommended_final","resolution_basis"
"META","r4_downstream_deployer","25","1","0","旧仲裁 META 无 deployer 标签（competitor+owner 而已）；自研模型的自用不算部署他人 AI","0","B（与旧仲裁一致）"
"META","r6_competitor (12 家媒体发布方)","12","0","1","旧仲裁 META competitor=13/14（除自身外全部发布方）；旧惯例：大型 AI 实验室对所有发布方编竞争者","1","B（与旧仲裁一致）"
"MSFT","r3_downstream_integrator","24","0","1","旧仲裁 MSFT downstream_integrator=12/14：Copilot 将 LLM 嵌入 Office 全线，符合 R3(a)","1","B（与旧仲裁一致）"
"MSFT","r6_competitor (9 家媒体发布方)","9","0","1","旧仲裁 MSFT competitor=13/14（除自身）；同大实验室全域竞争惯例","1","B（与旧仲裁一致）"
"AAPL","r6_competitor (12 家媒体发布方)","12","0","1","旧仲裁 AAPL competitor=14/14；同上惯例","1","B（与旧仲裁一致）"
"AMZN","r6_competitor (Suno/Udio)","2","0","1","旧仲裁 AMZN competitor=14/14；同上惯例","1","B（与旧仲裁一致）"
"CSCO","r1_upstream_hardware + r4_downstream_deployer","50","R1=1,R4=0","R1=1,R4=1","旧仲裁 CSCO 为 R4=14/14 且 R1=0：企业网络为主体，AI 交换机占比有限","R1=0,R4=1","旧仲裁惯例（A、B 均不完全一致，终值从旧）"
"IDXX","r4_downstream_deployer","25","0","1","IDEXX inVue Dx 等 AI 诊断产品有实际营收，属真实部署","1","B（新证据）"
"MAR","r4_downstream_deployer","25","1","0","AI 客服/定价为试点级，公开证据弱；按保守默认","0","B（保守默认）"
"PCAR","r4_downstream_deployer","25","1","0","Aurora 自动驾驶合作非 PCAR 自身规模化 AI 部署","0","B（保守默认）"
"SBUX","r4_downstream_deployer","25","1","0","Deep Brew 是星巴克具名公开 AI 项目（运营/个性化），证据充分","1","A（证据充分）"
"ADBE","r6_competitor (DeepSeek/Alibaba/xAI)","3","1","0","三家为 LLM 为主的混合实验室；旧仲裁 ADBE competitor=0；两位 coder 已一致对纯媒体发布方编 1（对旧惯例的新偏离，保留）","0","B（与旧仲裁方向一致）"
