source_row_number,release_date,event_name,creator,event_type,aa_match_status,needs_manual_review,aa_model_id,aa_model_name,aa_creator,match_score,match_method
3,2025-05-14,AlphaEvolve,Google,模型,unmatched,1,,,,,no_confident_candidate
4,2024-07-25,AlphaGeometry 2,Google,模型,unmatched,1,,,,,no_confident_candidate
5,2024-07-25,AlphaProof,Google,模型,unmatched,1,,,,,no_confident_candidate
6,2024-12-03,Amazon Nova,Amazon,模型,matched_low_confidence,1,344c6718-c573-41d4-9556-10287a3fa1fc,Nova Micro,Amazon,0.6733,fuzzy_name+creator
12,2025-07-10,ChatGPT Agent,OpenAI,模型,matched_low_confidence,1,eab1492c-b853-4852-aa71-06b0ec2481c1,GPT-5 (ChatGPT),OpenAI,0.6068,fuzzy_name+creator
13,2025-01-20,ChatGPT Atlas,OpenAI,模型,unmatched,1,,,,,no_confident_candidate
15,2023-09-20,DALL-E 3,OpenAI,模型,unmatched,1,,,,,no_confident_candidate
16,2025-11-01,Fara-7B,Microsoft,模型,unmatched,1,,,,,no_confident_candidate
17,2024-06-21,Florence 2,Microsoft,模型,unmatched,1,,,,,no_confident_candidate
18,2024-01-15,Fluid,Nvidia,模型,unmatched,1,,,,,no_confident_candidate
19,2024-02-15,Gemini 1.5,Google,模型,matched_low_confidence,1,94229066-9381-4ee1-bf70-a16d63756a6e,Gemini 1.5 Flash-8B,Google,0.6989,fuzzy_name+creator
20,2025-02-05,Gemini 2.0 Flash,Google,模型,matched_confirmed,0,bcca0e70-7e80-4c07-b1fa-b33bcfb19e51,Gemini 2.0 Flash (Feb '25),Google,1.0,exact_base_name+creator+release_date
21,2025-03-12,Gemini 2.0 Flash Experimental,Google,模型,matched_low_confidence,1,bcca0e70-7e80-4c07-b1fa-b33bcfb19e51,Gemini 2.0 Flash (Feb '25),Google,0.84,ambiguous_base_name+creator
22,2025-04-17,Gemini 2.5 Flash,Google,模型,matched_confirmed,0,68c89ebf-779c-4445-9241-de964cd17355,Gemini 2.5 Flash Preview (Reasoning),Google,1.0,exact_base_name+creator+release_date
23,2025-08-26,Gemini 2.5 Flash Image (Nano Banana),Google,模型,matched_low_confidence,1,6afbfb62-27e4-435e-9c85-d9fe1b92519e,Gemini 2.5 Flash (Non-reasoning),Google,0.7219,fuzzy_name+creator
24,2025-03-25,Gemini 2.5 Pro,Google,模型,matched_confirmed,0,62de31e8-a1a3-429c-b634-a2afccfd9363,Gemini 2.5 Pro Preview (Mar' 25),Google,1.0,exact_base_name+creator+release_date
