"event_id","vendor","model_names","aa_names","official_date","source_url","source_title","source_type","confidence","notes"
"AIT-2023-05-002","Google","PaLM 2","PALM-2","2023-05-10","https://blog.google/innovation-and-ai/products/google-palm-2-ai-large-language-model/","Introducing PaLM 2","Google Blog","high","Article date is the official PaLM 2 announcement."
"AIT-2023-12-002","Google","Gemini Pro","Gemini 1.0 Pro","2023-12-06","https://blog.google/products-and-platforms/products/gemini/google-bard-try-gemini-ai/","Bard gets its biggest upgrade yet with Gemini","Google Blog","high","Article says Gemini Pro starts rolling out in Bard that day."
"AIT-2024-02-003","Google","Gemini Pro 1.5","Gemini 1.5 Pro (May '24)","2024-02-15","https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024/","Our next-generation model: Gemini 1.5","Google Blog","high","Official announcement of Gemini 1.5 Pro early testing; AA record is a later May 2024 snapshot."
"AIT-2024-05-002","Google","Gemini Flash 1.5 model","Gemini 1.5 Flash (May '24)","2024-05-14","https://blog.google/innovation-and-ai/products/google-gemini-update-flash-ai-assistant-io-2024/","Gemini breaks new ground with a faster model, longer context, AI agents and more","Google Blog","high","Official I/O article introduces Gemini 1.5 Flash and preview availability."
"AIT-2024-08-003","Google","Imagen 3","Imagen 3 (v002)","2024-12-16","https://blog.google/innovation-and-ai/models-and-research/google-labs/whisk/","Whisk: Visualize and remix ideas using images and AI","Google Blog","medium","No dated first-party August release page was found; this dated Google Labs post identifies Imagen 3 as the latest image model backing Whisk. Not a pure model-release post."
"AIT-2024-08-006","Google","Gemini 1.5 Flash8B","Gemini 1.5 Flash-8B","2024-10-03","https://ai.google.dev/gemini-api/docs/changelog","Release notes","Google AI for Developers release notes","medium","Dates the stable gemini-1.5-flash-8b-001 AA record; the August experimental announcement was not found as a dated first-party page."
"AIT-2024-09-007","Google","Gemini Pro 1.5 002; Gemini Flash 1.5 002","Gemini 1.5 Pro (Sep '24); Gemini 1.5 Flash (Sep '24)","2024-09-24","https://ai.google.dev/gemini-api/docs/changelog","Release notes","Google AI for Developers release notes","high","Release notes list gemini-1.5-pro-002 and gemini-1.5-flash-002 as released for general availability."
"AIT-2024-12-004","Google","Gemini 2.0 Flash","Gemini 2.0 Flash (experimental)","2024-12-11","https://blog.google/innovation-and-ai/models-and-research/google-deepmind/google-gemini-ai-update-december-2024/","Introducing Gemini 2.0: our new AI model for the agentic era","Google Blog","high","Official Gemini 2.0 launch article; includes Gemini 2.0 Flash Experimental availability."
"AIT-2024-12-005","Google","Gemini-2.0-Flash-Thinking","Gemini 2.0 Flash Thinking Experimental (Dec '24)","2024-12-19","https://ai.google.dev/gemini-api/docs/changelog","Release notes","Google AI for Developers release notes","high","Release notes list Gemini 2.0 Flash Thinking Mode public preview on this date."
"AIT-2024-12-006","Google","Veo 2","Veo 2","","https://deepmind.google/models/veo/","Veo","Google DeepMind model page","low","No dated first-party technical blog or announcement page found in this pass; official date left blank rather than using third-party reports."
"AIT-2025-01-002","Google","Gemini Flash Thinking 0121","Gemini 2.0 Flash Thinking Experimental (Jan '25)","2025-01-21","https://ai.google.dev/gemini-api/docs/changelog","Release notes","Google AI for Developers release notes","high","Release notes list gemini-2.0-flash-thinking-exp-01-21."
"AIT-2025-02-004","Google","Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental","Gemini 2.0 Flash (Feb '25); Gemini 2.0 Flash-Lite (Preview); Gemini 2.0 Pro Experimental (Feb '25)","2025-02-05","https://ai.google.dev/gemini-api/docs/changelog","Release notes","Google AI for Developers release notes","high","Release notes list gemini-2.0-flash-001, gemini-2.0-pro-exp-02-05 and gemini-2.0-flash-lite-preview-02-05."
"AIT-2025-03-001","Google","Gemini 2.5 Pro","Gemini 2.5 Pro","2025-03-25","https://blog.google/innovation-and-ai/models-and-research/google-deepmind/gemini-model-thinking-updates-march-2025/","Gemini 2.5: Our most intelligent AI model","Google Blog","high","Official Gemini 2.5 Pro Experimental announcement; AA record is a later stable release."
"AIT-2025-04-002","Google","Gemini 2.5 Flash","Gemini 2.5 Flash (Reasoning)","2025-04-17","https://developers.googleblog.com/en/start-building-with-gemini-25-flash/","Start building with Gemini 2.5 Flash","Google Developers Blog","high","Official developer blog says Gemini 2.5 Flash is rolling out in preview through the Gemini API."
"AIT-2025-05-004","Google","Veo 3; Imagen 4","Veo 3; Imagen 4 Ultra; Imagen 4 Standard; Imagen 4 Fast","2025-05-20","https://blog.google/innovation-and-ai/products/generative-media-models-io-2025/","Fuel your creativity with new generative media models and tools","Google Blog","high","Official Google I/O generative media article introduces Veo 3 and Imagen 4."
"AIT-2025-05-012","Google","Gemma 3n","Gemma 3n E2B Instruct","2025-05-20","https://developers.googleblog.com/en/introducing-gemma-3n/","Announcing Gemma 3n preview: powerful, efficient, mobile-first AI","Google Developers Blog","high","Official developer blog announces Gemma 3n preview."
"AIT-2025-08-007","Google","Gemini 2.5 Flash Image","Nano Banana (Gemini 2.5 Flash Image)","2025-08-26","https://ai.google.dev/gemini-api/docs/changelog","Release notes","Google AI for Developers release notes","high","Release notes list Gemini 2.5 Image Preview, the native image model corresponding to Nano Banana/Gemini 2.5 Flash Image."
"AIT-2025-11-004","Google","Gemini 3.0","Gemini 3 Pro Preview (high)","2025-11-18","https://ai.google.dev/gemini-api/docs/changelog","Release notes","Google AI for Developers release notes","high","Release notes list the first Gemini 3 series model, gemini-3-pro-preview."
"AIT-2025-11-006","Google","Nano Banana Pro","Nano Banana Pro (Gemini 3 Pro Image)","2025-11-20","https://ai.google.dev/gemini-api/docs/changelog","Release notes","Google AI for Developers release notes","high","Release notes list Gemini 3 Pro Image Preview, the next iteration to Nano Banana."
"AIT-2025-12-003","Google","Gemini 3.0 Flash; Gemini 2.5 Flash Audio","Gemini 3 Flash Preview (Reasoning); Gemini 2.5 Flash Native Audio Preview (Dec 2025)","2025-12-17","https://ai.google.dev/gemini-api/docs/changelog","Release notes","Google AI for Developers release notes","high","Main event date from Gemini 3 Flash Preview launch; the same release notes list Gemini 2.5 Flash Native Audio Preview on 2025-12-12."
"AIT-2026-02-003","Google","Gemini 3 Deep Think","Gemini 3 Deep Think","","https://deepmind.google/models/gemini/deep-think/","Gemini 3.1 Deep Think","Google DeepMind model page","low","Official model page shows Feb 2026 benchmark labeling but no dated first-party blog or technical announcement was found; official date left blank."
"AIT-2026-02-008","Google","Nano Banana 2","Nano Banana 2 (Gemini 3.1 Flash Image Preview)","2026-02-26","https://ai.google.dev/gemini-api/docs/changelog","Release notes","Google AI for Developers release notes","high","Release notes list Nano Banana 2 / Gemini 3.1 Flash Image Preview."
