event_id,aa_metric_type,aa_matched_record_count,aa_matched_names,representative_aa_record_key,representative_aa_name,representative_aa_creator,representative_aa_modality,representative_aa_release_date,representative_selection_rule,aa_intelligence_index,aa_coding_index,aa_math_index,mmlu_pro,gpqa,livecodebench,aime,elo,rank,ci95,appearances,price_1m_input_tokens,price_1m_output_tokens,price_1m_blended_3_to_1,median_output_tokens_per_second,median_time_to_first_token_seconds,median_time_to_first_answer_token
AIT-2022-04-002,media,1,DALLE 2,text-to-image:5db3c143-21ef-4046-a9f3-9603c8297c18,DALLE 2,OpenAI,text-to-image,2022-09,max media elo (media flagship),,,,,,,,741,146,-11/11,15748,,,,,,
AIT-2022-10-001,media,1,Stable Diffusion 1.5,text-to-image:a9df4a85-bb58-4e9a-9d5d-4b9f562c9d61,Stable Diffusion 1.5,Stability.ai,text-to-image,2022-10,max media elo (media flagship),,,,,,,,662,148,-13/13,12291,,,,,,
AIT-2022-12-001,media,1,Stable Diffusion 2.1,text-to-image:73bcd079-f0cf-4dc9-ba28-9c8170d72538,Stable Diffusion 2.1,Stability.ai,text-to-image,2022-12,max media elo (media flagship),,,,,,,,751,145,-11/11,15555,,,,,,
AIT-2023-03-002,llm,1,GPT-4,language:6a7c0e25-1dcb-4b15-8495-a8536a9da051,GPT-4,OpenAI,language,2023-03-14,max aa_intelligence_index (llm flagship),7,13.1,,,,,,,,,,30,60,37.5,37.479,0.968,0.968
AIT-2023-05-002,llm,1,PALM-2,language:515852e7-ba9c-4571-8cf9-82ad6b45f22f,PALM-2,Google,language,2023-05-10,max aa_intelligence_index (llm flagship),3.2,4.6,,,,,,,,,,0,0,0,0,0,0
AIT-2023-07-001,media,1,Stable Diffusion XL 1.0,text-to-image:41f427f0-d987-4189-a811-098baaac6397,Stable Diffusion XL 1.0,Stability.ai,text-to-image,2023-07,max media elo (media flagship),,,,,,,,875,144,-9/9,13498,,,,,,
AIT-2023-07-002,llm,1,Claude 2.0,language:ddc748d0-6a9b-466b-8d6c-68417980d56d,Claude 2.0,Anthropic,language,2023-07-11,max aa_intelligence_index (llm flagship),3.6,12.9,,0.486,0.344,0.171,0,,,,,0,0,0,0,0,0
AIT-2023-07-003,llm,3,Llama 2 Chat 70B; Llama 2 Chat 13B; Llama 2 Chat 7B,language:ffd65ef7-fbdb-4145-98ae-b5d01cda770b,Llama 2 Chat 7B,Meta,language,2023-07-18,max aa_intelligence_index (llm flagship),4.3,,,0.164,0.227,0.002,0,,,,,0.05,0.25,0.1,122.549,1.404,1.404
AIT-2023-10-001,media,1,DALLE 3,text-to-image:d959db75-771f-4561-ac19-cbc28b0521b3,DALLE 3,OpenAI,text-to-image,2023-09,max media elo (media flagship),,,,,,,,950,130,-8/8,13376,,,,,,
AIT-2023-12-001,media,1,Midjourney v6,text-to-image:ec8ee994-cfd0-4b8c-b244-14265c95290b,Midjourney v6,Midjourney,text-to-image,2023-12,max media elo (media flagship),,,,,,,,1065,92,-8/8,13448,,,,,,
AIT-2023-12-002,llm,1,Gemini 1.0 Pro,language:8ddacd41-bf43-411b-aa30-43ebf0567dd8,Gemini 1.0 Pro,Google,language,2023-12-06,max aa_intelligence_index (llm flagship),3.1,,,0.431,0.277,0.116,0.00666666666666667,,,,,0,0,0,0,0,0
AIT-2024-02-001,media,2,Stable Diffusion 3 Large; Stable Diffusion 3 Large Turbo,text-to-image:b7a4bc1e-1da9-4d29-8c55-67124e867d4c,Stable Diffusion 3 Large,Stability.ai,text-to-image,2024-02,max media elo (media flagship),,,,,,,,1025,110,-8/8,13114,,,,,,
AIT-2024-02-003,llm,1,Gemini 1.5 Pro (May '24),language:16f2578b-1b28-4be3-b371-700c2677bcd6,Gemini 1.5 Pro (May '24),Google,language,2024-05-15,max aa_intelligence_index (llm flagship),6.3,19.8,,0.657,0.371,0.244,0.08,,,,,0,0,0,0,0,0
AIT-2024-03-002,llm,3,Claude 3 Opus; Claude 3 Sonnet; Claude 3 Haiku,language:7829427f-f0e3-4f6d-a228-5fbf70dacc02,Claude 3 Opus,Anthropic,language,2024-03-04,max aa_intelligence_index (llm flagship),11.8,19.5,,0.696,0.489,0.279,0.0333333333333333,,,,,15,75,30,0,0,0
AIT-2024-04-001,media,1,Stable Audio 2.0,music-instrumental:d1ade256-679e-4edc-a745-372086cdd294,Stable Audio 2.0,Stability.ai,music-instrumental,,max media elo (media flagship),,,,,,,,955,,10,,,,,,,
AIT-2024-04-003,llm,1,Mixtral 8x22B Instruct,language:ca6c1412-f3c1-4391-9231-f83a702aa7af,Mixtral 8x22B Instruct,Mistral,language,2024-04-17,max aa_intelligence_index (llm flagship),4.4,,,0.537,0.332,0.148,0,,,,,0,0,0,0,0,0
AIT-2024-04-004,llm,2,Llama 3 Instruct 70B; Llama 3 Instruct 8B,language:aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,Meta,language,2024-04-18,max aa_intelligence_index (llm flagship),3.5,,,0.574,0.379,0.198,0,,,,,0.65,2.75,1.175,46.618,0.682,0.682
AIT-2024-04-005,llm,1,Phi-3 Mini Instruct 3.8B,language:ded8d96e-835f-4359-947a-a4c3bb78e983,Phi-3 Mini Instruct 3.8B,Microsoft,language,2024-04-23,max aa_intelligence_index (llm flagship),4.6,,0.3,0.435,0.319,0.116,0.04,,,,,0,0,0,0,0,0
AIT-2024-05-001,llm,1,GPT-4o (May '24),language:e98e911e-9fb2-4a9a-826e-3d681d0cdca8,GPT-4o (May '24),OpenAI,language,2024-05-13,max aa_intelligence_index (llm flagship),8.6,24.2,,0.74,0.526,0.334,0.11,,,,,5,15,7.5,104.335,0.586,0.586
AIT-2024-05-002,llm,1,Gemini 1.5 Flash (May '24),language:ac48c49d-9e77-4394-ac4e-d1ee51fd5fee,Gemini 1.5 Flash (May '24),Google,language,2024-05-14,max aa_intelligence_index (llm flagship),4.9,,,0.574,0.324,0.196,0.0933333333333333,,,,,0,0,0,0,0,0
AIT-2024-06-001,media,1,Stable Diffusion 3 Medium,text-to-image:71604070-731c-4009-b97a-79f92da9b643,Stable Diffusion 3 Medium,Stability.ai,text-to-image,2024-06,max media elo (media flagship),,,,,,,,912,135,-9/9,11916,,,,,,
