"event_id","field","coder_A","coder_B","evidence","recommended_final","resolution_basis","user_final"
"AIT-2024-11-007","is_multimodal","0","1","Claude 3.5 Haiku 上线时纯文本，Anthropic 当时文档明确暂不支持图像输入","0","A 正确","0"
"AIT-2025-08-002","is_multimodal","0","1","Claude 4 系列全线支持视觉，Opus 4.1 有图像输入；A 集合漏编","1","B 正确（A 笔误）","1"
"AIT-2026-01-003","is_multimodal","1","0","HF 模型卡实证：image-text-to-text，'multimodal agentic model'，视觉-语言预训练","1","A 正确（新证据核实）","1"
"AIT-2026-03-002","is_multimodal","0","1","GPT-5 系列一贯多模态，5.4 无理由例外；A 对 5.2 编 1 对 5.4 编 0 自相矛盾","1","B 正确（A 笔误）","1"
"AIT-2026-03-003","is_multimodal","0","1","事件文本明写 'multimodal open model ... vision capabilities'","1","B 正确（A 笔误）","1"
"AIT-2025-03-007","is_reasoning_model","0","1","V3-0324 为非思考 chat 模型（V3 线≠R1 线），AA 记录无 Reasoning 档；文本 'enhanced reasoning' 是营销表述","0","A 正确","0"
"AIT-2025-12-004","is_reasoning_model","1","0","AA 代表记录 'Nova 2.0 Pro Preview (medium)' 的 (medium) 为推理档位，规则明定按 AA 档位判","1","A 正确","1"
"AIT-2024-02-001","is_open_weight_or_open_source","1","0","公告时权重未放（waitlist），但 SD3 为开放权重产品线且公告明示 open release；信息含量上市场接收的是'开源模型发布'","1","真判断题：推荐 A（唯一无硬证据条目）","1"
"AIT-2024-09-010","is_open_weight_or_open_source","1","0","HF 官方仓库 mistralai/Mistral-Small-Instruct-2409 实证（2024-09-17 上传，MRL 许可）","1","A 正确（新证据核实）","1"
"AIT-2026-01-003","is_open_weight_or_open_source","1","0","HF 官方仓库 moonshotai/Kimi-K2.5 实证（2026-01-01 上传）","1","A 正确（新证据核实）","1"
