event_id,year,month,month_num,event_order,event_text,raw_html,bold_entities,event_type,inferred_creator,is_special,source
AIT-2022-02-001,2022,February,2,1,Midjourney v1,<b>Midjourney v1</b>,Midjourney v1,model,Midjourney,False,AI Timeline _data/timeline.yml
AIT-2022-03-001,2022,March,3,2,OpenAI releases text-davinci-002 and code-davinci-002 with an API approach.,OpenAI releases <b>text-davinci-002</b> and <b>code-davinci-002</b> with an API approach.,text-davinci-002; code-davinci-002,model,OpenAI,False,AI Timeline _data/timeline.yml
AIT-2022-04-001,2022,April,4,3,Midjourney v2,<b>Midjourney v2</b>,Midjourney v2,model,Midjourney,False,AI Timeline _data/timeline.yml
AIT-2022-04-002,2022,April,4,4,DALL-E 2 is announced for gradual release.,<b>DALL-E 2</b> is announced for gradual release.,DALL-E 2,model,,True,AI Timeline _data/timeline.yml
AIT-2022-07-001,2022,July,7,5,Midjourney v3 is launched.,<b>Midjourney v3</b> is launched.,Midjourney v3,model,Midjourney,False,AI Timeline _data/timeline.yml
AIT-2022-08-001,2022,August,8,6,Stable Diffusion 1.4 is released.,<b>Stable Diffusion 1.4</b> is released.,Stable Diffusion 1.4,model,,False,AI Timeline _data/timeline.yml
AIT-2022-10-001,2022,October,10,7,Stable Diffusion 1.5 becomes available.,<b>Stable Diffusion 1.5</b> becomes available.,Stable Diffusion 1.5,model,,True,AI Timeline _data/timeline.yml
AIT-2022-11-001,2022,November,11,8,"ChatGPT , a chatbot by OpenAI using GPT-3.5, is released to the public and quickly becomes a viral sensation.","<b>ChatGPT</b>, a chatbot by OpenAI using GPT-3.5, is released to the public and quickly becomes a viral sensation.",ChatGPT,product,OpenAI,True,AI Timeline _data/timeline.yml
AIT-2022-11-002,2022,November,11,9,Midjourney v4 is released.,<b>Midjourney v4</b> is released.,Midjourney v4,model,Midjourney,False,AI Timeline _data/timeline.yml
AIT-2022-11-003,2022,November,11,10,Stable Diffusion 2.0 is launched.,<b>Stable Diffusion 2.0</b> is launched.,Stable Diffusion 2.0,model,,False,AI Timeline _data/timeline.yml
AIT-2022-12-001,2022,December,12,11,Stable Diffusion 2.1 is released.,<b>Stable Diffusion 2.1</b> is released.,Stable Diffusion 2.1,model,,False,AI Timeline _data/timeline.yml
AIT-2023-02-001,2023,February,2,12,Meta releases the LLaMA language model as open-source for research purposes. The model is later leaked.,Meta releases the <b>LLaMA</b> language model as open-source for research purposes. The model is later leaked.,LLaMA,model,Meta,True,AI Timeline _data/timeline.yml
AIT-2023-02-002,2023,February,2,13,"Microsoft gradually releases Bing AI , an AI chat based on an upgraded GPT model integrating internet search.","Microsoft gradually releases <b>Bing AI</b>, an AI chat based on an upgraded GPT model integrating internet search.",Bing AI,product,Microsoft,False,AI Timeline _data/timeline.yml
AIT-2023-03-001,2023,March,3,14,Midjourney v5 is launched.,<b>Midjourney v5</b> is launched.,Midjourney v5,model,Midjourney,False,AI Timeline _data/timeline.yml
AIT-2023-03-002,2023,March,3,15,"OpenAI's GPT-4 model is partially released, featuring multimodal image analysis and improved multi-language support.","OpenAI's <b>GPT-4</b> model is partially released, featuring multimodal image analysis and improved multi-language support.",GPT-4,model,,True,AI Timeline _data/timeline.yml
AIT-2023-03-003,2023,March,3,16,"Google releases the AI chat Bard in a limited capacity, based on the LaMDA language model.","Google releases the AI chat <b>Bard</b> in a limited capacity, based on the LaMDA language model.",Bard,product,Google,False,AI Timeline _data/timeline.yml
AIT-2023-04-001,2023,April,4,17,Adobe releases the Firefly image creation model as a beta version to a waiting list. The model allowed a variety of capabilities including text formatting.,Adobe releases the <b>Firefly</b> image creation model as a beta version to a waiting list. The model allowed a variety of capabilities including text formatting.,Firefly,model,Adobe,False,AI Timeline _data/timeline.yml
AIT-2023-05-001,2023,May,5,18,Midjourney v5.1 is released.,<b>Midjourney v5.1</b> is released.,Midjourney v5.1,model,Midjourney,False,AI Timeline _data/timeline.yml
AIT-2023-05-002,2023,May,5,19,"Google announces an upgrade to Bard, moving it to the upgraded PaLM 2 language model. It will support 180 countries and many languages.","Google announces an upgrade to Bard, moving it to the upgraded <b>PaLM 2</b> language model. It will support 180 countries and many languages.",PaLM 2,model,Google,False,AI Timeline _data/timeline.yml
AIT-2023-06-001,2023,June,6,20,Midjourney v5.2 is launched.,<b>Midjourney v5.2</b> is launched.,Midjourney v5.2,model,Midjourney,False,AI Timeline _data/timeline.yml
AIT-2023-07-001,2023,July,7,21,Stable Diffusion XL 1.0 is released.,<b>Stable Diffusion XL 1.0</b> is released.,Stable Diffusion XL 1.0,model,,False,AI Timeline _data/timeline.yml
AIT-2023-07-002,2023,July,7,22,Anthropic announces a new version of their large language model - Claude 2 .,Anthropic announces a new version of their large language model - <b>Claude 2</b>.,Claude 2,model,Anthropic,False,AI Timeline _data/timeline.yml
AIT-2023-07-003,2023,July,7,23,Meta releases the LLaMA 2 open source language model to the general public in a variety of sizes.,Meta releases the <b>LLaMA 2</b> open source language model to the general public in a variety of sizes.,LLaMA 2,model,Meta,False,AI Timeline _data/timeline.yml
AIT-2023-10-001,2023,October,10,24,DALL-E 3 is released.,<b>DALL-E 3</b> is released.,DALL-E 3,model,,False,AI Timeline _data/timeline.yml
AIT-2023-10-002,2023,October,10,25,Adobe releases Firefly 2 .,Adobe releases <b>Firefly 2</b>.,Firefly 2,model,Adobe,False,AI Timeline _data/timeline.yml
AIT-2023-11-001,2023,November,11,26,Stable Diffusion XL Turbo is released - A fast model that allows the creation of an image in one step in real-time.,<b>Stable Diffusion XL Turbo</b> is released - A fast model that allows the creation of an image in one step in real-time.,Stable Diffusion XL Turbo,model,,False,AI Timeline _data/timeline.yml
AIT-2023-12-001,2023,December,12,27,Midjourney v6 is launched.,<b>Midjourney v6</b> is launched.,Midjourney v6,model,Midjourney,False,AI Timeline _data/timeline.yml
