event_id,ai_year,ai_month,model_names,aa_names,aa_release_dates,aa_creators,model_count,event_text
AIT-2022-04-002,2022,April,DALL-E 2,DALLE 2,2022-09,OpenAI,1,DALL-E 2 is announced for gradual release.
AIT-2023-03-002,2023,March,GPT-4,GPT-4,2023-03-14,OpenAI,1,"OpenAI's GPT-4 model is partially released, featuring multimodal image analysis and improved multi-language support."
AIT-2023-10-001,2023,October,DALL-E 3,DALLE 3,2023-09,OpenAI,1,DALL-E 3 is released.
AIT-2024-05-001,2024,May,GPT-4o model,GPT-4o (May '24),2024-05-13,OpenAI,1,"OpenAI announces the GPT-4o model that presents full multimodal capabilities, including receiving and creating text, images, and audio. The model presents an impressive ability to speak with a high response speed and in natural language. The model is 2 times more efficient than the GPT-4 Turbo model, and has better capabilities for languages other than English."
AIT-2024-07-001,2024,July,GPT-4o mini,GPT-4o mini,2024-07-18,OpenAI,1,OpenAI has released a miniaturized model called GPT-4o mini that presents high capabilities at a low cost
AIT-2024-08-002,2024,August,GPT-4o 0806,GPT-4o (Aug '24),2024-08-06,OpenAI,1,"OpenAI released a new version of its model, GPT-4o 0806 , achieving 100% success in generating valid JSON output."
AIT-2024-09-002,2024,September,o1 preview; o1 mini,o1-preview; o1-mini,2024-09-12; 2024-09-12,OpenAI,2,"OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini . These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more."
AIT-2024-12-002,2024,December,SORA; o1; o1 Pro,Sora; o1; o1-pro,2024-12; 2024-12-05; 2025-03-19,OpenAI,3,"OpenAI released SORA , a video generation model, along with the full version of o1 and o1 Pro for advanced subscribers. Additionally, the company launched a live video mode for GPT 4o ."
AIT-2025-01-007,2025,January,o3 mini,o3-mini (high),2025-01-31,OpenAI,1,"OpenAI made the o3 mini reasoning model available to all users, including the free tier, featuring three reasoning levels. The model matches or comes close to o1 in several benchmarks, significantly surpasses it in coding, and remains significantly faster and more cost-efficient."
AIT-2025-02-007,2025,February 2025,GPT-4.5,GPT-4.5 (Preview),2025-02-27,OpenAI,1,"OpenAI releases GPT-4.5 , featuring advanced pattern recognition and significantly reduced hallucinations, improving accuracy and reliability."
AIT-2025-03-003,2025,March 2025,GPT-4o Image Generation,GPT Image 1 (high),2025-04,OpenAI,1,"OpenAI integrated GPT-4o Image Generation , enabling high-fidelity text-to-image creation, text rendering within images, and more."
AIT-2025-04-004,2025,April 2025,GPT-4.1,GPT-4.1,2025-04-14,OpenAI,1,"OpenAI releases GPT-4.1 in three sizes, with a context window of 1 million tokens."
AIT-2025-04-005,2025,April 2025,o3 full; o4 mini,o3; o4-mini (high),2025-04-16; 2025-04-16,OpenAI,2,"OpenAI introduces o3 full and o4 mini , highly advanced models for reasoning, math, and coding."
AIT-2025-06-003,2025,June 2025,o3 pro,o3-pro,2025-06-10,OpenAI,1,"OpenAI debuts o3 pro , an enhanced reasoning model offering extended context and real-time tool integrations."
AIT-2025-08-004,2025,August 2025,gpt-oss-120b; gpt-oss-20b,gpt-oss-120b (high); gpt-oss-20B (high),2025-08-05; 2025-08-05,OpenAI,2,"OpenAI released gpt-oss-120b and gpt-oss-20b , a family of open-source models with high reasoning capabilities, optimized to run on accessible hardware."
AIT-2025-08-005,2025,August 2025,GPT-5,GPT-5 (high),2025-08-07,OpenAI,1,"OpenAI launched GPT-5 , the company's next-generation model, with significant improvements in coding and a dynamic ""thinking"" mode to reduce hallucinations."
AIT-2025-09-008,2025,September 2025,Sora 2,Sora 2 (October),2025-09,OpenAI,1,"OpenAI released Sora 2 , a flagship video and audio generation model with improved physical modeling and synchronized sound."
AIT-2025-11-002,2025,November 2025,GPT 5.1,GPT-5.1 (high),2025-11-13,OpenAI,1,"OpenAI launched GPT 5.1 , featuring specialized ""Thinking"" and ""Instant"" modes with expanded context."
AIT-2025-12-002,2025,December 2025,GPT-5.2; GPT-Image 1.5,GPT-5.2 (xhigh); GPT Image 1.5 (high),2025-12-11; 2025-12,OpenAI,2,"OpenAI releases GPT-5.2 , featuring the autonomous Codex agent for complex engineering tasks, and GPT-Image 1.5 , which claims the #1 spot on vision benchmarks, outperforming Nano Banana Pro."
AIT-2026-02-002,2026,February 2026,GPT-5.3-Codex,GPT-5.3 Codex (xhigh),2026-02-05,OpenAI,1,"OpenAI introduces GPT-5.3-Codex and GPT-5.3-Codex-Spark , upgraded coding models for long-running and real-time development work."
AIT-2026-03-002,2026,March 2026,GPT-5.4; GPT-5.4 mini; GPT-5.4 nano,GPT-5.4 (xhigh); GPT-5.4 mini (xhigh); GPT-5.4 nano (xhigh),2026-03-05; 2026-03-17; 2026-03-17,OpenAI,3,"OpenAI launches GPT-5.4 alongside GPT-5.4 mini and GPT-5.4 nano , expanding the GPT-5.4 family across flagship and lightweight tiers."
