event_id,ai_year,ai_month,model_names,aa_names,aa_release_dates,aa_creators,model_count,event_text
AIT-2024-06-003,2024,June,DeepSeekCoderV2,DeepSeek-Coder-V2,2024-06-17,DeepSeek,1,"DeepSeekAI publishes the DeepSeekCoderV2 open source language model which presents similar coding capabilities to models such as GPT-4, Claude 3 Opus and more."
AIT-2024-09-003,2024,September,Qwen 2.5,Qwen2.5 Instruct 72B; Qwen2.5 Instruct 32B,2024-09-19; 2024-09-19,Alibaba,2,"Chinese company Alibaba releases the Qwen 2.5 model in various sizes, ranging from 0.5B to 72B. The models demonstrate capabilities comparable to much larger models."
AIT-2024-11-001,2024,November,QwQ 32B Preview,QwQ 32B-Preview,2024-11-27,Alibaba,1,"Alibaba released its new model, QwQ 32B Preview , which integrates reasoning capabilities before responding. The model competes with, and sometimes surpasses, OpenAI's o1-preview model."
AIT-2024-11-002,2024,November,Qwen2.5 Coder 32B,Qwen2.5 Coder Instruct 32B,2024-11-11,Alibaba,1,"Alibaba opensourced the model Qwen2.5 Coder 32B , which offers comparable capabilities to leading proprietary language models in the coding domain."
AIT-2024-12-013,2024,December,Deepseek V3,DeepSeek V3 (Dec '24),2024-12-26,DeepSeek,1,"Deepseek open-sourced Deepseek V3 , a model with 671B parameters that surpasses closed-source SOTA models across several benchmarks."
AIT-2025-01-003,2025,January,R1,DeepSeek R1 (Jan '25),2025-01-20,DeepSeek,1,"DeepSeek open-sourced the reasoning models R1 and R1-Zero , which demonstrated capabilities similar to o1 across various domains at a fraction of the cost. Additionally, smaller distilled models were released, achieving high performance relative to their size."
AIT-2025-01-005,2025,January,Janus Pro 7B,Janus Pro,2025-01,DeepSeek,1,"DeepSeek open-sourced a fully multimodal model, Janus Pro 7B , which supports both text and image generation."
AIT-2025-01-006,2025,January,Qwen2.5-Max,Qwen2.5 Max,2025-01-28,Alibaba,1,"Alibaba unveiled Qwen2.5-Max , a large language model that surpasses several leading models, including DeepSeek-V3 , GPT-4o , and Claude 3.5 . Additionally, the Qwen2.5-1M series was open-sourced, capable of processing up to one million tokens, along with the Qwen2.5-VL vision model series in three different sizes."
AIT-2025-03-005,2025,March 2025,QwQ-32B,QwQ 32B,2025-03-05,Alibaba,1,"Alibaba released QwQ-32B , an open-source 32B parameter reasoning model with exceptional math and coding performance, rivaling much larger models."
AIT-2025-03-007,2025,March 2025,DeepSeek-V3-0324,DeepSeek V3 0324,2025-03-25,DeepSeek,1,"DeepSeek updated its open-source MoE model with DeepSeek-V3-0324 , featuring enhanced reasoning, coding, and math capabilities, positioning it as a top-tier base model."
AIT-2025-04-008,2025,April 2025,Qwen 3,Qwen3 235B A22B (Reasoning); Qwen3 32B (Reasoning); Qwen3 30B A3B (Reasoning),2025-04-28; 2025-04-28; 2025-04-28,Alibaba,3,"Alibaba releases Qwen 3 as open source, in various sizes, with very impressive capabilities for their size."
AIT-2025-05-009,2025,May 2025,R1-0528,DeepSeek R1 0528 (May '25),2025-05-28,DeepSeek,1,"DeepSeek open-sources R1-0528 , a code-and-inference model with near–o4-mini performance and moderate computational needs."
AIT-2025-07-005,2025,July 2025,Qwen3-235B-A22B-Instruct-2507; Qwen3-Coder,Qwen3 235B A22B 2507 Instruct; Qwen3 Coder 480B A35B Instruct,2025-07-21; 2025-07-22,Alibaba,2,"Alibaba open-sources two variants, Qwen3-235B-A22B-Instruct-2507 (instruction-tuned) and Qwen3-Coder , for general LLM use and automated code generation."
AIT-2025-07-006,2025,July 2025,Kimi K2,Kimi K2,2025-07-11,Kimi,1,"Moonshot AI debuts Kimi K2 , a Chinese LLM praised for its open-research focus and robust performance."
AIT-2025-07-007,2025,July 2025,GLM-4.5,GLM-4.5 (Reasoning),2025-07-28,Z AI,1,"Chinese startup Zhipu open-sources GLM-4.5 , a 130 B-parameter model tailored for intelligent-agent applications."
AIT-2025-08-006,2025,August 2025,DeepSeek V3.1,DeepSeek V3.1 (Reasoning),2025-08-21,DeepSeek,1,"DeepSeek released DeepSeek V3.1 , a hybrid model combining fast and slow ""thinking"" modes to improve performance in agentic tasks and tool use."
AIT-2025-09-005,2025,September 2025,Qwen-3-Max,Qwen3 Max,2025-09-23,Alibaba,1,"Alibaba unveiled Qwen-3-Max , its flagship model with over a trillion parameters, focusing on long context and agent capabilities."
AIT-2025-09-006,2025,September 2025,Wan 2.5,Wan 2.5 Preview,2025-09,Alibaba,1,"Wan 2.5 was released, a generative video model focused on multi-shot consistency and character animation."
AIT-2025-09-009,2025,September 2025,DeepSeek-V3.2-Exp,DeepSeek V3.2 Exp (Reasoning),2025-09-29,DeepSeek,1,DeepSeek released DeepSeek-V3.2-Exp
AIT-2025-11-001,2025,November 2025,Kimi K2 Thinking,Kimi K2 Thinking,2025-11-06,Kimi,1,"Moonshot AI released Kimi K2 Thinking , an open model setting new records in reasoning benchmarks."
AIT-2025-12-007,2025,December 2025,GLM-4.7,GLM-4.7 (Reasoning),2025-12-22,Z AI,1,"Zhipu AI releases GLM-4.7 , an open-weights model that reaches the top of global coding and reasoning leaderboards."
AIT-2025-12-008,2025,December 2025,Z-Image-Turbo; Qwen-Image-2512,Z-Image Turbo; Qwen Image Max 2512,2025-12; 2025-12,Alibaba,2,"Alibaba open-sources Z-Image-Turbo , a highly efficient 6B model, and releases Qwen-Image-2512 , which specializes in high-fidelity typography and complex visual compositions."
AIT-2026-01-003,2026,January 2026,Kimi K2.5,Kimi K2.5 (Reasoning),2026-01-27,Kimi,1,"Moonshot AI releases Kimi K2.5 , an upgraded model focused on stronger reasoning, coding, and agentic workflows."
AIT-2026-02-005,2026,February 2026,GLM-5,GLM-5 (Reasoning),2026-02-11,Z AI,1,"Zhipu AI launches GLM-5 , a new flagship model built for stronger reasoning, tool use, and agentic tasks."
