final_event_id,release_date,event_name,true_model_creator,representative_model_name,representative_aa_model_id,representative_aa_model_name,representative_aa_creator_name,representative_aa_source_table,representative_selection_rule,aa_model_ids,aa_model_names,aa_intelligence_index,aa_coding_index,aa_math_index,mmlu_pro,gpqa,hle,livecodebench,scicode,math_500,aime,price_1m_input_tokens,price_1m_output_tokens,price_1m_blended_3_to_1,median_output_tokens_per_second,median_time_to_first_token_seconds,aa_media_elo,aa_media_rank,aa_media_ci95,aa_media_appearances,aa_media_category_rows
FMR-0001,2024-04-18,LLaMA 3,Meta,LLaMA 3,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,6.8,,0.574,0.379,0.044,0.198,0.189,0.483,0.0,0.65,2.75,1.175,46.417,0.664,,,,,
FMR-0002,2024-05-14,Imagen 3,Google,Imagen 3,fdca46eb-4014-45f5-b0aa-db73ee85deb1,Imagen 3 (v002),Google,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,fdca46eb-4014-45f5-b0aa-db73ee85deb1,Imagen 3 (v002),,,,,,,,,,,,,,,,1117.0,38.0,-1.0,4666.0,15.0
FMR-0003,2024-05-30,Gemini Flash 1.5,Google,Gemini Flash 1.5,ac48c49d-9e77-4394-ac4e-d1ee51fd5fee,Gemini 1.5 Flash (May '24),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,ac48c49d-9e77-4394-ac4e-d1ee51fd5fee,Gemini 1.5 Flash (May '24),10.5,,,0.574,0.324,0.042,0.196,0.181,0.554,0.093,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0004,2024-06-12,Stable Diffusion 3,Stability AI,Stable Diffusion 3,71604070-731c-4009-b97a-79f92da9b643,Stable Diffusion 3 Medium,Stability.ai,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,71604070-731c-4009-b97a-79f92da9b643,Stable Diffusion 3 Medium,,,,,,,,,,,,,,,,917.0,109.0,-1.0,10761.0,15.0
FMR-0005,2024-08-08,Gemini 1.5 Flash,Google,Gemini 1.5 Flash,41faf421-118b-465b-b170-d200776580d1,Gemini 1.5 Flash (Sep '24),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,41faf421-118b-465b-b170-d200776580d1,Gemini 1.5 Flash (Sep '24),13.8,,,0.68,0.463,0.035,0.273,0.267,0.827,0.18,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0006,2024-08-13,Grok 2,xAI,Grok 2,291a510a-dcc0-40df-8a80-b3aa31900a6c,Grok 2 (Dec '24),xAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,291a510a-dcc0-40df-8a80-b3aa31900a6c,Grok 2 (Dec '24),13.9,,,0.709,0.51,0.038,0.267,0.285,0.778,0.133,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0007,2024-08-28,Imagen 3,Google,Imagen 3,fdca46eb-4014-45f5-b0aa-db73ee85deb1,Imagen 3 (v002),Google,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,fdca46eb-4014-45f5-b0aa-db73ee85deb1,Imagen 3 (v002),,,,,,,,,,,,,,,,1117.0,38.0,-1.0,4666.0,15.0
FMR-0008,2024-09-12,o1 preview,OpenAI,o1 preview,078f4dc8-5350-40a2-a5ea-e8359f795b70,o1-preview,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,078f4dc8-5350-40a2-a5ea-e8359f795b70,o1-preview,23.7,34.0,,,,,,,0.924,,16.5,66.0,28.875,0.0,0.0,,,,,
FMR-0009,2024-09-12,o1 mini,OpenAI,o1 mini,b515503d-4d65-4a3f-8a4a-6c731e2b079f,o1-mini,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,b515503d-4d65-4a3f-8a4a-6c731e2b079f,o1-mini,20.4,,,0.742,0.603,0.049,0.576,0.323,0.944,0.603,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0010,2024-09-24,Gemini 1.5 002 family,Google,Gemini Pro 1.5 002,2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9,Gemini 1.5 Pro (Sep '24),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9; 41faf421-118b-465b-b170-d200776580d1,Gemini 1.5 Pro (Sep '24); Gemini 1.5 Flash (Sep '24),16.0,23.6,,0.75,0.589,0.049,0.316,0.295,0.876,0.23,0.0,0.0,0.0,0.0,0.0,,,,,
