event_id,official_date,official_date_all,official_date_month_candidates,date_status,date_confidence,date_source_urls,date_source_titles,date_source_types,date_notes
AIT-2022-04-002,2022-04-06,2022-04-06,,day_resolved,medium,https://openai.com/index/dall-e-2/,DALL·E 2,official page (dated via Wayback first snapshot),OpenAI 官方页面本身无日期；Wayback Machine 首次快照为 2022-04-06T14:10Z，与公开报道的公告日 2022-04-06 一致。（2026-07-02 三次补漏）
AIT-2022-10-001,2022-10-20,2022-10-20,,day_resolved,medium,https://huggingface.co/runwayml/stable-diffusion-v1-5,"Stable Diffusion v1-5 (runwayml, Hugging Face)",first-party model repo (dated via Wayback first snapshot),原 runwayml 仓库页 Wayback 首次快照为 2022-10-20，与二手报道的发布日一致。（2026-07-02 三次补漏）
AIT-2022-12-001,2022-12-07,2022-12-07,,day_resolved,high,https://stability.ai/news-updates/stablediffusion2-1-release7-dec-2022,Stable Diffusion v2.1 and DreamStudio Updates 7-Dec 22; Stable Diffusion v2.1 and DreamStudio Updates 7-Dec-22,official blog; official blog not retrieved,"Second-pass verification. Official Stability AI page title includes 7-Dec-22 and page source exposes datePublished 2022-12-07. | Search indexes reference an official Stability AI page dated 7-Dec-22, but no accessible first-party page URL was recovered in this run."
AIT-2023-03-002,2023-03-14,2023-03-14,,day_resolved,high,https://openai.com/index/gpt-4-research/,GPT-4,official research announcement,"OpenAI research page is dated March 14, 2023."
AIT-2023-05-002,2023-05-10,2023-05-10,,day_resolved,high,https://blog.google/innovation-and-ai/products/google-palm-2-ai-large-language-model/,Introducing PaLM 2,Google Blog,Article date is the official PaLM 2 announcement.
AIT-2023-07-001,2023-07-26,2023-07-26,,day_resolved,high,https://stability.ai/news-updates/stable-diffusion-sdxl-1-announcement; https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0,Announcing SDXL 1.0; SD-XL 1.0-base Model Card,official blog; first-party model card,Second-pass verification. Official Stability AI page source exposes datePublished 2023-07-26. | Official Hugging Face model card confirms model identity and technical details but does not expose a release date. Stability official blog was referenced by indexes but not retrieved.
AIT-2023-07-002,2023-07-11,2023-07-11,,day_resolved,high,https://www.anthropic.com/news/claude-2,Claude 2,official_news,Anthropic News page title and date directly match the model announcement.
AIT-2023-07-003,2023-07-18,2023-07-18,,day_resolved,high,https://ai.meta.com/blog/llama-2/,Meta and Microsoft Introduce the Next Generation of Llama,official_blog,"Meta AI blog page states July 18, 2023 and says Llama 2 is available starting today."
AIT-2023-10-001,2023-10-19,2023-10-19,,day_resolved,medium,https://openai.com/blog/dall-e-3-is-now-available-in-chatgpt-plus-and-enterprise,DALL·E 3 is now available in ChatGPT Plus and Enterprise,official blog (dated via Wayback first snapshot),ATL 10 月事件对应 ChatGPT 内可用；该官方博客 Wayback 首次快照为 2023-10-19。9 月 20 日为预告公告，与本事件月不符。（2026-07-02 三次补漏）
AIT-2023-12-001,2023-12-20,2023-12-20,,day_resolved,high,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,Version,official documentation,Midjourney documentation states V6 was released on 2023-12-20.
AIT-2023-12-002,2023-12-06,2023-12-06,,day_resolved,high,https://blog.google/products-and-platforms/products/gemini/google-bard-try-gemini-ai/,Bard gets its biggest upgrade yet with Gemini,Google Blog,Article says Gemini Pro starts rolling out in Bard that day.
AIT-2024-02-001,2024-02-22,2024-02-22,,day_resolved,high,https://stability.ai/news/stable-diffusion-3,Stable Diffusion 3,official blog,Official Stability AI page dated Feb 22; year inferred from event year and page context.
AIT-2024-02-003,2024-02-15,2024-02-15,,day_resolved,high,https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024/,Our next-generation model: Gemini 1.5,Google Blog,Official announcement of Gemini 1.5 Pro early testing; AA record is a later May 2024 snapshot.
AIT-2024-03-002,2024-03-04,2024-03-04,,day_resolved,high,https://www.anthropic.com/news/claude-3-family,Introducing the next generation of Claude,official_news,Anthropic News page announces the Claude 3 family including Opus Sonnet and Haiku.
AIT-2024-04-001,2024-04-03,2024-04-03,,day_resolved,high,https://stability.ai/news/stable-audio-2-0,Introducing Stable Audio 2.0,official blog,Official Stability AI page dated Apr 3; year inferred from event year and page context.
AIT-2024-04-003,2024-04-17,2024-04-17,,day_resolved,high,https://mistral.ai/news/mixtral-8x22b/,"Cheaper, Better, Faster, Stronger",official_blog,"Mistral AI news page states April 17, 2024 and describes Mixtral 8x22B as the latest open model."
AIT-2024-04-004,2024-04-18,2024-04-18,,day_resolved,high,https://ai.meta.com/blog/meta-llama-3/,Introducing Meta Llama 3: The most capable openly available LLM to date,official_blog,"Meta AI blog page states April 18, 2024 and introduces the 8B and 70B Llama 3 models."
AIT-2024-04-005,2024-04-23,2024-04-23,,day_resolved,high,https://azure.microsoft.com/en-us/blog/introducing-phi-3-redefining-whats-possible-with-slms/,Introducing Phi-3: Redefining what's possible with SLMs,official_blog,"Microsoft Azure Blog states April 23, 2024 and says Phi-3-mini is available starting today."
AIT-2024-04-006,,,2024-04,month_only,medium,,Firefly Image 3 Foundation Model,official source not found,Adobe 一方新闻稿/博客未能访问（news.adobe.com 与 blog.adobe.com 均无法定位存档）。二手来源一致为 2024-04-23（Adobe MAX London），按规则不写入 official_date，保留月份候选 2024-04（2026-07-02 三次补漏）。
AIT-2024-05-001,2024-05-13,2024-05-13,,day_resolved,high,https://openai.com/index/hello-gpt-4o/,Hello GPT-4o,official research/product announcement,"OpenAI page is dated May 13, 2024 and announces GPT-4o."
AIT-2024-05-002,2024-05-14,2024-05-14,,day_resolved,high,https://blog.google/innovation-and-ai/products/google-gemini-update-flash-ai-assistant-io-2024/,"Gemini breaks new ground with a faster model, longer context, AI agents and more",Google Blog,Official I/O article introduces Gemini 1.5 Flash and preview availability.
AIT-2024-06-001,2024-06-12,2024-06-12,,day_resolved,high,https://stability.ai/news/stable-diffusion-3-medium,Announcing the Open Release of Stable Diffusion 3 Medium,official blog,Official Stability AI page dated Jun 12; year inferred from event year and page context.
AIT-2024-06-003,2024-06-17,2024-06-17,,day_resolved,high,https://arxiv.org/abs/2406.11931,DeepSeek-Coder-V2: Breaking the Barrier of Closed-Source Models in Code Intelligence,first-party_technical_report,DeepSeek-authored technical report date. No separate DeepSeek blog page found.
AIT-2024-06-004,2024-06-17,2024-06-17,,day_resolved,high,https://runwayml.com/research/introducing-gen-3-alpha,Runway Gen-3 Alpha: Next-Generation AI Video Generation,official research blog,"Official Runway research page is dated June 17, 2024."
AIT-2024-06-005,2024-06-20,2024-06-20,,day_resolved,high,https://www.anthropic.com/news/claude-3-5-sonnet,Claude 3.5 Sonnet,official_news,Anthropic 页面元数据 publishedOn 为 2024-06-21T03:28Z（UTC），即美东时间 2024-06-20 23:28。美国公告日为 2024-06-20，媒体与官方发布均为该日；原 06-21 为 UTC 时区伪影，已改正（2026-07-02 复核）。
AIT-2024-07-001,2024-07-18,2024-07-18,,day_resolved,high,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,GPT-4o mini: advancing cost-efficient intelligence,official product announcement,"OpenAI page is dated July 18, 2024 and says GPT-4o mini is available starting today."
AIT-2024-07-002,2024-07-23,2024-07-23,,day_resolved,high,https://ai.meta.com/blog/meta-llama-3-1/,Introducing Llama 3.1: Our most capable models to date,official_blog,"Meta AI blog page states July 23, 2024 and says the latest models include Llama 3.1 405B plus upgraded 8B and 70B models."
AIT-2024-07-006,2024-07-23,2024-07-23,,day_resolved,high,https://www.udio.com/blog/introducing-v1-5,Introducing v1.5,official blog,Udio 官方博客页面元数据 datePublished 2024-07-23，与二手报道一致。（2026-07-02 三次补漏）
AIT-2024-07-007,2024-07-24,2024-07-24,,day_resolved,high,https://mistral.ai/news/mistral-large-2407/,Large Enough,official_blog,"Mistral AI news page states July 24, 2024 and identifies the API name as mistral-large-2407."
AIT-2024-07-008,2024-07-30,2024-07-30,,day_resolved,high,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,Version,official documentation,Midjourney documentation states V6.1 was released on 2024-07-30.
AIT-2024-08-001,2024-08-01,2024-08-01,,day_resolved,high,https://bfl.ai/blog/24-08-01-bfl,Announcing Black Forest Labs,official blog,"Official BFL blog dated August 1, 2024 states FLUX.1 suite is released today."
AIT-2024-08-002,2024-08-06,2024-08-06,,day_resolved,high,https://openai.com/index/introducing-structured-outputs-in-the-api/,Introducing structured outputs in the API,official blog (dated via Wayback first snapshot),该官方博客发布 gpt-4o-2024-08-06 快照模型；Wayback 首次快照为 2024-08-06，且模型版本号本身编码 0806。（2026-07-02 三次补漏）
AIT-2024-08-003,2024-08-13,2024-08-13,,day_resolved,medium,https://arxiv.org/abs/2408.07009,Imagen 3 (Imagen-Team-Google technical report),first-party technical report (arXiv),一手技术报告 arXiv v1 提交于 2024-08-13，与 ATL 8 月事件一致。原引用的 2024-12-16 Whisk 博客并非发布公告且与事件月不符，已弃用（2026-07-02 复核）。
AIT-2024-08-004,2024-08-13,2024-08-13,,day_resolved,high,https://x.ai/news/grok-2,Grok-2 Beta Release,official technical blog,xAI blog date; source announces Grok-2 and Grok-2 mini.
AIT-2024-08-006,2024-08-27,2024-08-27,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,"Gemini API release notes (August 27, 2024)",official changelog,官方 changelog 记录 2024-08-27 发布三个实验模型（gemini-1.5-pro-exp-0827、flash-exp-0827、flash-8b-exp-0827），与事件文本完全对应。原 2024-10-03 为 stable 版日期，与 8 月实验版事件不符，已弃用（2026-07-02 复核）。
AIT-2024-09-002,2024-09-12,2024-09-12,,day_resolved,high,https://openai.com/index/introducing-openai-o1-preview/,Introducing OpenAI o1-preview,official product announcement,"OpenAI page is dated September 12, 2024 and says o1-preview and o1-mini are released in ChatGPT and API."
AIT-2024-09-003,2024-09-19,2024-09-19,,day_resolved,high,https://qwenlm.github.io/blog/qwen2.5/,Qwen2.5: A Party of Foundation Models!,official_technical_blog,Official Qwen blog date.
AIT-2024-09-004,,,,unresolved,unresolved,,KLING 1.5,official source not found,No accessible first-party technical blog or announcement page was found for Kling 1.5 in this run.
AIT-2024-09-006,2024-09-25,2024-09-25,,day_resolved,high,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,"Llama 3.2: Revolutionizing edge AI and vision with open, customizable models",official_blog,"Meta AI blog page states September 25, 2024 and lists the 11B, 90B, 1B, and 3B Llama 3.2 models."
AIT-2024-09-007,2024-09-24,2024-09-24,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,Release notes list gemini-1.5-pro-002 and gemini-1.5-flash-002 as released for general availability.
AIT-2024-09-008,2024-09-18,2024-09-18,,day_resolved,high,https://kyutai.org/blog/2024-09-18-moshi-release/,Moshi open-source release: run Moshi locally!,official technical blog,Matches event text about open-source Moshi release.
AIT-2024-09-010,2024-09-17,2024-09-17,,day_resolved,high,https://docs.mistral.ai/models/model-cards/mistral-small-2-0-24-09,Mistral Small 2.0 - Mistral AI,official_model_card,"No separate Mistral news post was found in this pass; official Mistral model card states September 17, 2024 and gives API name mistral-small-2409."
AIT-2024-10-001,2024-10-02,2024-10-02,,day_resolved,high,https://bfl.ai/blog/24-10-02-flux,Announcing FLUX1.1 [pro] and the BFL API,official blog,"Official BFL blog dated October 2, 2024."
AIT-2024-10-003,,,,unresolved,unresolved,,Pika 1.5,official source not found,No accessible Pika first-party announcement page was found. Secondary sources suggest early October 2024 but are not used as official_date.
AIT-2024-10-010,2024-10-22,2024-10-22,,day_resolved,high,https://stability.ai/news/introducing-stable-diffusion-3-5,Introducing Stable Diffusion 3.5,official blog,Official page dated Oct 22 introduces 3.5 Large and Large Turbo; page notes Medium was added on Oct 29.
AIT-2024-10-011,2024-10-22,2024-10-22,,day_resolved,high,https://www.anthropic.com/news/3-5-models-and-computer-use,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",official_news,Anthropic News page announces the upgraded Claude 3.5 Sonnet.
AIT-2024-10-013,2024-10-30,2024-10-30,,day_resolved,high,https://www.recraft.ai/blog/recraft-introduces-a-revolutionary-ai-model-that-thinks-in-design-language,Introducing Recraft V3: #1 AI Image Generation Model,official blog,"Recraft 官方博客页面日期 October 30, 2024，由 month_only 升级为 day_resolved。（2026-07-02 三次补漏）"
AIT-2024-11-001,2024-11-28,2024-11-28,,day_resolved,high,https://qwenlm.github.io/blog/qwq-32b-preview/,QwQ: Reflect Deeply on the Boundaries of the Unknown,official_technical_blog,Official Qwen blog date differs from AA date by one day.
AIT-2024-11-002,2024-11-12,2024-11-12,,day_resolved,high,https://qwenlm.github.io/blog/qwen2.5-coder-family/,"Qwen2.5-Coder Series: Powerful, Diverse, Practical.",official_technical_blog,Official Qwen blog date differs from AA date by one day.
AIT-2024-11-005,2024-11-18,2024-11-18,,day_resolved,high,https://mistral.ai/news/pixtral-large/,Pixtral Large,official_blog,"Mistral AI news page states November 18, 2024 and announces Pixtral Large as a 124B open-weights multimodal model."
AIT-2024-11-007,2024-11-04,2024-11-04,,day_resolved,medium,https://cloud.google.com/vertex-ai/generative-ai/docs/release-notes; https://www.anthropic.com/news/3-5-models-and-computer-use,"Vertex AI release notes (November 04, 2024); Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",platform release notes; official_news,"ATL 11 月事件对应模型可用而非预告。Vertex AI release notes 记录 2024-11-04 Claude 3.5 Haiku GA（Anthropic 同日在 API 开放）。Anthropic 2024-10-22 博客为预告（""later this month""），保留为背景证据（2026-07-02 复核）。"
AIT-2024-12-001,2024-12-03,2024-12-03,,day_resolved,high,https://aws.amazon.com/blogs/aws/introducing-amazon-nova-frontier-intelligence-and-industry-leading-price-performance/,Introducing Amazon Nova foundation models: Frontier intelligence and industry leading price performance,official AWS News Blog,AWS News Blog announces Amazon Nova foundation models.
AIT-2024-12-002,2024-12-05,2024-12-05; 2024-12-09,,day_resolved,medium,https://openai.com/index/sora-is-here/; https://help.openai.com/en/articles/6825453-chatgpt-release-notes,Sora is here; ChatGPT Release Notes,official product announcement; official release notes,"Multi-model event. Sora page is dated December 9, 2024. o1 and o1 Pro dates are from first-party ChatGPT release notes rather than a dedicated dated page captured here."
AIT-2024-12-004,2024-12-11,2024-12-11,,day_resolved,high,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/google-gemini-ai-update-december-2024/,Introducing Gemini 2.0: our new AI model for the agentic era,Google Blog,Official Gemini 2.0 launch article; includes Gemini 2.0 Flash Experimental availability.
AIT-2024-12-005,2024-12-19,2024-12-19,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,Release notes list Gemini 2.0 Flash Thinking Mode public preview on this date.
