name_exact_status,time_match_status,strict_status,strict_reason,entity_id,event_id,ai_model_name,ai_year_month,ai_year,ai_month,aa_name,aa_creator,aa_modality,aa_release_date,aa_url,canonical_name,exact_name_candidate_count,same_month_candidate_count,same_month_candidates,all_exact_name_candidates,event_text
name_exact_keep,time_mismatch_or_missing,drop_name_exact_time_mismatch,normalized_name_exact_but_release_month_not_same_or_missing,AIT-2022-02-001-E01,AIT-2022-02-001,Midjourney v1,2022-02,2022,February,Midjourney V1,Midjourney,image-to-video,2025-06,https://artificialanalysis.ai/models/midjourney-v1,midjourneyv1,1,0,,Midjourney V1 | 2025-06 | Midjourney | image-to-video,Midjourney v1
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2022-03-001-E01,AIT-2022-03-001,text-davinci-002,2022-03,2022,March,,,,,,textdavinci002,0,0,,,OpenAI releases text-davinci-002 and code-davinci-002 with an API approach.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2022-03-001-E02,AIT-2022-03-001,code-davinci-002,2022-03,2022,March,,,,,,codedavinci002,0,0,,,OpenAI releases text-davinci-002 and code-davinci-002 with an API approach.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2022-04-001-E01,AIT-2022-04-001,Midjourney v2,2022-04,2022,April,,,,,,midjourneyv2,0,0,,,Midjourney v2
name_exact_keep,time_mismatch_or_missing,drop_name_exact_time_mismatch,normalized_name_exact_but_release_month_not_same_or_missing,AIT-2022-04-002-E01,AIT-2022-04-002,DALL-E 2,2022-04,2022,April,DALLE 2,OpenAI,text-to-image,2022-09,https://artificialanalysis.ai/models/dalle-2,dalle2,1,0,,DALLE 2 | 2022-09 | OpenAI | text-to-image,DALL-E 2 is announced for gradual release.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2022-07-001-E01,AIT-2022-07-001,Midjourney v3,2022-07,2022,July,,,,,,midjourneyv3,0,0,,,Midjourney v3 is launched.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2022-08-001-E01,AIT-2022-08-001,Stable Diffusion 1.4,2022-08,2022,August,,,,,,stablediffusion14,0,0,,,Stable Diffusion 1.4 is released.
name_exact_keep,same_month,strict_keep,normalized_name_exact_and_same_calendar_month,AIT-2022-10-001-E01,AIT-2022-10-001,Stable Diffusion 1.5,2022-10,2022,October,Stable Diffusion 1.5,Stability.ai,text-to-image,2022-10,https://artificialanalysis.ai/models/stable-diffusion-1-5,stablediffusion15,1,1,Stable Diffusion 1.5 | 2022-10 | Stability.ai | text-to-image,Stable Diffusion 1.5 | 2022-10 | Stability.ai | text-to-image,Stable Diffusion 1.5 becomes available.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2022-11-002-E01,AIT-2022-11-002,Midjourney v4,2022-11,2022,November,,,,,,midjourneyv4,0,0,,,Midjourney v4 is released.
drop_no_exact_name,no_exact_name,drop_no_exact_name,no_aa_model_with_exact_normalized_name,AIT-2022-11-003-E01,AIT-2022-11-003,Stable Diffusion 2.0,2022-11,2022,November,,,,,,stablediffusion20,0,0,,,Stable Diffusion 2.0 is launched.
