source,destination,reason,status
6.21事件集数据.csv,old/6.21事件集数据.csv,old root event dataset,ready
6.21事件集数据(1).csv,old/6.21事件集数据(1).csv,old root event dataset duplicate,ready
relationship_data_final.csv,old/relationship_data_final.csv,old relationship panel,ready
relationship_data_final 2.csv,old/relationship_data_final 2.csv,old relationship panel duplicate,ready
relationship_specr_newrel_report.md,old/relationship_specr_newrel_report.md,old relationship specification report,ready
6.21research proposal.docx,old/6.21research proposal.docx,old proposal document,ready
6.21research proposal(1).docx,old/6.21research proposal(1).docx,old proposal duplicate,ready
Long_prompt.md,old/Long_prompt.md,old-data draft revision notes,ready
可能需要修改的地方.docx,old/可能需要修改的地方.docx,old-data draft revision notes,ready
PAPER_B_WRITING_PLAN.md,old/PAPER_B_WRITING_PLAN.md,old-data paper plan,ready
paper_plan.md,old/paper_plan.md,old-data paper plan,ready
paper_plan 2.md,old/paper_plan 2.md,old-data paper plan duplicate,ready
prompt.md,old/prompt.md,old prompt,ready
prompt 2.md,old/prompt 2.md,old prompt duplicate,ready
proposal.md,old/proposal.md,old proposal,ready
proposal 2.md,old/proposal 2.md,old proposal duplicate,ready
research proposal.md,old/research proposal.md,old proposal,ready
research proposal 2.md,old/research proposal 2.md,old proposal duplicate,ready
research proposal.docx,old/research proposal.docx,old proposal,ready
research proposal 2.docx,old/research proposal 2.docx,old proposal duplicate,ready
result.md,old/result.md,old results narrative,ready
result 2.md,old/result 2.md,old results narrative duplicate,ready
long_tex_gap_analysis.md,old/long_tex_gap_analysis.md,old draft gap analysis,ready
long_tex_gap_analysis 2.md,old/long_tex_gap_analysis 2.md,old draft gap analysis duplicate,ready
to_do_align_proposal.md,old/to_do_align_proposal.md,old proposal alignment checklist,ready
to_do_align_proposal 2.md,old/to_do_align_proposal 2.md,old proposal alignment checklist duplicate,ready
data,old/data,old canonical/intermediate/panel dataset tree,ready
scripts,old/scripts,old preprocessing and regression scripts,ready
reports,old/reports,old generated reports,ready
task,old/task,old merge and relationship task workspace,ready
output,old/output,old generated tables and figures,ready
archive,old/archive,old pre-existing archive directory,ready
Tex,old/Tex,old TeX drafts and compile artifacts based on old sample,ready
大语言模型发布行为对金融市场的影响 - 来自美股市场的证据,old/大语言模型发布行为对金融市场的影响 - 来自美股市场的证据,nested old project copy,ready
new data set/scripts/compare_old60_new61.py,old/new data set/scripts/compare_old60_new61.py,old-vs-new comparison script dependent on old data,ready
new data set/reports/old60_new61_two_groups.md,old/new data set/reports/old60_new61_two_groups.md,old-vs-new comparison report,ready
new data set/reports/old60_vs_ai_timeline61_comparison_report.md,old/new data set/reports/old60_vs_ai_timeline61_comparison_report.md,old-vs-new comparison report,ready
new data set/processed/ai_timeline_61_event_level.csv,old/new data set/processed/ai_timeline_61_event_level.csv,old-vs-new comparison intermediate,ready
new data set/processed/old60_vs_ai_timeline61_comparison.xlsx,old/new data set/processed/old60_vs_ai_timeline61_comparison.xlsx,old-vs-new comparison workbook,ready
new data set/processed/old60_vs_ai_timeline61_new_view.csv,old/new data set/processed/old60_vs_ai_timeline61_new_view.csv,old-vs-new comparison table,ready
new data set/processed/old60_vs_ai_timeline61_objective_pairs.csv,old/new data set/processed/old60_vs_ai_timeline61_objective_pairs.csv,old-vs-new comparison table,ready
new data set/processed/old60_vs_ai_timeline61_old_view.csv,old/new data set/processed/old60_vs_ai_timeline61_old_view.csv,old-vs-new comparison table,ready
new data set/agent_tasks 2,old/new data set/agent_tasks 2,empty duplicate old folder,ready
new data set/processed 2,old/new data set/processed 2,empty duplicate old folder,ready
new data set/raw 2,old/new data set/raw 2,empty duplicate old folder,ready
new data set/reports 2,old/new data set/reports 2,empty duplicate old folder,ready
new data set/scripts 2,old/new data set/scripts 2,empty duplicate old folder,ready
agent_tasks/analysis_report_20260521-133006,old/agent_tasks/analysis_report_20260521-133006,old analysis task,ready
agent_tasks/car_pre_control_20260627,old/agent_tasks/car_pre_control_20260627,old CAR control task,ready
agent_tasks/coder_a_relationship_coding_2026062418,old/agent_tasks/coder_a_relationship_coding_2026062418,old relationship coding task,ready
agent_tasks/coder_ab_discrepancy_audit_20260624-211116,old/agent_tasks/coder_ab_discrepancy_audit_20260624-211116,old relationship discrepancy task,ready
agent_tasks/data_consolidation_20260614-122508,old/agent_tasks/data_consolidation_20260614-122508,old data consolidation task,ready
agent_tasks/econometric_robustness_20260613-210000,old/agent_tasks/econometric_robustness_20260613-210000,old econometric robustness task,ready
agent_tasks/event_data_cleaning_202606021351,old/agent_tasks/event_data_cleaning_202606021351,old event cleaning task,ready
agent_tasks/event_selection_provenance_2026062515,old/agent_tasks/event_selection_provenance_2026062515,old event provenance task,ready
agent_tasks/frl-draft_20260611-134549,old/agent_tasks/frl-draft_20260611-134549,old FRL draft task,ready
agent_tasks/frl_project_review_20260613-204658,old/agent_tasks/frl_project_review_20260613-204658,old project review task,ready
agent_tasks/frl_project_review_20260613-204850,old/agent_tasks/frl_project_review_20260613-204850,old project review task,ready
agent_tasks/frl_submission_20260614-091455,old/agent_tasks/frl_submission_20260614-091455,old submission package task,ready
agent_tasks/full_length_data_collection_todo_20260614.md,old/agent_tasks/full_length_data_collection_todo_20260614.md,old data collection task note,ready
agent_tasks/full_length_data_collection_todo_20260614 2.md,old/agent_tasks/full_length_data_collection_todo_20260614 2.md,old data collection task note duplicate,ready
agent_tasks/full_length_paper_gap_assessment_20260614.md,old/agent_tasks/full_length_paper_gap_assessment_20260614.md,old paper gap task note,ready
agent_tasks/latex_paper_2026061100,old/agent_tasks/latex_paper_2026061100,old LaTeX paper task,ready
agent_tasks/lit_review_long_new_20260625-194602,old/agent_tasks/lit_review_long_new_20260625-194602,old literature task tied to old draft,ready
agent_tasks/paper_b_robustness_2026062514,old/agent_tasks/paper_b_robustness_2026062514,old paper robustness task,ready
agent_tasks/proposal_gap_analysis_20260619-092947,old/agent_tasks/proposal_gap_analysis_20260619-092947,old proposal gap task,ready
agent_tasks/proposal_gap_completion_20260619-104007,old/agent_tasks/proposal_gap_completion_20260619-104007,old proposal completion task,ready
agent_tasks/publishable_results_inventory_20260613-233641.md,old/agent_tasks/publishable_results_inventory_20260613-233641.md,old results inventory task note,ready
agent_tasks/publishable_results_inventory_20260613-233641 2.md,old/agent_tasks/publishable_results_inventory_20260613-233641 2.md,old results inventory task note duplicate,ready
agent_tasks/ref_audit_20260625-233637,old/agent_tasks/ref_audit_20260625-233637,old reference audit task,ready
agent_tasks/relationship_coding_20260624-184054,old/agent_tasks/relationship_coding_20260624-184054,old relationship coding task,ready
agent_tasks/relationship_coding_20260624-184413,old/agent_tasks/relationship_coding_20260624-184413,old relationship coding task,ready
agent_tasks/relationship_coding_20260624-205216,old/agent_tasks/relationship_coding_20260624-205216,old relationship coding task,ready
agent_tasks/relationship_merge_20260625-0005,old/agent_tasks/relationship_merge_20260625-0005,old relationship merge task,ready
agent_tasks/relationship_recode_switch_2026062500,old/agent_tasks/relationship_recode_switch_2026062500,old relationship recode task,ready
agent_tasks/relationship_specr_newrel_20260625-005125,old/agent_tasks/relationship_specr_newrel_20260625-005125,old relationship specification task,ready
agent_tasks/specr_star_scan_20260627,old/agent_tasks/specr_star_scan_20260627,old specification scan task,ready
