new_match_status,new_event_id,new_ai_month,new_model_names,new_aa_names,new_aa_release_dates,matched_old_event_ids,matched_old_dates,matched_old_event_names,match_timing,month_gaps,matched_names,new_event_text
new61_only,AIT-2022-02-001,2022-02,Midjourney v1,Midjourney V1,2025-06,,,,,,,Midjourney v1
new61_only,AIT-2022-04-002,2022-04,DALL-E 2,DALLE 2,2022-09,,,,,,,DALL-E 2 is announced for gradual release.
new61_only,AIT-2022-10-001,2022-10,Stable Diffusion 1.5,Stable Diffusion 1.5,2022-10,,,,,,,Stable Diffusion 1.5 becomes available.
new61_only,AIT-2022-12-001,2022-12,Stable Diffusion 2.1,Stable Diffusion 2.1,2022-12,,,,,,,Stable Diffusion 2.1 is released.
new61_only,AIT-2023-03-002,2023-03,GPT-4,GPT-4,2023-03-14,,,,,,,"OpenAI's GPT-4 model is partially released, featuring multimodal image analysis and improved multi-language support."
new61_only,AIT-2023-05-002,2023-05,PaLM 2,PALM-2,2023-05-10,,,,,,,"Google announces an upgrade to Bard, moving it to the upgraded PaLM 2 language model. It will support 180 countries and many languages."
new61_only,AIT-2023-07-001,2023-07,Stable Diffusion XL 1.0,Stable Diffusion XL 1.0,2023-07,,,,,,,Stable Diffusion XL 1.0 is released.
new61_only,AIT-2023-10-001,2023-10,DALL-E 3,DALLE 3,2023-09,,,,,,,DALL-E 3 is released.
new61_only,AIT-2023-12-001,2023-12,Midjourney v6,Midjourney v6,2023-12,,,,,,,Midjourney v6 is launched.
matched_old60,AIT-2024-02-004,2024-02,Sora,Sora,2024-12,FMR-0016,2024-12-09,SORA,time_far,10,Sora = Sora,OpenAI announces the Sora model that produces videos up to a minute long. The model is not released to the public at this time.
new61_only,AIT-2024-04-001,2024-04,Stable Audio 2.0,Stable Audio 2.0,,,,,,,,Stability AI releases a new update to the music creation model - Stable Audio 2.0 .
new61_only,AIT-2024-05-001,2024-05,GPT-4o model,GPT-4o (May '24),2024-05-13,,,,,,,"OpenAI announces the GPT-4o model that presents full multimodal capabilities, including receiving and creating text, images, and audio. The model presents an impressive ability to speak with a high response speed and in natural language. The model is 2 times more efficient than the GPT-4 Turbo model, and has better capabilities for languages other than English."
new61_only,AIT-2024-06-003,2024-06,DeepSeekCoderV2,DeepSeek-Coder-V2,2024-06-17,,,,,,,"DeepSeekAI publishes the DeepSeekCoderV2 open source language model which presents similar coding capabilities to models such as GPT-4, Claude 3 Opus and more."
new61_only,AIT-2024-07-001,2024-07,GPT-4o mini,GPT-4o mini,2024-07-18,,,,,,,OpenAI has released a miniaturized model called GPT-4o mini that presents high capabilities at a low cost
