entity_id,entity_name,event_id,decision,target_aa_names,reason
AIT-2022-03-001-E02,code-davinci-002,AIT-2022-03-001,unmatched,,AA 未收录 2022 年 code-davinci-002
AIT-2023-10-002-E01,Firefly 2,AIT-2023-10-002,unmatched,,AA 的 Firefly Image 3/4/5 编号体系与 Firefly 2 不对应
AIT-2024-05-002-E03,Music AI,AIT-2024-05-002,unmatched,,Google I/O 功能代号，非独立可交易模型
AIT-2024-05-002-E05,Astra model,AIT-2024-05-002,unmatched,,Project Astra 是产品代号，非独立模型
AIT-2024-05-003-E02,Phi-3 Small,AIT-2024-05-003,unmatched,,AA 仅收录 Phi-3 Mini，具名兄弟型号不视为同一模型
AIT-2024-05-003-E03,Phi-3 Medium,AIT-2024-05-003,unmatched,,AA 仅收录 Phi-3 Mini
AIT-2024-05-003-E04,Phi-3 Vision,AIT-2024-05-003,unmatched,,AA 仅收录 Phi-3 Mini
AIT-2024-07-003-E01,Codestral Mamba,AIT-2024-07-003,unmatched,,AA 未收录
AIT-2024-07-003-E03,Mathstral,AIT-2024-07-003,unmatched,,AA 未收录
AIT-2024-08-005-E01,Phi 3.5,AIT-2024-08-005,unmatched,,AA 未收录 Phi 3.5
AIT-2024-08-008-E01,Dream Machine 1.5,AIT-2024-08-008,unmatched,,AA 未收录 Luma 该版本
AIT-2024-09-001-E01,Pixtral12B,AIT-2024-09-001,unmatched,,AA 仅收录 Pixtral Large
AIT-2024-10-002-E01,Movie Gen,AIT-2024-10-002,unmatched,,AA 未收录 Meta Movie Gen
AIT-2024-10-005-E01,Aria,AIT-2024-10-005,unmatched,,AA 未收录 Rhymes AI Aria
AIT-2024-10-009-E01,Fluid,AIT-2024-10-009,unmatched,,AA 未收录该文生图模型
AIT-2024-11-006-E01,gemini-exp-1114,AIT-2024-11-006,unmatched,,AA 未收录 experimental 快照
AIT-2024-11-006-E02,gemini-exp-1121,AIT-2024-11-006,unmatched,,AA 未收录 experimental 快照
AIT-2024-12-003-E01,Gemini-Exp-1206,AIT-2024-12-003,unmatched,,AA 未收录 experimental 快照
AIT-2025-01-004-E01,Titans,AIT-2025-01-004,unmatched,,研究论文架构，非发布模型
AIT-2025-01-006-E05,Qwen2.5-1M,AIT-2025-01-006,unmatched,,AA 未收录该长上下文变体
AIT-2025-01-006-E06,Qwen2.5-VL,AIT-2025-01-006,unmatched,,AA 未收录 Qwen2.5-VL
AIT-2025-05-011-E01,Gemini Diffusion,AIT-2025-05-011,unmatched,,AA 未收录该 experimental 模型
AIT-2025-10-002-E01,Gemini model for computer control,AIT-2025-10-002,unmatched,,无具体型号名
AIT-2025-12-001-E02,Mistral OCR 3,AIT-2025-12-001,unmatched,,AA 未收录 OCR 专用模型
AIT-2026-01-002-E01,Claude Cowork,AIT-2026-01-002,unmatched,,产品发布，非新模型
AIT-2025-11-004-E01,Gemini 3.0,AIT-2025-11-004,redirect,Gemini 3 Pro Preview (high),语义时间吻合，版本号书写差异（3.0≡3），人工确认为同一模型
AIT-2022-02-001-E01,Midjourney v1,AIT-2022-02-001,unmatched,,AA 未收录 2022 图像模型 v1（AA 的 Midjourney V1 是 2025-06 视频模型，不同产品）
AIT-2022-04-001-E01,Midjourney v2,AIT-2022-04-001,unmatched,,AA 未收录该历史版本
AIT-2022-07-001-E01,Midjourney v3,AIT-2022-07-001,unmatched,,AA 未收录该历史版本
AIT-2022-11-002-E01,Midjourney v4,AIT-2022-11-002,unmatched,,AA 未收录该历史版本
