event_id,ai_year,ai_month,model_names,aa_names,aa_release_dates,aa_creators,model_count,event_text
AIT-2023-05-002,2023,May,PaLM 2,PALM-2,2023-05-10,Google,1,"Google announces an upgrade to Bard, moving it to the upgraded PaLM 2 language model. It will support 180 countries and many languages."
AIT-2023-12-002,2023,December,Gemini Pro,Gemini 1.0 Pro,2023-12-06,Google,1,"Google upgrades Bard in limited areas, moving it to be based on the upgraded Gemini Pro language model."
AIT-2024-02-003,2024,February,Gemini Pro 1.5,Gemini 1.5 Pro (May '24),2024-05-15,Google,1,"Google announces the Gemini Pro 1.5 multimodal language model capable of parsing up to a million tokens, as well as parsing video and images. The model is gradually released to developers on a waiting list."
AIT-2024-05-002,2024,May,Gemini Flash 1.5 model,Gemini 1.5 Flash (May '24),2024-05-14,Google,1,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception."
AIT-2024-08-003,2024,August,Imagen 3,Imagen 3 (v002),2024-12,Google,1,"Google's image generation model, Imagen 3 , has been released."
AIT-2024-08-006,2024,August,Gemini 1.5 Flash8B,Gemini 1.5 Flash-8B,2024-10-03,Google,1,"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated."
AIT-2024-09-007,2024,September,Gemini Pro 1.5 002; Gemini Flash 1.5 002,Gemini 1.5 Pro (Sep '24); Gemini 1.5 Flash (Sep '24),2024-09-24; 2024-09-24,Google,2,"Google has rolled out new model updates ready for deployment, Gemini Pro 1.5 002 and Gemini Flash 1.5 002 , showcasing significantly improved longcontext processing."
AIT-2024-12-004,2024,December,Gemini 2.0 Flash,Gemini 2.0 Flash (experimental),2024-12-11,Google,1,"Google launched Gemini 2.0 Flash in beta. This model leads benchmarks and outperforms the previous version, Gemini Pro 1.5 . Additionally, Google introduced live speech and video mode and announced built-in image generation capabilities within the model."
AIT-2024-12-005,2024,December,Gemini-2.0-Flash-Thinking,Gemini 2.0 Flash Thinking Experimental (Dec '24),2024-12-19,Google,1,"Google revealed Gemini-2.0-Flash-Thinking , a thinking model based on Gemini 2.0 Flash , which secured second place in the chatbot leaderboard."
AIT-2024-12-006,2024,December,Veo 2,Veo 2,2024-12,Google,1,"Google introduced Veo 2 , a beta version video generation model capable of producing 4K videos up to two minutes long. The model outperformed SORA in human evaluations. Additionally, Google updated Imagen 3 , offering enhanced image quality and realism."
AIT-2025-01-002,2025,January,Gemini Flash Thinking 0121,Gemini 2.0 Flash Thinking Experimental (Jan '25),2025-01-21,Google,1,"Google introduced Gemini Flash Thinking 0121 , an enhanced reasoning model that secured the top spot in the Arena Chatbots rankings."
AIT-2025-02-004,2025,February 2025,Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental,Gemini 2.0 Flash (Feb '25); Gemini 2.0 Flash-Lite (Preview); Gemini 2.0 Pro Experimental (Feb '25),2025-02-05; 2025-02-05; 2025-02-05,Google,3,"Google releases Gemini 2.0 Flash , Gemini 2.0 Flash-Lite Preview , and Gemini 2.0 Pro Experimental ."
AIT-2025-03-001,2025,March 2025,Gemini 2.5 Pro,Gemini 2.5 Pro,2025-06-05,Google,1,"Google introduced Gemini 2.5 Pro , an experimental ""Thinking model"" with advanced reasoning and planning capabilities, a 1 million token context window, achieving top rankings across several key benchmarks."
AIT-2025-04-002,2025,April 2025,Gemini 2.5 Flash,Gemini 2.5 Flash (Reasoning),2025-05-20,Google,1,"Google launches Gemini 2.5 Flash , with a dynamic reasoning mode that allows tuning the reasoning level or disabling it as needed."
AIT-2025-05-004,2025,May 2025,Veo 3; Imagen 4,Veo 3; Imagen 4 Ultra; Imagen 4 Standard; Imagen 4 Fast,2025-07; 2025-06; 2025-06; 2025-06,Google,4,"Google releases Veo 3 , a video generation model for synchronized 4K video with natural audio integration, and Imagen 4 , an advanced image model with deeper contextual understanding and artistic style support."
AIT-2025-05-012,2025,May 2025,Gemma 3n,Gemma 3n E2B Instruct,2025-06-26,Google,1,"Google introduces Gemma 3n , an open-source generative AI model for on-device use, with an efficient architecture and multi-modal (audio, text, visual) capabilities."
AIT-2025-08-007,2025,August 2025,Gemini 2.5 Flash Image,Nano Banana (Gemini 2.5 Flash Image),2025-08,Google,1,"Google launched a preview of Gemini 2.5 Flash Image (showcased as *nano-banana*), an advanced model for precise image editing, merging, and maintaining character consistency."
AIT-2025-11-004,2025,November 2025,Gemini 3.0,Gemini 3 Pro Preview (high),2025-11-18,Google,1,"Google debuted Gemini 3.0 , a flagship ""thinking"" model that claimed the top spot on major benchmarks."
AIT-2025-11-006,2025,November 2025,Nano Banana Pro,Nano Banana Pro (Gemini 3 Pro Image),2025-11,Google,1,"Google released Nano Banana Pro , a superior image generation and editing model based on Gemini 3."
AIT-2025-12-003,2025,December 2025,Gemini 3.0 Flash; Gemini 2.5 Flash Audio,Gemini 3 Flash Preview (Reasoning); Gemini 2.5 Flash Native Audio Preview (Dec 2025),2025-12-17; ,Google,2,"Google introduces Gemini 3.0 Flash , setting a new standard for price-performance, and deploys Deep Research , an autonomous agent capable of multi-step synthesis, alongside Gemini 2.5 Flash Audio ."
AIT-2026-02-003,2026,February 2026,Gemini 3 Deep Think,Gemini 3 Deep Think,2026-02-05,Google,1,"Google launches Gemini 3 Deep Think , a specialized reasoning mode that reaches 84.6% on ARC-AGI-2 ."
AIT-2026-02-008,2026,February 2026,Nano Banana 2,Nano Banana 2 (Gemini 3.1 Flash Image Preview),2026-02,Google,1,"Google launches Nano Banana 2 , a Gemini 3.1 Flash-based image model that matches Nano Banana Pro quality at lower latency."
