"event_id","vendor","model_names","aa_names","official_date","source_url","source_title","source_type","confidence","notes"
"AIT-2024-06-003","DeepSeek","DeepSeekCoderV2","DeepSeek-Coder-V2","2024-06-17","https://arxiv.org/abs/2406.11931","DeepSeek-Coder-V2: Breaking the Barrier of Closed-Source Models in Code Intelligence","first-party_technical_report","high","DeepSeek-authored technical report date. No separate DeepSeek blog page found."
"AIT-2024-09-003","Alibaba","Qwen 2.5","Qwen2.5 Instruct 72B; Qwen2.5 Instruct 32B","2024-09-19","https://qwenlm.github.io/blog/qwen2.5/","Qwen2.5: A Party of Foundation Models!","official_technical_blog","high","Official Qwen blog date."
"AIT-2024-11-001","Alibaba","QwQ 32B Preview","QwQ 32B-Preview","2024-11-28","https://qwenlm.github.io/blog/qwq-32b-preview/","QwQ: Reflect Deeply on the Boundaries of the Unknown","official_technical_blog","high","Official Qwen blog date differs from AA date by one day."
"AIT-2024-11-002","Alibaba","Qwen2.5 Coder 32B","Qwen2.5 Coder Instruct 32B","2024-11-12","https://qwenlm.github.io/blog/qwen2.5-coder-family/","Qwen2.5-Coder Series: Powerful, Diverse, Practical.","official_technical_blog","high","Official Qwen blog date differs from AA date by one day."
"AIT-2024-12-013","DeepSeek","Deepseek V3","DeepSeek V3 (Dec '24)","2024-12-26","https://api-docs.deepseek.com/news/news1226","Introducing DeepSeek-V3","official_api_announcement","high","DeepSeek API Docs news page carries the release date."
"AIT-2025-01-003","DeepSeek","R1","DeepSeek R1 (Jan '25)","2025-01-20","https://api-docs.deepseek.com/news/news250120","DeepSeek-R1 Release","official_api_announcement","high","DeepSeek API Docs news page carries the release date."
"AIT-2025-01-005","DeepSeek","Janus Pro 7B","Janus Pro","2025-01-27","https://github.com/deepseek-ai/Janus","Janus-Series: Unified Multimodal Understanding and Generation Models","official_github_repository","high","Official DeepSeek GitHub repository news says Janus-Pro was released on 2025.01.27."
"AIT-2025-01-006","Alibaba","Qwen2.5-Max","Qwen2.5 Max","2025-01-28","https://qwenlm.github.io/blog/qwen2.5-max/","Qwen2.5-Max: Exploring the Intelligence of Large-scale MoE Model","official_technical_blog","high","Official Qwen blog date."
"AIT-2025-03-005","Alibaba","QwQ-32B","QwQ 32B","2025-03-06","https://qwenlm.github.io/blog/qwq-32b/","QwQ-32B: Embracing the Power of Reinforcement Learning","official_technical_blog","high","Official Qwen blog date differs from AA date by one day."
"AIT-2025-03-007","DeepSeek","DeepSeek-V3-0324","DeepSeek V3 0324","2025-03-25","https://api-docs.deepseek.com/news/news250325","DeepSeek-V3-0324 Release","official_api_announcement","high","DeepSeek API Docs news page carries the release date. Model name encodes 0324, but the official announcement page is dated 2025/03/25."
