"event_id","model_modalities","is_cross_modality_release","is_model_family","is_multimodal","is_reasoning_model","is_coding_model","is_media_generation_model","is_open_weight_or_open_source","is_chinese_model","notes","coder","coded_at"
"AIT-2022-04-002","text-to-image","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2022-10-001","text-to-image","0","0","0","0","0","1","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2022-12-001","text-to-image","0","0","0","0","0","1","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2023-03-002","language","0","0","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2023-05-002","language","0","0","0","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2023-07-001","text-to-image","0","0","0","0","0","1","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2023-07-002","language","0","0","0","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2023-07-003","language","0","1","0","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2023-10-001","text-to-image","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2023-12-001","text-to-image","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2023-12-002","language","0","0","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-02-001","text-to-image","0","1","0","0","0","1","1","0","SD3 为公告事件，权重后续放出；开源按 SD 家族惯例编 1，家族按 AA 两条记录编 1","final(A/B+arbitration)","2026-07-03"
"AIT-2024-02-003","language","0","0","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-03-002","language","0","1","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-04-001","music-instrumental","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-04-003","language","0","0","0","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-04-004","language","0","1","0","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-04-005","language","0","0","0","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-05-001","language","0","0","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-05-002","language","0","0","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-06-001","text-to-image","0","0","0","0","0","1","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-06-003","language","0","0","0","0","1","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-06-004","text-to-video","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-06-005","language","0","0","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-07-001","language","0","0","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-07-002","language","0","1","0","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-07-006","music-instrumental","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-07-007","language","0","0","0","0","0","0","1","0","Mistral Large 2 权重公开但为非商用研究许可，仍编开源 1","final(A/B+arbitration)","2026-07-03"
"AIT-2024-07-008","text-to-image","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-08-001","text-to-image","0","1","0","0","0","1","1","0","FLUX.1 事件实质为放权重（dev/schnell），旗舰 [pro] 为 API；按事件级规则编 1","final(A/B+arbitration)","2026-07-03"
"AIT-2024-08-002","language","0","0","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-08-003","text-to-image","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-08-004","language","0","1","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-08-006","language","0","1","1","0","0","0","0","0","事件文本明说三个实验模型（1.5 家族），family=1","final(A/B+arbitration)","2026-07-03"
"AIT-2024-09-002","language","0","1","0","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-09-003","language","0","1","0","0","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-09-006","language","0","1","1","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-09-007","language","0","1","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-09-008","speech-to-speech","0","0","0","0","0","1","1","0","Moshi 开源语音对话模型；音频进音频出按单媒体模态处理 multimodal=0","final(A/B+arbitration)","2026-07-03"
"AIT-2024-09-010","language","0","0","0","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-10-001","text-to-image","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-10-010","text-to-image","0","1","0","0","0","1","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-10-011","language","0","0","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-10-013","text-to-image","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-11-001","language","0","0","0","1","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-11-002","language","0","0","0","0","1","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-11-005","language","0","0","1","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-11-007","language","0","0","0","0","0","0","0","0","Claude 3.5 Haiku 上线时纯文本，multimodal=0","final(A/B+arbitration)","2026-07-03"
"AIT-2024-12-001","language","0","1","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-12-002","image-to-video; language","1","1","1","1","0","1","0","0","o1+o1 Pro 同系两档 family=1；含 Sora 跨模态；旗舰 o1 支持图像输入","final(A/B+arbitration)","2026-07-03"
"AIT-2024-12-004","language","0","0","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-12-005","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-12-006","text-to-video","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-12-008","language","0","0","0","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-12-009","language","0","0","0","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2024-12-013","language","0","0","0","0","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-01-002","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-01-003","language","0","0","0","1","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-01-005","text-to-image","0","0","1","0","0","1","1","1","Janus Pro 统一理解+生成，文本明说 fully multimodal，编 1","final(A/B+arbitration)","2026-07-03"
"AIT-2025-01-006","language","0","0","0","0","0","0","0","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-01-007","language","0","0","0","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-02-001","language","0","1","1","1","0","0","0","0","旗舰按 AA 指数为 Grok 3 mini Reasoning（AA 评分高于基础版），reasoning=1","final(A/B+arbitration)","2026-07-03"
"AIT-2025-02-002","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-02-004","language","0","1","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-02-006","language","0","1","1","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-02-007","language","0","0","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-03-001","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-03-003","image-editing","0","0","0","0","0","1","0","0","GPT-4o 图像生成能力发布，按媒体事件处理，multimodal 按媒体默认 0","final(A/B+arbitration)","2026-07-03"
"AIT-2025-03-005","language","0","0","0","1","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-03-007","language","0","0","0","0","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-04-001","language","0","1","1","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-04-002","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-04-004","language","0","1","1","0","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-04-005","language","0","0","1","1","0","0","0","0","o3 与 o4 mini 系列号不同，不按同家族编，family=0","final(A/B+arbitration)","2026-07-03"
"AIT-2025-04-006","text-to-image","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-04-007","image-to-video; text-to-video","0","0","0","0","0","1","0","1","跨厂商视频三连发（Kling/Runway/Vidu），旗舰 Kling 2.0 为中国模型，chinese=1；非同家族","final(A/B+arbitration)","2026-07-03"
"AIT-2025-04-008","language","0","1","0","1","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-05-002","music-instrumental","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-05-003","language","0","1","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-05-004","text-to-image; text-to-video","0","0","0","0","0","1","0","0","Veo 3 与 Imagen 4 为不同产品线，family=0","final(A/B+arbitration)","2026-07-03"
"AIT-2025-05-009","language","0","0","0","1","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-05-012","language","0","0","1","0","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-06-002","text-to-speech","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-06-003","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-07-001","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-07-005","language","0","1","0","0","0","0","1","1","旗舰为 2507 Instruct（非思考版）reasoning=0；含 Qwen3-Coder 组件但旗舰非编程模型 coding=0","final(A/B+arbitration)","2026-07-03"
"AIT-2025-07-006","language","0","0","0","0","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-07-007","language","0","0","0","1","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-08-002","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-08-004","language","0","1","0","1","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-08-005","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-08-006","language","0","0","0","1","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-08-007","image-editing","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-09-001","text-to-image","0","0","0","0","0","1","0","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-09-004","music-instrumental","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-09-005","language","0","0","0","0","0","0","0","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-09-007","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-09-008","text-to-video","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-09-009","language","0","0","0","1","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-10-003","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-11-001","language","0","0","0","1","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-11-002","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-11-003","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-11-004","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-11-006","text-to-image","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-11-007","language","0","0","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-11-008","image-editing","0","1","0","0","0","1","1","0","FLUX.2 旗舰 [pro] 为 API，dev 权重公开，事件级开源编 1","final(A/B+arbitration)","2026-07-03"
"AIT-2025-12-001","language","0","1","1","0","0","0","1","0","旗舰 Mistral Large 3（多模态、开放权重）；含 Devstral 2 编程系但旗舰非编程 coding=0","final(A/B+arbitration)","2026-07-03"
"AIT-2025-12-002","language; text-to-image","1","0","1","1","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-12-003","language; speech-to-speech","1","0","1","1","0","1","0","0","Gemini 3.0 Flash 与 2.5 Flash Audio 非同家族 family=0；含语音组件 cross/media=1","final(A/B+arbitration)","2026-07-03"
"AIT-2025-12-004","language; speech-to-speech","1","1","1","1","0","1","0","0","Nova 2.0 Pro (medium) 为推理档位 reasoning=1（待 B 核对）；含 Sonic 语音组件","final(A/B+arbitration)","2026-07-03"
"AIT-2025-12-005","text-to-video","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-12-006","speech-to-speech","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-12-007","language","0","0","0","1","0","0","1","1","","final(A/B+arbitration)","2026-07-03"
"AIT-2025-12-009","language","0","0","0","0","1","0","1","1","MiniMax-M2.1 定位编程/agent 模型 coding=1；权重在官方 HF 仓库 open=1；无 (Reasoning) 后缀 reasoning=0（待 B 核对）","final(A/B+arbitration)","2026-07-03"
"AIT-2026-01-003","language","0","0","1","1","0","0","1","1","Kimi K2.5 开源与视觉支持按公开报道编 1（发布时点较新，待 B 核对）","final(A/B+arbitration)","2026-07-03"
"AIT-2026-01-004","text-to-video","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2026-02-001","language","0","1","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2026-02-002","language","0","0","0","1","1","0","0","0","GPT-5.3-Codex 编程旗舰 coding=1，(xhigh) 推理档 reasoning=1；图像输入不确定 multimodal=0","final(A/B+arbitration)","2026-07-03"
"AIT-2026-02-005","language","0","0","0","1","0","0","1","1","GLM-5 按 Zhipu 开放权重惯例编 open=1（待 B 核对）","final(A/B+arbitration)","2026-07-03"
"AIT-2026-02-006","language","0","0","1","1","0","0","0","0","该事件已被 D1 决策标记主样本剔除，标签仍照编","final(A/B+arbitration)","2026-07-03"
"AIT-2026-02-008","text-to-image","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2026-03-002","language","0","1","1","1","0","0","0","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2026-03-003","language","0","0","1","1","0","0","1","0","","final(A/B+arbitration)","2026-07-03"
"AIT-2026-03-004","music-instrumental","0","0","0","0","0","1","0","0","","final(A/B+arbitration)","2026-07-03"
