"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared"
"sentiment mean w5","mkt_car_1","all event-firm panel","z_sent_w5",-0.00143211308276653,0.00140751213657011,0.314247781383722,-0.00426528806789418,0.00140106190236113,3672,47,0.0144632002887445
"sentiment mean and disagreement w5","mkt_car_1","all event-firm panel","z_sent_w5",-0.00132589576144143,0.00143806739582261,0.361557611614476,-0.00422413016084709,0.00157233863796424,3590,45,0.0202491816308192
"sentiment mean and disagreement w5","mkt_car_1","all event-firm panel","z_sent_sd_w5",-0.00123608571938702,0.00175019634426859,0.483752439357362,-0.00476337468053595,0.00229120324176191,3590,45,0.0202491816308192
"sentiment asymmetry w5","mkt_car_1","all event-firm panel","sent_w5_pos_part",-0.00259075586038497,0.00225323067032048,0.256170733649997,-0.00712627396002333,0.0019447622392534,3672,47,0.0146112490009155
"sentiment asymmetry w5","mkt_car_1","all event-firm panel","sent_w5_neg_abs",0.000113739611769503,0.00280642736333218,0.967847375700214,-0.00553530567656891,0.00576278490010792,3672,47,0.0146112490009155
"sentiment negative interaction w5","mkt_car_1","all event-firm panel","z_sent_w5",-0.00158662331466226,0.00214306079913715,0.462847614682773,-0.00590038096546219,0.00272713433613767,3672,47,0.0145170203320535
"sentiment negative interaction w5","mkt_car_1","all event-firm panel","sent_w5_negative",0.00373497588742138,0.00638857851057843,0.561650968758457,-0.00912456567987319,0.016594517454716,3672,47,0.0145170203320535
"sentiment negative interaction w5","mkt_car_1","all event-firm panel","z_sent_w5:sent_w5_negative",0.00282092213214993,0.00367976481027192,0.447233577671244,-0.00458606025950501,0.0102279045238049,3672,47,0.0145170203320535
"sentiment disagreement x intelligence","mkt_car_1","all event-firm panel","z_sent_w5",-0.00195783616084131,0.0017012035233437,0.25737942922514,-0.00540803682098146,0.00149236449929885,2949,37,0.0352421847303499
"sentiment disagreement x intelligence","mkt_car_1","all event-firm panel","z_sent_sd_w5",-0.00165812573234548,0.00172400367437047,0.342572215887143,-0.00515456724200449,0.00183831577731353,2949,37,0.0352421847303499
"sentiment disagreement x intelligence","mkt_car_1","all event-firm panel","z_intelligence",0.00521681507207988,0.0022713908240701,0.0275579727206366,0.000610220967901281,0.00982340917625849,2949,37,0.0352421847303499
"sentiment disagreement x intelligence","mkt_car_1","all event-firm panel","z_sent_sd_w5:z_intelligence",-0.00131977412026974,0.00134696742270402,0.333718255119486,-0.00405155066977187,0.00141200242923239,2949,37,0.0352421847303499
"sentiment mean and disagreement w20","mkt_car_1","all event-firm panel","z_sent_w20",-0.00152456730371085,0.0012950314162181,0.244671978026206,-0.00412571445521247,0.00107657984779077,3915,51,0.0133228106676503
"sentiment mean and disagreement w20","mkt_car_1","all event-firm panel","z_sent_sd_w20",-0.000540644967024486,0.00138849506490351,0.698652436864078,-0.00332951938174337,0.0022482294476944,3915,51,0.0133228106676503
"sentiment asymmetry w20","mkt_car_1","all event-firm panel","sent_w20_pos_part",-0.00304353377535275,0.00198780144166045,0.131690858362153,-0.00703055855645029,0.000943491005744795,4155,54,0.0163958461588984
