new_event_id,new_ai_month,new_ai_year,new_model_names,new_aa_names,new_aa_release_dates,new_aa_creators,new_model_count,new_event_text
AIT-2022-02-001,2022-02,2022,Midjourney v1,Midjourney V1,2025-06,Midjourney,1,Midjourney v1
AIT-2022-04-002,2022-04,2022,DALL-E 2,DALLE 2,2022-09,OpenAI,1,DALL-E 2 is announced for gradual release.
AIT-2022-10-001,2022-10,2022,Stable Diffusion 1.5,Stable Diffusion 1.5,2022-10,Stability.ai,1,Stable Diffusion 1.5 becomes available.
AIT-2022-12-001,2022-12,2022,Stable Diffusion 2.1,Stable Diffusion 2.1,2022-12,Stability.ai,1,Stable Diffusion 2.1 is released.
AIT-2023-03-002,2023-03,2023,GPT-4,GPT-4,2023-03-14,OpenAI,1,"OpenAI's GPT-4 model is partially released, featuring multimodal image analysis and improved multi-language support."
AIT-2023-05-002,2023-05,2023,PaLM 2,PALM-2,2023-05-10,Google,1,"Google announces an upgrade to Bard, moving it to the upgraded PaLM 2 language model. It will support 180 countries and many languages."
AIT-2023-07-001,2023-07,2023,Stable Diffusion XL 1.0,Stable Diffusion XL 1.0,2023-07,Stability.ai,1,Stable Diffusion XL 1.0 is released.
AIT-2023-10-001,2023-10,2023,DALL-E 3,DALLE 3,2023-09,OpenAI,1,DALL-E 3 is released.
AIT-2023-12-001,2023-12,2023,Midjourney v6,Midjourney v6,2023-12,Midjourney,1,Midjourney v6 is launched.
AIT-2024-02-004,2024-02,2024,Sora,Sora,2024-12,OpenAI,1,OpenAI announces the Sora model that produces videos up to a minute long. The model is not released to the public at this time.
AIT-2024-04-001,2024-04,2024,Stable Audio 2.0,Stable Audio 2.0,,Stability.ai,1,Stability AI releases a new update to the music creation model - Stable Audio 2.0 .
AIT-2024-05-001,2024-05,2024,GPT-4o model,GPT-4o (May '24),2024-05-13,OpenAI,1,"OpenAI announces the GPT-4o model that presents full multimodal capabilities, including receiving and creating text, images, and audio. The model presents an impressive ability to speak with a high response speed and in natural language. The model is 2 times more efficient than the GPT-4 Turbo model, and has better capabilities for languages other than English."
AIT-2024-06-003,2024-06,2024,DeepSeekCoderV2,DeepSeek-Coder-V2,2024-06-17,DeepSeek,1,"DeepSeekAI publishes the DeepSeekCoderV2 open source language model which presents similar coding capabilities to models such as GPT-4, Claude 3 Opus and more."
