"event_id","vendor","model_names","aa_names","official_date","source_url","source_title","source_type","confidence","notes"
"AIT-2023-07-003","Meta","LLaMA 2","Llama 2 Chat 70B; Llama 2 Chat 13B; Llama 2 Chat 7B","2023-07-18","https://ai.meta.com/blog/llama-2/","Meta and Microsoft Introduce the Next Generation of Llama","official_blog","high","Meta AI blog page states July 18, 2023 and says Llama 2 is available starting today."
"AIT-2024-04-003","Mistral","Mixtral 8x22B","Mixtral 8x22B Instruct","2024-04-17","https://mistral.ai/news/mixtral-8x22b/","Cheaper, Better, Faster, Stronger","official_blog","high","Mistral AI news page states April 17, 2024 and describes Mixtral 8x22B as the latest open model."
"AIT-2024-04-004","Meta","LLaMA 3","Llama 3 Instruct 70B; Llama 3 Instruct 8B","2024-04-18","https://ai.meta.com/blog/meta-llama-3/","Introducing Meta Llama 3: The most capable openly available LLM to date","official_blog","high","Meta AI blog page states April 18, 2024 and introduces the 8B and 70B Llama 3 models."
"AIT-2024-04-005","Microsoft","Phi-3-mini","Phi-3 Mini Instruct 3.8B","2024-04-23","https://azure.microsoft.com/en-us/blog/introducing-phi-3-redefining-whats-possible-with-slms/","Introducing Phi-3: Redefining what's possible with SLMs","official_blog","high","Microsoft Azure Blog states April 23, 2024 and says Phi-3-mini is available starting today."
"AIT-2024-07-002","Meta","llama 3.1 model","Llama 3.1 Instruct 405B; Llama 3.1 Instruct 70B; Llama 3.1 Instruct 8B","2024-07-23","https://ai.meta.com/blog/meta-llama-3-1/","Introducing Llama 3.1: Our most capable models to date","official_blog","high","Meta AI blog page states July 23, 2024 and says the latest models include Llama 3.1 405B plus upgraded 8B and 70B models."
"AIT-2024-07-007","Mistral","Mistral Large 2","Mistral Large 2 (Jul '24)","2024-07-24","https://mistral.ai/news/mistral-large-2407/","Large Enough","official_blog","high","Mistral AI news page states July 24, 2024 and identifies the API name as mistral-large-2407."
"AIT-2024-09-006","Meta","Llama 3.2","Llama 3.2 Instruct 90B (Vision); Llama 3.2 Instruct 11B (Vision); Llama 3.2 Instruct 3B; Llama 3.2 Instruct 1B","2024-09-25","https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/","Llama 3.2: Revolutionizing edge AI and vision with open, customizable models","official_blog","high","Meta AI blog page states September 25, 2024 and lists the 11B, 90B, 1B, and 3B Llama 3.2 models."
"AIT-2024-09-010","Mistral","Mistral Small","Mistral Small (Sep '24)","2024-09-17","https://docs.mistral.ai/models/model-cards/mistral-small-2-0-24-09","Mistral Small 2.0 - Mistral AI","official_model_card","high","No separate Mistral news post was found in this pass; official Mistral model card states September 17, 2024 and gives API name mistral-small-2409."
"AIT-2024-11-005","Mistral","Pixtral Large","Pixtral Large","2024-11-18","https://mistral.ai/news/pixtral-large/","Pixtral Large","official_blog","high","Mistral AI news page states November 18, 2024 and announces Pixtral Large as a 124B open-weights multimodal model."
"AIT-2024-12-008","Microsoft","Phi4","Phi-4","2024-12-12","https://huggingface.co/microsoft/phi-4","microsoft/phi-4","official_model_card","high","Official Microsoft Hugging Face model card lists release date December 12, 2024 and MIT license. I did not find a stable Microsoft Research blog URL during this pass."
"AIT-2024-12-009","Meta","Llama 3.3 70B","Llama 3.3 Instruct 70B","2024-12-06","https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct","meta-llama/Llama-3.3-70B-Instruct","official_model_card","high","Official Meta Llama Hugging Face model card states Llama 3.3 Version Release Date: December 6, 2024. I did not find a separate ai.meta.com/blog post during this pass."
"AIT-2025-02-006","Microsoft","Phi4-mini; Phi4 Multimodal","Phi-4 Mini Instruct; Phi-4 Multimodal Instruct","2025-02-26","https://azure.microsoft.com/en-us/blog/empowering-innovation-the-next-generation-of-the-phi-family/","Empowering innovation: The next generation of the Phi family","official_blog","high","Microsoft Azure Blog states February 26, 2025 and announces Phi-4-mini and Phi-4-multimodal. This corrects the AA-side 2024-02-26 typo for Phi-4 Mini."
"AIT-2025-04-001","Meta","Llama 4","Llama 4 Maverick; Llama 4 Scout","2025-04-05","https://ai.meta.com/blog/llama-4-multimodal-intelligence/","The Llama 4 herd: The beginning of a new era of natively multimodal AI innovation","official_blog","high","Meta AI blog page states April 5, 2025 and says Llama 4 Scout and Llama 4 Maverick are available for download today."
"AIT-2025-12-001","Mistral","Mistral 3; Devstral 2","Mistral Large 3; Ministral 3 3B; Ministral 3 8B; Ministral 3 14B; Devstral 2","2025-12-02; 2025-12-09","https://mistral.ai/news/mistral-3/; https://mistral.ai/news/devstral-2-vibe-cli/","Introducing Mistral 3; Introducing: Devstral 2 and Mistral Vibe CLI.","official_blog; official_blog","high","The event combines two Mistral announcements: Mistral 3 and Ministral 3 on December 2, 2025, and Devstral 2 on December 9, 2025."
"AIT-2026-03-003","Mistral","Mistral Small 4","Mistral Small 4 (Reasoning)","2026-03-16","https://docs.mistral.ai/models/model-cards/mistral-small-4-0-26-03","Mistral Small 4 - Mistral AI","official_model_card","high","Official Mistral model card states March 16, 2026 for Mistral Small 4. I did not find a separate Mistral news post during this pass."
