event_id,ai_year,ai_month,model_names,aa_names,aa_release_dates,aa_creators,model_count,event_text,official_date,official_date_all,official_date_month_candidates,date_status,date_confidence,date_source_urls,date_source_titles,date_source_types,date_notes
AIT-2022-04-002,2022,April,DALL-E 2,DALLE 2,2022-09,OpenAI,1,DALL-E 2 is announced for gradual release.,2022-04-06,2022-04-06,,day_resolved,medium,https://openai.com/index/dall-e-2/,DALL·E 2,official page (dated via Wayback first snapshot),OpenAI 官方页面本身无日期；Wayback Machine 首次快照为 2022-04-06T14:10Z，与公开报道的公告日 2022-04-06 一致。（2026-07-02 三次补漏）
AIT-2022-10-001,2022,October,Stable Diffusion 1.5,Stable Diffusion 1.5,2022-10,Stability.ai,1,Stable Diffusion 1.5 becomes available.,2022-10-20,2022-10-20,,day_resolved,medium,https://huggingface.co/runwayml/stable-diffusion-v1-5,"Stable Diffusion v1-5 (runwayml, Hugging Face)",first-party model repo (dated via Wayback first snapshot),原 runwayml 仓库页 Wayback 首次快照为 2022-10-20，与二手报道的发布日一致。（2026-07-02 三次补漏）
AIT-2022-12-001,2022,December,Stable Diffusion 2.1,Stable Diffusion 2.1,2022-12,Stability.ai,1,Stable Diffusion 2.1 is released.,2022-12-07,2022-12-07,,day_resolved,high,https://stability.ai/news-updates/stablediffusion2-1-release7-dec-2022,Stable Diffusion v2.1 and DreamStudio Updates 7-Dec 22; Stable Diffusion v2.1 and DreamStudio Updates 7-Dec-22,official blog; official blog not retrieved,"Second-pass verification. Official Stability AI page title includes 7-Dec-22 and page source exposes datePublished 2022-12-07. | Search indexes reference an official Stability AI page dated 7-Dec-22, but no accessible first-party page URL was recovered in this run."
AIT-2023-03-002,2023,March,GPT-4,GPT-4,2023-03-14,OpenAI,1,"OpenAI's GPT-4 model is partially released, featuring multimodal image analysis and improved multi-language support.",2023-03-14,2023-03-14,,day_resolved,high,https://openai.com/index/gpt-4-research/,GPT-4,official research announcement,"OpenAI research page is dated March 14, 2023."
AIT-2023-05-002,2023,May,PaLM 2,PALM-2,2023-05-10,Google,1,"Google announces an upgrade to Bard, moving it to the upgraded PaLM 2 language model. It will support 180 countries and many languages.",2023-05-10,2023-05-10,,day_resolved,high,https://blog.google/innovation-and-ai/products/google-palm-2-ai-large-language-model/,Introducing PaLM 2,Google Blog,Article date is the official PaLM 2 announcement.
AIT-2023-07-001,2023,July,Stable Diffusion XL 1.0,Stable Diffusion XL 1.0,2023-07,Stability.ai,1,Stable Diffusion XL 1.0 is released.,2023-07-26,2023-07-26,,day_resolved,high,https://stability.ai/news-updates/stable-diffusion-sdxl-1-announcement; https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0,Announcing SDXL 1.0; SD-XL 1.0-base Model Card,official blog; first-party model card,Second-pass verification. Official Stability AI page source exposes datePublished 2023-07-26. | Official Hugging Face model card confirms model identity and technical details but does not expose a release date. Stability official blog was referenced by indexes but not retrieved.
AIT-2023-07-002,2023,July,Claude 2,Claude 2.0,2023-07-11,Anthropic,1,Anthropic announces a new version of their large language model - Claude 2 .,2023-07-11,2023-07-11,,day_resolved,high,https://www.anthropic.com/news/claude-2,Claude 2,official_news,Anthropic News page title and date directly match the model announcement.
AIT-2023-07-003,2023,July,LLaMA 2,Llama 2 Chat 70B; Llama 2 Chat 13B; Llama 2 Chat 7B,2023-07-18; 2023-07-18; 2023-07-18,Meta,3,Meta releases the LLaMA 2 open source language model to the general public in a variety of sizes.,2023-07-18,2023-07-18,,day_resolved,high,https://ai.meta.com/blog/llama-2/,Meta and Microsoft Introduce the Next Generation of Llama,official_blog,"Meta AI blog page states July 18, 2023 and says Llama 2 is available starting today."
AIT-2023-10-001,2023,October,DALL-E 3,DALLE 3,2023-09,OpenAI,1,DALL-E 3 is released.,2023-10-19,2023-10-19,,day_resolved,medium,https://openai.com/blog/dall-e-3-is-now-available-in-chatgpt-plus-and-enterprise,DALL·E 3 is now available in ChatGPT Plus and Enterprise,official blog (dated via Wayback first snapshot),ATL 10 月事件对应 ChatGPT 内可用；该官方博客 Wayback 首次快照为 2023-10-19。9 月 20 日为预告公告，与本事件月不符。（2026-07-02 三次补漏）
AIT-2023-12-001,2023,December,Midjourney v6,Midjourney v6,2023-12,Midjourney,1,Midjourney v6 is launched.,2023-12-20,2023-12-20,,day_resolved,high,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,Version,official documentation,Midjourney documentation states V6 was released on 2023-12-20.
AIT-2023-12-002,2023,December,Gemini Pro,Gemini 1.0 Pro,2023-12-06,Google,1,"Google upgrades Bard in limited areas, moving it to be based on the upgraded Gemini Pro language model.",2023-12-06,2023-12-06,,day_resolved,high,https://blog.google/products-and-platforms/products/gemini/google-bard-try-gemini-ai/,Bard gets its biggest upgrade yet with Gemini,Google Blog,Article says Gemini Pro starts rolling out in Bard that day.
AIT-2024-02-001,2024,February,Stable Diffusion 3,Stable Diffusion 3 Large; Stable Diffusion 3 Large Turbo,2024-02; 2024-02,Stability.ai,2,Stability AI announces Stable Diffusion 3 (gradually released to waiting list).,2024-02-22,2024-02-22,,day_resolved,high,https://stability.ai/news/stable-diffusion-3,Stable Diffusion 3,official blog,Official Stability AI page dated Feb 22; year inferred from event year and page context.
AIT-2024-02-003,2024,February,Gemini Pro 1.5,Gemini 1.5 Pro (May '24),2024-05-15,Google,1,"Google announces the Gemini Pro 1.5 multimodal language model capable of parsing up to a million tokens, as well as parsing video and images. The model is gradually released to developers on a waiting list.",2024-02-15,2024-02-15,,day_resolved,high,https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024/,Our next-generation model: Gemini 1.5,Google Blog,Official announcement of Gemini 1.5 Pro early testing; AA record is a later May 2024 snapshot.
AIT-2024-03-002,2024,March,Claude 3,Claude 3 Opus; Claude 3 Sonnet; Claude 3 Haiku,2024-03-04; 2024-03-04; 2024-03-04,Anthropic,3,"Anthropic announces Claude 3 , a new version of their large language model. The version is deployed in 3 different sizes, with the largest model performing better than GPT-4.",2024-03-04,2024-03-04,,day_resolved,high,https://www.anthropic.com/news/claude-3-family,Introducing the next generation of Claude,official_news,Anthropic News page announces the Claude 3 family including Opus Sonnet and Haiku.
AIT-2024-04-001,2024,April,Stable Audio 2.0,Stable Audio 2.0,,Stability.ai,1,Stability AI releases a new update to the music creation model - Stable Audio 2.0 .,2024-04-03,2024-04-03,,day_resolved,high,https://stability.ai/news/stable-audio-2-0,Introducing Stable Audio 2.0,official blog,Official Stability AI page dated Apr 3; year inferred from event year and page context.
