company_id,creator,upstream_hardware,upstream_cloud,downstream_integrator,downstream_deployer,downstream_enabler,competitor,is_investor,is_owner,confidence,justification
000660 KS,Alibaba,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,Anthropic,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,DeepSeek,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,Google,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,Kuaishou,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,Meta,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,Microsoft,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,Mistral AI,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,OpenAI,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,Runway,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,ShengShu Technology,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,Stability AI,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,Zhipu AI,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
000660 KS,xAI,1,0,0,0,0,0,0,0,H,R1:HBM supplier for AI accelerators
005930 KS,Alibaba,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,Anthropic,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,DeepSeek,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,Google,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,Kuaishou,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,Meta,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,Microsoft,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,Mistral AI,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,OpenAI,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,Runway,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,ShengShu Technology,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,Stability AI,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,Zhipu AI,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
005930 KS,xAI,1,0,0,0,0,0,0,0,H,R1:HBM DRAM NAND and foundry services for AI hardware
2353 TT,Alibaba,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,Anthropic,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,DeepSeek,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,Google,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,Kuaishou,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,Meta,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,Microsoft,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,Mistral AI,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,OpenAI,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,Runway,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,ShengShu Technology,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,Stability AI,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,Zhipu AI,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2353 TT,xAI,1,0,0,0,0,0,0,0,L,R1:PC and hardware maker with limited AI infrastructure exposure
2395 TT,Alibaba,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,Anthropic,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,DeepSeek,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,Google,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,Kuaishou,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,Meta,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,Microsoft,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,Mistral AI,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,OpenAI,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,Runway,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,ShengShu Technology,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,Stability AI,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,Zhipu AI,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
2395 TT,xAI,1,0,0,0,0,0,0,0,L,R1:industrial edge computing platforms
3443 TT,Alibaba,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,Anthropic,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,DeepSeek,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,Google,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,Kuaishou,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,Meta,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,Microsoft,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,Mistral AI,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,OpenAI,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,Runway,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,ShengShu Technology,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,Stability AI,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,Zhipu AI,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3443 TT,xAI,1,0,0,0,0,0,0,0,L,R1:memory modules with indirect AI exposure
3690 HK,Alibaba,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations
