final_event_id,company_id,creator,upstream_hardware,upstream_cloud,downstream_integrator,downstream_deployer,downstream_enabler,competitor,is_investor,is_owner,confidence,justification
FMR-0001,005930 KS,Meta,1,0,0,0,0,0,0,0,H,HBM/DRAM supplier and chip foundry for AI infrastructure
FMR-0001,GOOGL,Meta,0,1,0,0,0,1,0,0,H,GCP hosts AI workloads; Gemini competes
FMR-0001,MU,Meta,1,0,0,0,0,0,0,0,H,HBM and DRAM memory for AI training/inference
FMR-0001,AMD,Meta,1,0,0,0,0,0,0,0,H,MI-series AI accelerators and EPYC CPUs for AI training/inference
FMR-0001,000660 KS,Meta,1,0,0,0,0,0,0,0,H,HBM memory supplier for AI training/inference infrastructure
FMR-0001,BABA,Meta,0,1,0,0,0,1,0,0,H,Alibaba Cloud hosts AI workloads; Qwen competes
FMR-0001,TSM,Meta,1,0,0,0,0,0,0,0,H,Fabricates AI chips for NVIDIA/AMD and other AI silicon designers
FMR-0001,TSLA,Meta,0,0,0,1,0,0,0,0,H,FSD uses AI; core is automotive/energy
FMR-0001,AAPL,Meta,0,0,0,0,0,1,0,0,M,Apple Intelligence competes with all foundation model creators
FMR-0001,AVGO,Meta,1,0,0,0,0,0,0,0,H,Custom AI accelerators (e.g. Google TPU) and data center networking
FMR-0001,CSCO,Meta,0,0,0,1,0,0,0,0,M,AI-powered networking and security products; core business is networking equipment
FMR-0001,700 HK,Meta,0,0,0,0,0,1,0,0,M,Hunyuan models compete with all foundation model creators
FMR-0001,NVDA,Meta,1,0,0,0,0,0,0,0,H,GPU supplier for AI training/inference; dominant AI accelerator provider
FMR-0001,AMZN,Meta,0,1,0,0,0,1,0,0,H,AWS hosts AI workloads; Titan/Nova competes
FMR-0001,PLTR,Meta,0,0,1,0,0,0,0,0,H,AIP platform directly integrates LLMs
FMR-0001,IBM,Meta,0,0,0,0,1,1,0,0,H,AI consulting services (watsonx) plus own Granite foundation models competing with creators
FMR-0001,MSFT,Meta,0,1,1,0,0,1,0,0,H,Azure hosts AI workloads; Copilot integrates AI; Phi competes
FMR-0001,META,Meta,0,0,0,0,0,0,0,1,H,Meta Platforms is the listed entity
FMR-0001,SIE GR,Meta,0,0,0,1,0,0,0,0,H,Industrial AI digital twin and automation; core business is industrial technology
FMR-0001,CRM,Meta,0,0,1,0,0,0,0,0,H,Einstein GPT/Agentforce
FMR-0001,NFLX,Meta,0,0,0,1,0,0,0,0,M,AI recommendation engine; core business is streaming
FMR-0001,ORCL,Meta,0,1,0,0,0,0,0,0,H,OCI used for AI training workloads
FMR-0001,INTC,Meta,1,0,0,0,0,0,0,0,H,Gaudi AI accelerators and Xeon CPUs for AI workloads
FMR-0001,ACN,Meta,0,0,0,0,1,0,0,0,H,Global IT consulting with major GenAI practice helping clients adopt AI
FMR-0001,UBER,Meta,0,0,0,1,0,0,0,0,H,AI routing/pricing optimization; core is transportation
