event_id,ai_year,ai_month,model_names,aa_names,aa_release_dates,aa_creators,model_count,event_text
AIT-2023-07-002,2023,July,Claude 2,Claude 2.0,2023-07-11,Anthropic,1,Anthropic announces a new version of their large language model - Claude 2 .
AIT-2024-03-002,2024,March,Claude 3,Claude 3 Opus; Claude 3 Sonnet; Claude 3 Haiku,2024-03-04; 2024-03-04; 2024-03-04,Anthropic,3,"Anthropic announces Claude 3 , a new version of their large language model. The version is deployed in 3 different sizes, with the largest model performing better than GPT-4."
AIT-2024-06-005,2024,June,Claude Sonnet 3.5,Claude 3.5 Sonnet (June '24),2024-06-21,Anthropic,1,"Anthropic releases the Claude Sonnet 3.5 model, which presents better capabilities than other models with low resource usage."
AIT-2024-10-011,2024,October,Claude 3.5 Sonnet New,Claude 3.5 Sonnet (Oct '24),2024-10-22,Anthropic,1,"Anthropic launches Claude 3.5 Sonnet New , demonstrating significant advancements in specific areas over its previous version, and announces Claude 3.5 Haiku ."
AIT-2024-11-007,2024,November,Claude 3.5 Haiku,Claude 3.5 Haiku,2024-10-22,Anthropic,1,Anthropic launches Claude 3.5 Haiku and Visual PDF Analysis in Claude.
AIT-2025-02-002,2025,February 2025,Claude 3.7,Claude 3.7 Sonnet (Reasoning),2025-02-24,Anthropic,1,"Anthropic introduces Claude 3.7 and Claude 3.7 Thinking , a new model with enhanced coding performance, support for ""Extended Thinking"" mode, and the ability to analyze reasoning processes."
AIT-2025-05-003,2025,May 2025,Claude 4 Opus; Claude Sonnet 4,Claude 4 Opus (Reasoning); Claude 4 Sonnet (Reasoning),2025-05-22; 2025-05-22,Anthropic,2,"Anthropic releases Claude 4 Opus and Claude Sonnet 4 : Opus 4 offers a Hybrid ""Deep Thought"" mode with enhanced long-term context and 7-hour autonomous operation; Sonnet 4 focuses on improved math and coding performance."
AIT-2025-08-002,2025,August 2025,Claude Opus 4.1,Claude 4.1 Opus (Reasoning),2025-08-05,Anthropic,1,"Anthropic released Claude Opus 4.1 , an upgrade focused on improving agentic capabilities and real-world coding."
AIT-2025-09-007,2025,September 2025,Claude Sonnet 4.5,Claude 4.5 Sonnet (Reasoning),2025-09-29,Anthropic,1,"Anthropic announced Claude Sonnet 4.5 , a model optimized for coding, agent construction, and improved reasoning."
AIT-2025-10-003,2025,October 2025,Claude 4.5 Haiku,Claude 4.5 Haiku (Reasoning),2025-10-15,Anthropic,1,"Anthropic released Claude 4.5 Haiku , a fast, cost-effective model for high-volume, low-latency applications."
AIT-2025-11-007,2025,November 2025,Claude Opus 4.5,Claude Opus 4.5 (Reasoning),2025-11-24,Anthropic,1,"Anthropic announced Claude Opus 4.5 , delivering elite coding and agentic performance at a significantly reduced price."
AIT-2026-02-001,2026,February 2026,Claude Opus 4.6; Claude Sonnet 4.6,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort); Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",2026-02-05; 2026-02-17,Anthropic,2,"Anthropic releases Claude Opus 4.6 and Claude Sonnet 4.6 , adding a 1M-token context window in beta and making the updated Sonnet model the default across Claude and Cowork."
