entity_id,event_id,year,month,month_num,event_order,entity_order,entity_name,entity_type,entity_classification_reason,inferred_creator,inferred_modality,event_text,is_special,source
AIT-2022-02-001-E01,AIT-2022-02-001,2022,February,2,1,1,Midjourney v1,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v1,False,AI Timeline _data/timeline.yml
AIT-2022-03-001-E01,AIT-2022-03-001,2022,March,3,2,1,text-davinci-002,model,model-family or model-context clue,OpenAI,language,OpenAI releases text-davinci-002 and code-davinci-002 with an API approach.,False,AI Timeline _data/timeline.yml
AIT-2022-03-001-E02,AIT-2022-03-001,2022,March,3,2,2,code-davinci-002,model,model-family or model-context clue,OpenAI,language,OpenAI releases text-davinci-002 and code-davinci-002 with an API approach.,False,AI Timeline _data/timeline.yml
AIT-2022-04-001-E01,AIT-2022-04-001,2022,April,4,3,1,Midjourney v2,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v2,False,AI Timeline _data/timeline.yml
AIT-2022-04-002-E01,AIT-2022-04-002,2022,April,4,4,1,DALL-E 2,model,model-family or model-context clue,,text-to-image,DALL-E 2 is announced for gradual release.,True,AI Timeline _data/timeline.yml
AIT-2022-07-001-E01,AIT-2022-07-001,2022,July,7,5,1,Midjourney v3,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v3 is launched.,False,AI Timeline _data/timeline.yml
AIT-2022-08-001-E01,AIT-2022-08-001,2022,August,8,6,1,Stable Diffusion 1.4,model,model-family or model-context clue,,text-to-image,Stable Diffusion 1.4 is released.,False,AI Timeline _data/timeline.yml
AIT-2022-10-001-E01,AIT-2022-10-001,2022,October,10,7,1,Stable Diffusion 1.5,model,model-family or model-context clue,,text-to-image,Stable Diffusion 1.5 becomes available.,True,AI Timeline _data/timeline.yml
AIT-2022-11-002-E01,AIT-2022-11-002,2022,November,11,9,1,Midjourney v4,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v4 is released.,False,AI Timeline _data/timeline.yml
AIT-2022-11-003-E01,AIT-2022-11-003,2022,November,11,10,1,Stable Diffusion 2.0,model,model-family or model-context clue,,text-to-image,Stable Diffusion 2.0 is launched.,False,AI Timeline _data/timeline.yml
AIT-2022-12-001-E01,AIT-2022-12-001,2022,December,12,11,1,Stable Diffusion 2.1,model,model-family or model-context clue,,text-to-image,Stable Diffusion 2.1 is released.,False,AI Timeline _data/timeline.yml
AIT-2023-02-001-E01,AIT-2023-02-001,2023,February,2,12,1,LLaMA,model,model-family or model-context clue,Meta,language,Meta releases the LLaMA language model as open-source for research purposes. The model is later leaked.,True,AI Timeline _data/timeline.yml
AIT-2023-03-001-E01,AIT-2023-03-001,2023,March,3,14,1,Midjourney v5,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v5 is launched.,False,AI Timeline _data/timeline.yml
