company_id,creator,upstream_hardware,upstream_cloud,downstream_integrator,downstream_deployer,downstream_enabler,competitor,is_investor,is_owner,confidence,justification
5803 JP,Alibaba,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,Anthropic,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,DeepSeek,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,Google,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,Kuaishou,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,Meta,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,Microsoft,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,Mistral AI,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,OpenAI,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,Runway,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,ShengShu Technology,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,Stability AI,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,xAI,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
5803 JP,Zhipu AI,1,0,0,0,0,0,0,0,L,Power systems and industrial equipment for data centers — indirect
6588 JP,Alibaba,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,Anthropic,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,DeepSeek,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,Google,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,Kuaishou,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,Meta,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,Microsoft,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,Mistral AI,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,OpenAI,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,Runway,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,ShengShu Technology,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,Stability AI,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,xAI,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
6588 JP,Zhipu AI,0,0,0,1,0,0,0,0,L,AI in infrastructure and storage systems; diversified industrial conglomerate
