company_id,creator,upstream_hardware,upstream_cloud,downstream_integrator,downstream_deployer,downstream_enabler,competitor,is_investor,is_owner,confidence,justification
000660 KS,Alibaba,1,0,0,0,0,0,0,0,H,"SK Hynix is a leading HBM and DRAM supplier; AI training clusters require massive HBM capacity, directly supplying infrastructure for Alibaba's Qwen model training"
000660 KS,Anthropic,1,0,0,0,0,0,0,0,H,"SK Hynix supplies HBM memory essential for GPU-based AI training; Anthropic's Claude models trained on GPU clusters with SK Hynix HBM"
000660 KS,DeepSeek,1,0,0,0,0,0,0,0,H,"SK Hynix HBM memory is critical for AI accelerator performance; DeepSeek's training infrastructure relies on GPUs with HBM"
000660 KS,Google,1,0,0,0,0,0,0,0,H,"SK Hynix supplies HBM for NVIDIA GPUs and potentially for Google TPU memory subsystems; direct AI infrastructure supplier for Gemini training"
000660 KS,Kuaishou,1,0,0,0,0,0,0,0,H,"SK Hynix HBM and DRAM used in GPU clusters for training Kuaishou's Kling video generation models"
000660 KS,Meta,1,0,0,0,0,0,0,0,H,"SK Hynix is a primary HBM supplier; Meta's massive GPU clusters for Llama training require substantial HBM capacity"
000660 KS,Microsoft,1,0,0,0,0,0,0,0,H,"SK Hynix supplies HBM for GPUs in Microsoft Azure AI infrastructure used for Phi model training"
000660 KS,Mistral AI,1,0,0,0,0,0,0,0,H,"SK Hynix HBM memory is used in GPU accelerators that Mistral AI relies on for model training"
000660 KS,OpenAI,1,0,0,0,0,0,0,0,H,"SK Hynix HBM is critical component in NVIDIA GPUs powering OpenAI's training and inference infrastructure"
000660 KS,Runway,1,0,0,0,0,0,0,0,H,"SK Hynix HBM supplies GPU memory for training Runway's Gen-4 video generation models"
000660 KS,ShengShu Technology,1,0,0,0,0,0,0,0,H,"SK Hynix HBM and DRAM used in GPU training clusters for ShengShu's Vidu video models"
000660 KS,Stability AI,1,0,0,0,0,0,0,0,H,"SK Hynix HBM memory in GPUs used for training Stability AI's Stable Diffusion models"
000660 KS,Zhipu AI,1,0,0,0,0,0,0,0,H,"SK Hynix HBM and DRAM supply the memory layer for GPU clusters used to train Zhipu AI's GLM models"
000660 KS,xAI,1,0,0,0,0,0,0,0,H,"SK Hynix supplies HBM for the NVIDIA GPUs in xAI's massive Colossus training cluster for Grok models"
005930 KS,Alibaba,1,0,0,0,0,0,0,0,H,"Samsung supplies HBM, DRAM, NAND, and foundry services for AI infrastructure; Alibaba's AI training depends on Samsung memory and storage"
005930 KS,Anthropic,1,0,0,0,0,0,0,0,H,"Samsung provides HBM, DRAM, and NAND for AI data centers; foundry services for AI chips used in Anthropic's training infrastructure"
