source_event_id,creator,event_name,official_release_date,date_confidence,source_url,source_type,source_report
MMR-0003,Google,Gemini Flash 1.5,2024-05-30,official_date_matches_event_month,https://developers.googleblog.com/gemini-15-pro-and-15-flash-now-available/,official,reports/official_release_date_crawl_report.md
MMR-0004,Google,Imagen 3,2024-05-14,official_date_matches_event_month,https://blog.google/innovation-and-ai/products/google-generative-ai-veo-imagen-3/,official,reports/official_release_date_crawl_report.md
MMR-0005,Stability AI,Stable Diffusion 3,2024-06-12,official_date_matches_event_month,https://stability.ai/news-updates/stable-diffusion-3-medium,official,reports/official_release_date_crawl_report.md
MMR-0006,Google,Gemini 1.5 Pro,2024-04-09,official_date_month_mismatch_needs_review,https://developers.googleblog.com/gemini-15-pro-now-available-in-180-countries-with-native-audio-understanding-system-instructions-json-mode-and-more/,official,reports/official_release_date_crawl_report.md
MMR-0007,Google,Gemini 1.5 Flash,2024-08-08,official_date_matches_event_month,https://developers.googleblog.com/gemini-15-flash-updates-google-ai-studio-gemini-api/,official,reports/official_release_date_crawl_report.md
MMR-0008,Google,Gemini 1.5 Flash8B,2024-10-03,official_date_month_mismatch_needs_review,https://developers.googleblog.com/gemini-15-flash-8b-is-now-generally-available-for-use/,official,reports/official_release_date_crawl_report.md
MMR-0009,Google,Imagen 3,2025-02-06,official_date_month_mismatch_needs_review,https://developers.googleblog.com/imagen-3-arrives-in-the-gemini-api/,official,reports/official_release_date_crawl_report.md
MMR-0011,Google,Gemini Pro 1.5 002,2024-04-09,official_date_month_mismatch_needs_review,https://developers.googleblog.com/gemini-15-pro-now-available-in-180-countries-with-native-audio-understanding-system-instructions-json-mode-and-more/,official,reports/official_release_date_crawl_report.md
MMR-0012,Google,Gemini Flash 1.5 002,2024-05-30,official_date_month_mismatch_needs_review,https://developers.googleblog.com/gemini-15-pro-and-15-flash-now-available/,official,reports/official_release_date_crawl_report.md
MMR-0013,OpenAI,o1 preview,2024-09-12,official_date_matches_event_month,https://openai.com/index/introducing-openai-o1-preview,official,reports/official_release_date_crawl_report.md
