source,destination,reason,status
6.21事件集数据.csv,old/6.21事件集数据.csv,old root event dataset,moved
6.21事件集数据(1).csv,old/6.21事件集数据(1).csv,old root event dataset duplicate,moved
relationship_data_final.csv,old/relationship_data_final.csv,old relationship panel,moved
relationship_data_final 2.csv,old/relationship_data_final 2.csv,old relationship panel duplicate,moved
relationship_specr_newrel_report.md,old/relationship_specr_newrel_report.md,old relationship specification report,moved
6.21research proposal.docx,old/6.21research proposal.docx,old proposal document,moved
6.21research proposal(1).docx,old/6.21research proposal(1).docx,old proposal duplicate,moved
Long_prompt.md,old/Long_prompt.md,old-data draft revision notes,moved
可能需要修改的地方.docx,old/可能需要修改的地方.docx,old-data draft revision notes,moved
PAPER_B_WRITING_PLAN.md,old/PAPER_B_WRITING_PLAN.md,old-data paper plan,moved
paper_plan.md,old/paper_plan.md,old-data paper plan,moved
paper_plan 2.md,old/paper_plan 2.md,old-data paper plan duplicate,moved
prompt.md,old/prompt.md,old prompt,moved
prompt 2.md,old/prompt 2.md,old prompt duplicate,moved
proposal.md,old/proposal.md,old proposal,moved
proposal 2.md,old/proposal 2.md,old proposal duplicate,moved
research proposal.md,old/research proposal.md,old proposal,moved
research proposal 2.md,old/research proposal 2.md,old proposal duplicate,moved
research proposal.docx,old/research proposal.docx,old proposal,moved
research proposal 2.docx,old/research proposal 2.docx,old proposal duplicate,moved
result.md,old/result.md,old results narrative,moved
result 2.md,old/result 2.md,old results narrative duplicate,moved
long_tex_gap_analysis.md,old/long_tex_gap_analysis.md,old draft gap analysis,moved
long_tex_gap_analysis 2.md,old/long_tex_gap_analysis 2.md,old draft gap analysis duplicate,moved
to_do_align_proposal.md,old/to_do_align_proposal.md,old proposal alignment checklist,moved
to_do_align_proposal 2.md,old/to_do_align_proposal 2.md,old proposal alignment checklist duplicate,moved
data,old/data,old canonical/intermediate/panel dataset tree,moved
scripts,old/scripts,old preprocessing and regression scripts,moved
reports,old/reports,old generated reports,moved
task,old/task,old merge and relationship task workspace,moved
output,old/output,old generated tables and figures,moved
archive,old/archive,old pre-existing archive directory,moved
Tex,old/Tex,old TeX drafts and compile artifacts based on old sample,moved
大语言模型发布行为对金融市场的影响 - 来自美股市场的证据,old/大语言模型发布行为对金融市场的影响 - 来自美股市场的证据,nested old project copy,moved
new data set/scripts/compare_old60_new61.py,old/new data set/scripts/compare_old60_new61.py,old-vs-new comparison script dependent on old data,moved
new data set/reports/old60_new61_two_groups.md,old/new data set/reports/old60_new61_two_groups.md,old-vs-new comparison report,moved
new data set/reports/old60_vs_ai_timeline61_comparison_report.md,old/new data set/reports/old60_vs_ai_timeline61_comparison_report.md,old-vs-new comparison report,moved
new data set/processed/ai_timeline_61_event_level.csv,old/new data set/processed/ai_timeline_61_event_level.csv,old-vs-new comparison intermediate,moved
new data set/processed/old60_vs_ai_timeline61_comparison.xlsx,old/new data set/processed/old60_vs_ai_timeline61_comparison.xlsx,old-vs-new comparison workbook,moved
new data set/processed/old60_vs_ai_timeline61_new_view.csv,old/new data set/processed/old60_vs_ai_timeline61_new_view.csv,old-vs-new comparison table,moved
new data set/processed/old60_vs_ai_timeline61_objective_pairs.csv,old/new data set/processed/old60_vs_ai_timeline61_objective_pairs.csv,old-vs-new comparison table,moved
