"proposal_role","current_proxy","interpretation"
"publisher","is_owner","当前数据把发布方或所有者合并在 is_owner 中，不能严格区分上市发布者和母公司。"
"parent_company","is_owner","若模型发布者是上市公司控股主体，最接近 is_owner。"
"strategic_partner","is_investor/upstream_cloud/relationship_notes","当前没有独立 strategic_partner dummy，只能由投资方、云服务方和备注近似。"
"major_investor","is_investor","主要投资者已有独立标记（新版定义略宽）。"
"cloud_provider","upstream_cloud","云服务方已有独立标记（新版定义明显更宽）。"
"distribution_partner","relationship_notes","没有独立 dummy，需要人工从关系备注重新编码。"
"direct_competitor","competitor","直接竞争者已有独立标记（新版定义略宽，旧版1全部保留为新版1）。"
"compute_supplier","upstream_hardware/upstream_cloud","上游算力现由硬件供应商和云服务商两个独立维度共同近似（替代旧版 business_upstream/real_upstream 的二分）。"
"application_exposed_firm","downstream_integrator/downstream_deployer/downstream_enabler","应用层暴露现由三个互斥的下游维度（核心集成商/部署者/赋能者）共同近似（替代旧版 business_downstream/real_downstream 的二分）。"
"ai_basket_member","not available","当前没有 AI basket 成员变量。"
"weak_related_entity","relationship_notes/manual coding needed","当前没有弱关联独立标记。"
