event_id,vendor,model_names,aa_names,official_date,source_url,source_title,source_type,confidence,notes
AIT-2023-07-002,Anthropic,Claude 2,Claude 2.0,2023-07-11,https://www.anthropic.com/news/claude-2,Claude 2,official_news,high,Anthropic News page title and date directly match the model announcement.
AIT-2024-03-002,Anthropic,Claude 3,Claude 3 Opus; Claude 3 Sonnet; Claude 3 Haiku,2024-03-04,https://www.anthropic.com/news/claude-3-family,Introducing the next generation of Claude,official_news,high,Anthropic News page announces the Claude 3 family including Opus Sonnet and Haiku.
AIT-2024-06-005,Anthropic,Claude Sonnet 3.5,Claude 3.5 Sonnet (June '24),2024-06-21,https://www.anthropic.com/news/claude-3-5-sonnet,Claude 3.5 Sonnet,official_news,high,Anthropic News page date is used even though some secondary sources cite June 20.
AIT-2024-10-011,Anthropic,Claude 3.5 Sonnet New,Claude 3.5 Sonnet (Oct '24),2024-10-22,https://www.anthropic.com/news/3-5-models-and-computer-use,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",official_news,high,Anthropic News page announces the upgraded Claude 3.5 Sonnet.
AIT-2024-11-007,Anthropic,Claude 3.5 Haiku,Claude 3.5 Haiku,2024-10-22,https://www.anthropic.com/news/3-5-models-and-computer-use,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",official_news,medium,Official page announces Claude 3.5 Haiku on this date and says availability later that month; no separate first-party technical post for Visual PDF Analysis was found in this pass.
AIT-2025-02-002,Anthropic,Claude 3.7,Claude 3.7 Sonnet (Reasoning),2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet and Claude Code,official_news,high,Anthropic News page directly announces Claude 3.7 Sonnet.
AIT-2025-05-003,Anthropic,Claude 4 Opus; Claude Sonnet 4,Claude 4 Opus (Reasoning); Claude 4 Sonnet (Reasoning),2025-05-22,https://www.anthropic.com/news/claude-4,Introducing Claude 4,official_news,high,Anthropic News page announces Claude Opus 4 and Claude Sonnet 4 together.
AIT-2025-08-002,Anthropic,Claude Opus 4.1,Claude 4.1 Opus (Reasoning),2025-08-05,https://www.anthropic.com/news/claude-opus-4-1,Claude Opus 4.1,official_news,high,Anthropic News page directly announces Claude Opus 4.1.
AIT-2025-09-007,Anthropic,Claude Sonnet 4.5,Claude 4.5 Sonnet (Reasoning),2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5,Introducing Claude Sonnet 4.5,official_news,high,Anthropic News page directly announces Claude Sonnet 4.5.
AIT-2025-10-003,Anthropic,Claude 4.5 Haiku,Claude 4.5 Haiku (Reasoning),2025-10-15,https://www.anthropic.com/news/claude-haiku-4-5,Introducing Claude Haiku 4.5,official_product,high,Anthropic first-party product page states Claude Haiku 4.5 is available today.
AIT-2025-11-007,Anthropic,Claude Opus 4.5,Claude Opus 4.5 (Reasoning),2025-11-24,https://www.anthropic.com/news/claude-opus-4-5,Introducing Claude Opus 4.5,official_news,high,Anthropic News page directly announces Claude Opus 4.5.
AIT-2026-02-001,Anthropic,Claude Opus 4.6; Claude Sonnet 4.6,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort); Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",2026-02-05; 2026-02-17,https://www.anthropic.com/news/claude-opus-4-6; https://www.anthropic.com/news/claude-sonnet-4-6,Introducing Claude Opus 4.6; Introducing Claude Sonnet 4.6,official_news; official_product,high,This combined event maps to two first-party pages with different dates; event-level timestamping should later choose a rule or split the event.
