ticker,company,creator,r1_upstream_hardware,r1_upstream_hardware_conf,r2_upstream_cloud,r2_upstream_cloud_conf,r3_downstream_integrator,r3_downstream_integrator_conf,r4_downstream_deployer,r4_downstream_deployer_conf,r5_downstream_enabler,r5_downstream_enabler_conf,r6_competitor,r6_competitor_conf,f2_is_owner,f2_is_owner_conf,f1_is_investor,f1_is_investor_conf,justification,coder,coded_at
ADBE,Adobe Inc.,OpenAI,0,,0,,1,H,0,,0,,1,H,0,,0,,"r3_downstream_integrator: Firefly 生成式 AI 是 Creative Cloud 核心差异化（codebook）; r6: 竞争模态 ['image', 'video'] 与发布方 OpenAI 重叠; 备注: Firefly 自研图像/视频基础模型，对媒体发布方构成竞争",A,2026-07-27
ADBE,Adobe Inc.,Google,0,,0,,1,H,0,,0,,1,H,0,,0,,"r3_downstream_integrator: Firefly 生成式 AI 是 Creative Cloud 核心差异化（codebook）; r6: 竞争模态 ['image', 'video'] 与发布方 Google 重叠; 备注: Firefly 自研图像/视频基础模型，对媒体发布方构成竞争",A,2026-07-27
ADBE,Adobe Inc.,Anthropic,0,,0,,1,H,0,,0,,0,,0,,0,,r3_downstream_integrator: Firefly 生成式 AI 是 Creative Cloud 核心差异化（codebook）; 备注: Firefly 自研图像/视频基础模型，对媒体发布方构成竞争,A,2026-07-27
ADBE,Adobe Inc.,DeepSeek,0,,0,,1,H,0,,0,,1,H,0,,0,,r3_downstream_integrator: Firefly 生成式 AI 是 Creative Cloud 核心差异化（codebook）; r6: 竞争模态 ['image'] 与发布方 DeepSeek 重叠; 备注: Firefly 自研图像/视频基础模型，对媒体发布方构成竞争,A,2026-07-27
ADBE,Adobe Inc.,Alibaba,0,,0,,1,H,0,,0,,1,H,0,,0,,"r3_downstream_integrator: Firefly 生成式 AI 是 Creative Cloud 核心差异化（codebook）; r6: 竞争模态 ['image', 'video'] 与发布方 Alibaba 重叠; 备注: Firefly 自研图像/视频基础模型，对媒体发布方构成竞争",A,2026-07-27
ADBE,Adobe Inc.,xAI,0,,0,,1,H,0,,0,,1,M,0,,0,,r3_downstream_integrator: Firefly 生成式 AI 是 Creative Cloud 核心差异化（codebook）; r6: 竞争模态 ['video'] 与发布方 xAI 重叠; 备注: Firefly 自研图像/视频基础模型，对媒体发布方构成竞争,A,2026-07-27
ADBE,Adobe Inc.,Meta,0,,0,,1,H,0,,0,,0,,0,,0,,r3_downstream_integrator: Firefly 生成式 AI 是 Creative Cloud 核心差异化（codebook）; 备注: Firefly 自研图像/视频基础模型，对媒体发布方构成竞争,A,2026-07-27
ADBE,Adobe Inc.,Mistral,0,,0,,1,H,0,,0,,0,,0,,0,,r3_downstream_integrator: Firefly 生成式 AI 是 Creative Cloud 核心差异化（codebook）; 备注: Firefly 自研图像/视频基础模型，对媒体发布方构成竞争,A,2026-07-27
ADBE,Adobe Inc.,Microsoft,0,,0,,1,H,0,,0,,0,,0,,0,,r3_downstream_integrator: Firefly 生成式 AI 是 Creative Cloud 核心差异化（codebook）; 备注: Firefly 自研图像/视频基础模型，对媒体发布方构成竞争,A,2026-07-27
ADBE,Adobe Inc.,Kimi,0,,0,,1,H,0,,0,,0,,0,,0,,r3_downstream_integrator: Firefly 生成式 AI 是 Creative Cloud 核心差异化（codebook）; 备注: Firefly 自研图像/视频基础模型，对媒体发布方构成竞争,A,2026-07-27
ADBE,Adobe Inc.,Z AI,0,,0,,1,H,0,,0,,0,,0,,0,,r3_downstream_integrator: Firefly 生成式 AI 是 Creative Cloud 核心差异化（codebook）; 备注: Firefly 自研图像/视频基础模型，对媒体发布方构成竞争,A,2026-07-27
