entity_id,event_id,year,month,month_num,event_order,entity_order,entity_name,entity_type,entity_classification_reason,inferred_creator,inferred_modality,event_text,is_special,is_comparison_reference,source,match_level,match_score,aa_record_key,aa_name,aa_slug,aa_creator,aa_modality,aa_release_date,aa_url,top_candidates_json,needs_review,auto_unmatch_reason
AIT-2022-03-001-E02,AIT-2022-03-001,2022,March,3,2,2,code-davinci-002,model,model-family or model-context clue,OpenAI,language,OpenAI releases text-davinci-002 and code-davinci-002 with an API approach.,False,False,AI Timeline _data/timeline.yml,low,0.6225,language:fd4454ff-e703-46c0-a7f5-fa69af09486d,GPT-5.1 Codex mini (high),gpt-5-1-codex-mini,OpenAI,language,2025-11-13,https://artificialanalysis.ai/models/gpt-5-1-codex-mini,"[{""score"": 0.6225, ""name"": ""GPT-5.1 Codex mini (high)"", ""creator"": ""OpenAI"", ""modality"": ""language"", ""slug"": ""gpt-5-1-codex-mini""}, {""score"": 0.5785, ""name"": ""GPT-5.2 Codex (xhigh)"", ""creator"": ""OpenAI"", ""modality"": ""language"", ""slug"": ""gpt-5-2-codex""}, {""score"": 0.5714, ""name"": ""Kimi K2.7 Code"", ""creator"": ""Kimi"", ""modality"": ""language"", ""slug"": ""kimi-k2-7-code""}, {""score"": 0.56, ""name"": ""DALLE 2"", ""creator"": ""OpenAI"", ""modality"": ""text-to-image"", ""slug"": ""dalle-2""}, {""score"": 0.56, ""name"": ""Sora 2 (October)"", ""creator"": ""OpenAI"", ""modality"": ""text-to-video"", ""slug"": ""sora-2-no-audio-october""}]",True,
AIT-2023-10-002-E01,AIT-2023-10-002,2023,October,10,25,1,Firefly 2,model,model-family or model-context clue,Adobe,text-to-image,Adobe releases Firefly 2 .,False,False,AI Timeline _data/timeline.yml,medium,0.8778,text-to-image:4801e29a-4294-4fc4-b40f-75b275e8e8ad,Firefly Image 4,firefly-image-4,Adobe,text-to-image,2025-04,https://artificialanalysis.ai/models/firefly-image-4,"[{""score"": 0.8778, ""name"": ""Firefly Image 4"", ""creator"": ""Adobe"", ""modality"": ""text-to-image"", ""slug"": ""firefly-image-4""}, {""score"": 0.8778, ""name"": ""Firefly Image 3"", ""creator"": ""Adobe"", ""modality"": ""text-to-image"", ""slug"": ""firefly-image-3""}, {""score"": 0.7364, ""name"": ""Firefly Image 5 Preview"", ""creator"": ""Adobe"", ""modality"": ""text-to-image"", ""slug"": ""adobe-firefly_firefly-image-5--preview""}, {""score"": 0.6964, ""name"": ""Firefly Image 5 Preview"", ""creator"": ""Adobe"", ""modality"": ""image-editing"", ""slug"": ""adobe-firefly_firefly-image-5--preview""}, {""score"": 0.64, ""name"": ""FLUX.2 [flex]"", ""creator"": ""Black Forest Labs"", ""modality"": ""text-to-image"", ""slug"": ""flux_flux-2--flex""}]",True,
AIT-2024-05-002-E03,AIT-2024-05-002,2024,May,5,46,3,Music AI,model,model-family or model-context clue,Google,text-to-image,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",False,False,AI Timeline _data/timeline.yml,medium,0.78,text-to-speech:02265a20-67bc-4892-89d0-f54545b6b4a1,Studio,studio,Google,text-to-speech,,https://artificialanalysis.ai/models/studio,"[{""score"": 0.78, ""name"": ""Studio"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""studio""}, {""score"": 0.78, ""name"": ""Music 2.6"", ""creator"": ""MiniMax"", ""modality"": ""music-instrumental"", ""slug"": """"}, {""score"": 0.78, ""name"": ""MiniMax Music 2.5+"", ""creator"": ""MiniMax"", ""modality"": ""music-instrumental"", ""slug"": """"}, {""score"": 0.78, ""name"": ""Eleven Music"", ""creator"": ""ElevenLabs"", ""modality"": ""music-instrumental"", ""slug"": """"}, {""score"": 0.78, ""name"": ""MusicGen"", ""creator"": ""Meta"", ""modality"": ""music-instrumental"", ""slug"": """"}]",True,
AIT-2024-05-002-E05,AIT-2024-05-002,2024,May,5,46,5,Astra model,model,model-family or model-context clue,Google,text-to-image,"Google announces a large number of AI features in its products. The main ones: increasing the token limit to 2 million for Gemini 1.5 to waiting list, releasing a smaller and faster Gemini Flash 1.5 model . Revealing the latest image creation model Imagen 3 , music creation model Music AI and video creation model Veo . And the announcement of the Astra model with multimodal capabilities for realtime audio and video reception.",False,False,AI Timeline _data/timeline.yml,medium,0.8007,text-to-speech:7efc9790-17f6-44a5-8b4f-897deaeb0088,Standard,standard,Google,text-to-speech,,https://artificialanalysis.ai/models/standard,"[{""score"": 0.8007, ""name"": ""Standard"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""standard""}, {""score"": 0.78, ""name"": ""Studio"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""studio""}, {""score"": 0.7667, ""name"": ""Imagen 4 Ultra"", ""creator"": ""Google"", ""modality"": ""text-to-image"", ""slug"": ""google-imagen_imagen-4-ultra""}, {""score"": 0.7523, ""name"": ""WaveNet"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""wavenet""}, {""score"": 0.7523, ""name"": ""Neural2"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""neural2""}]",True,
AIT-2024-05-003-E02,AIT-2024-05-003,2024,May,5,47,2,Phi-3 Small,model,model-family or model-context clue,Microsoft,language,"Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability.",False,False,AI Timeline _data/timeline.yml,low,0.7267,language:ded8d96e-835f-4359-947a-a4c3bb78e983,Phi-3 Mini Instruct 3.8B,phi-3-mini,Microsoft,language,2024-04-23,https://artificialanalysis.ai/models/phi-3-mini,"[{""score"": 0.7267, ""name"": ""Phi-3 Mini Instruct 3.8B"", ""creator"": ""Microsoft"", ""modality"": ""language"", ""slug"": ""phi-3-mini""}, {""score"": 0.6923, ""name"": ""Mistral Small 3"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""mistral-small-3""}, {""score"": 0.6526, ""name"": ""Phi-4 Multimodal Instruct"", ""creator"": ""Microsoft"", ""modality"": ""language"", ""slug"": ""phi-4-multimodal""}, {""score"": 0.6429, ""name"": ""Mistral Small 3.1"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""mistral-small-3-1""}, {""score"": 0.6429, ""name"": ""Mistral Small 3.2"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""mistral-small-3-2""}]",True,
AIT-2024-05-003-E03,AIT-2024-05-003,2024,May,5,47,3,Phi-3 Medium,model,model-family or model-context clue,Microsoft,language,"Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability.",False,False,AI Timeline _data/timeline.yml,medium,0.7873,language:ded8d96e-835f-4359-947a-a4c3bb78e983,Phi-3 Mini Instruct 3.8B,phi-3-mini,Microsoft,language,2024-04-23,https://artificialanalysis.ai/models/phi-3-mini,"[{""score"": 0.7873, ""name"": ""Phi-3 Mini Instruct 3.8B"", ""creator"": ""Microsoft"", ""modality"": ""language"", ""slug"": ""phi-3-mini""}, {""score"": 0.75, ""name"": ""GPT-5 (medium)"", ""creator"": ""OpenAI"", ""modality"": ""language"", ""slug"": ""gpt-5-medium""}, {""score"": 0.7143, ""name"": ""Mistral Medium 3"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""mistral-medium-3""}, {""score"": 0.6964, ""name"": ""Phi-4 Mini Instruct"", ""creator"": ""Microsoft"", ""modality"": ""language"", ""slug"": ""phi-4-mini""}, {""score"": 0.6923, ""name"": ""GPT-5.5 (medium)"", ""creator"": ""OpenAI"", ""modality"": ""language"", ""slug"": ""gpt-5-5-medium""}]",True,
AIT-2024-05-003-E04,AIT-2024-05-003,2024,May,5,47,4,Phi-3 Vision,model,model-family or model-context clue,Microsoft,language,"Microsoft announces Copilot+ for dedicated computers, which will allow a full search of the user's history through screenshots of the user's activity. The company also released as open source the SLMs that display impressive capabilities in a minimal size: Phi-3 Small , Phi-3 Medium , and Phi-3 Vision which includes image recognition capability.",False,False,AI Timeline _data/timeline.yml,medium,0.7873,language:ded8d96e-835f-4359-947a-a4c3bb78e983,Phi-3 Mini Instruct 3.8B,phi-3-mini,Microsoft,language,2024-04-23,https://artificialanalysis.ai/models/phi-3-mini,"[{""score"": 0.7873, ""name"": ""Phi-3 Mini Instruct 3.8B"", ""creator"": ""Microsoft"", ""modality"": ""language"", ""slug"": ""phi-3-mini""}, {""score"": 0.6964, ""name"": ""Phi-4 Mini Instruct"", ""creator"": ""Microsoft"", ""modality"": ""language"", ""slug"": ""phi-4-mini""}, {""score"": 0.5714, ""name"": ""Sonic 3.5"", ""creator"": ""Cartesia"", ""modality"": ""text-to-speech"", ""slug"": ""sonic-3-5""}, {""score"": 0.56, ""name"": ""Phi-4 Multimodal Instruct"", ""creator"": ""Microsoft"", ""modality"": ""language"", ""slug"": ""phi-4-multimodal""}, {""score"": 0.56, ""name"": ""Veo 3 Preview"", ""creator"": ""Google"", ""modality"": ""text-to-video"", ""slug"": ""veo-3-preview""}]",True,
AIT-2024-07-003-E01,AIT-2024-07-003,2024,July,7,62,1,Codestral Mamba,model,model-family or model-context clue,Mistral,language,"mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics",False,False,AI Timeline _data/timeline.yml,medium,0.8507,language:7a7b52f6-fdef-4dae-9203-58c710ccc81d,Mistral Saba,mistral-saba,Mistral,language,2025-02-17,https://artificialanalysis.ai/models/mistral-saba,"[{""score"": 0.8507, ""name"": ""Mistral Saba"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""mistral-saba""}, {""score"": 0.8426, ""name"": ""Devstral Medium"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""devstral-medium""}, {""score"": 0.8405, ""name"": ""Devstral 2"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""devstral-2""}, {""score"": 0.8292, ""name"": ""Devstral Small (May '25)"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""devstral-small-2505""}, {""score"": 0.826, ""name"": ""Devstral Small 2"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""devstral-small-2""}]",True,
AIT-2024-07-003-E03,AIT-2024-07-003,2024,July,7,62,3,Mathstral,model,model-family or model-context clue,Mistral,language,"mistral ai releases three new models: Codestral Mamba , Mistral NeMo and Mathstral designed for mathematics",False,False,AI Timeline _data/timeline.yml,medium,0.8168,language:7a7b52f6-fdef-4dae-9203-58c710ccc81d,Mistral Saba,mistral-saba,Mistral,language,2025-02-17,https://artificialanalysis.ai/models/mistral-saba,"[{""score"": 0.8168, ""name"": ""Mistral Saba"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""mistral-saba""}, {""score"": 0.8029, ""name"": ""Devstral 2"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""devstral-2""}, {""score"": 0.7933, ""name"": ""Mistral Small (Sep '24)"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""mistral-small""}, {""score"": 0.7933, ""name"": ""Mistral Small (Feb '24)"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""mistral-small-2402""}, {""score"": 0.7779, ""name"": ""Ministral 3 3B"", ""creator"": ""Mistral"", ""modality"": ""language"", ""slug"": ""ministral-3-3b""}]",True,
AIT-2024-08-005-E01,AIT-2024-08-005,2024,August,8,73,1,Phi 3.5,model,model-family or model-context clue,Microsoft,language,"Microsoft has introduced its small language models, Phi 3.5 , in three versions, each showcasing impressive performance relative to their size.",False,False,AI Timeline _data/timeline.yml,medium,0.7659,language:ded8d96e-835f-4359-947a-a4c3bb78e983,Phi-3 Mini Instruct 3.8B,phi-3-mini,Microsoft,language,2024-04-23,https://artificialanalysis.ai/models/phi-3-mini,"[{""score"": 0.7659, ""name"": ""Phi-3 Mini Instruct 3.8B"", ""creator"": ""Microsoft"", ""modality"": ""language"", ""slug"": ""phi-3-mini""}, {""score"": 0.7267, ""name"": ""Phi-4"", ""creator"": ""Microsoft"", ""modality"": ""language"", ""slug"": ""phi-4""}, {""score"": 0.6667, ""name"": ""OpenChat 3.5 (1210)"", ""creator"": ""OpenChat"", ""modality"": ""language"", ""slug"": ""openchat-35""}, {""score"": 0.6667, ""name"": ""Pika 2.5"", ""creator"": ""Pika Art"", ""modality"": ""text-to-video"", ""slug"": ""pika-2-5""}, {""score"": 0.6667, ""name"": ""Pika 1.5"", ""creator"": ""Pika Art"", ""modality"": ""text-to-video"", ""slug"": ""pika-1-5""}]",True,
