firm_ticker,firm,business_upstream_universal,business_upstream_reason,business_downstream,business_downstream_reason,classification_confidence,manual_review_required
000660 KS,SK Hynix,0,business_upstream follows evidence-based upstream (not universal),0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
005930 KS,Samsung Electronics,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
2353 TT,宏基,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
2395 TT,研华科技,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
3443 TT,创见资讯,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
3690 HK,Meituan,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
4755 JP,Rakuten Group,0,Not positioned as upstream AI ecosystem supplier,0,"Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",high,no
5803 JP,Mitsubishi Electric,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
6588 JP,Toshiba,0,Not positioned as upstream AI ecosystem supplier,0,Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,medium,no
6701 JP,NEC,0,Not positioned as upstream AI ecosystem supplier,1,"Researcher-designated business_downstream: core business directly commercializes generative-AI model capabilities, AI agents, AI copilots, AI workflow automation, AI content/productivity enhancement, or AI-enabled professional/enterprise services.",high,no
