"event_id","vendor","model_names","aa_names","official_date","source_url","source_title","source_type","confidence","notes"
"AIT-2022-10-001","Stability AI / RunwayML","Stable Diffusion 1.5","Stable Diffusion 1.5","","https://huggingface.co/stable-diffusion-v1-5/stable-diffusion-v1-5/raw/main/README.md","Stable Diffusion v1-5 Model Card","first-party model card mirror","low","Accessible first-party-like model card confirms model identity and training details but does not expose a release date. Secondary sources suggest 2022-10-20, not used as official_date."
"AIT-2022-12-001","Stability AI","Stable Diffusion 2.1","Stable Diffusion 2.1","","","Stable Diffusion v2.1 and DreamStudio Updates 7-Dec-22","official blog not retrieved","unresolved","Search indexes reference an official Stability AI page dated 7-Dec-22, but no accessible first-party page URL was recovered in this run."
"AIT-2023-07-001","Stability AI","Stable Diffusion XL 1.0","Stable Diffusion XL 1.0","","https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0","SD-XL 1.0-base Model Card","first-party model card","low","Official Hugging Face model card confirms model identity and technical details but does not expose a release date. Stability official blog was referenced by indexes but not retrieved."
"AIT-2023-12-001","Midjourney","Midjourney v6","Midjourney v6","2023-12-20","https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version","Version","official documentation","high","Midjourney documentation states V6 was released on 2023-12-20."
"AIT-2024-02-001","Stability AI","Stable Diffusion 3","Stable Diffusion 3 Large; Stable Diffusion 3 Large Turbo","2024-02-22","https://stability.ai/news/stable-diffusion-3","Stable Diffusion 3","official blog","high","Official Stability AI page dated Feb 22; year inferred from event year and page context."
"AIT-2024-04-001","Stability AI","Stable Audio 2.0","Stable Audio 2.0","2024-04-03","https://stability.ai/news/stable-audio-2-0","Introducing Stable Audio 2.0","official blog","high","Official Stability AI page dated Apr 3; year inferred from event year and page context."
"AIT-2024-04-006","Adobe","Firefly 3","Firefly Image 3","","","Firefly Image 3 Foundation Model","official source not found","unresolved","Secondary business/tech coverage consistently reports 2024-04-23, but no accessible Adobe first-party technical blog or announcement page was found in this run."
"AIT-2024-06-001","Stability AI","Stable Diffusion 3","Stable Diffusion 3 Medium","2024-06-12","https://stability.ai/news/stable-diffusion-3-medium","Announcing the Open Release of Stable Diffusion 3 Medium","official blog","high","Official Stability AI page dated Jun 12; year inferred from event year and page context."
"AIT-2024-06-004","Runway","Gen3 Alpha","Runway Gen 3 Alpha","2024-06-17","https://runwayml.com/research/introducing-gen-3-alpha","Runway Gen-3 Alpha: Next-Generation AI Video Generation","official research blog","high","Official Runway research page is dated June 17, 2024."
"AIT-2024-07-006","Udio","Udio v1.5","Udio v1.5 Allegro","","","Udio v1.5","official source not found","unresolved","Secondary sources report Udio v1.5 on 2024-07-23, but no accessible Udio first-party announcement or technical blog page was found."
"AIT-2024-07-008","Midjourney","Midjourney v6.1","Midjourney v6.1","2024-07-30","https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version","Version","official documentation","high","Midjourney documentation states V6.1 was released on 2024-07-30."
"AIT-2024-08-001","Black Forest Labs","Flux","FLUX.1 [pro]; FLUX.1 [dev]; FLUX.1 [schnell]","2024-08-01","https://bfl.ai/blog/24-08-01-bfl","Announcing Black Forest Labs","official blog","high","Official BFL blog dated August 1, 2024 states FLUX.1 suite is released today."
"AIT-2024-09-004","KlingAI / Kuaishou","KLING 1.5","Kling 1.5 Pro","","","KLING 1.5","official source not found","unresolved","No accessible first-party technical blog or announcement page was found for Kling 1.5 in this run."
"AIT-2024-10-001","Black Forest Labs","Flux 1.1 Pro","FLUX1.1 [pro]","2024-10-02","https://bfl.ai/blog/24-10-02-flux","Announcing FLUX1.1 [pro] and the BFL API","official blog","high","Official BFL blog dated October 2, 2024."
"AIT-2024-10-003","Pika","Video Model 1.5","Pika 1.5","","","Pika 1.5","official source not found","unresolved","No accessible Pika first-party announcement page was found. Secondary sources suggest early October 2024 but are not used as official_date."
"AIT-2024-10-010","Stability AI","Stable Diffusion 3.5","Stable Diffusion 3.5 Large; Stable Diffusion 3.5 Large Turbo; Stable Diffusion 3.5 Medium","2024-10-22","https://stability.ai/news/introducing-stable-diffusion-3-5","Introducing Stable Diffusion 3.5","official blog","high","Official page dated Oct 22 introduces 3.5 Large and Large Turbo; page notes Medium was added on Oct 29."
"AIT-2024-10-013","Recraft","Recraft v3","Recraft V3","2024-10","https://www.recraft.ai/docs/recraft-models/recraft-V3","Recraft V3","official documentation","medium","Official Recraft documentation says V3 was released in October 2024 but does not provide a day."
"AIT-2024-12-011","Pika","2.0","Pika 2.0","","","Pika 2.0","official source not found","unresolved","No accessible Pika first-party announcement page was found for Pika 2.0 in this run."
"AIT-2024-12-016","KlingAI / Kuaishou","Kling 1.6","Kling 1.6 Standard","","","Kling 1.6","official source not found","unresolved","No accessible first-party technical blog or announcement page was found for Kling 1.6 in this run."
"AIT-2025-04-006","Midjourney","v7","Midjourney v7 Alpha","2025-04-03","https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version","Version","official documentation","high","Midjourney documentation states V7 was released on 2025-04-03."
