original_chinese_label,original_english_name,intermediate_name,clean_name,rename_reason
事件 ID,final_event_id,final_event_id,final_event_id,"normalized (lowercase, underscores)"
日级发布日期,release_date,release_date,release_date,"normalized (lowercase, underscores)"
发布年份,release_year,release_year,release_year,"normalized (lowercase, underscores)"
发布月份,release_month,release_month,release_month,"normalized (lowercase, underscores)"
发布季度,release_quarter,release_quarter,release_quarter,"normalized (lowercase, underscores)"
从2022-11 起算的月度趋势变量,trend_month_since_2022_11,trend_month_since_2022_11,trend_month_since_2022_11,"normalized (lowercase, underscores)"
事件名称,event_name,event_name,event_name,"normalized (lowercase, underscores)"
,,col_7,col_7,"empty English header, derived from Chinese label ''"
模型发布者,true_model_creator,true_model_creator,true_model_creator,"normalized (lowercase, underscores)"
模型发布者国家,creator_country,creator_country,creator_country,"normalized (lowercase, underscores)"
发布者类型,creator_type,creator_type,creator_type,"normalized (lowercase, underscores)"
模型名称,model_names,model_names,model_names,"normalized (lowercase, underscores)"
公司,company,company,company,"normalized (lowercase, underscores)"
搜索代码1,,search_code_1,search_code_1,"empty English header, derived from Chinese label '搜索代码1'"
搜索代码2,,search_code_2,search_code_2,"empty English header, derived from Chinese label '搜索代码2'"
公司编码,company_id,company_id,company_id,"normalized (lowercase, underscores)"
与模型发布者的关系,relationship,relationship,relationship,"normalized (lowercase, underscores)"
行业板块,industry,industry,industry,"normalized (lowercase, underscores)"
行业分组,industry_2,industry_2,industry_2,"normalized (lowercase, underscores)"
规模（亿美元）（ln）,size (log_assets),size (log_assets),size_log_assets,"normalized (lowercase, underscores)"
账面市值比,BM_Ratio,BM_Ratio,bm_ratio,"normalized (lowercase, underscores)"
前期波动率,volatility,volatility,volatility,"normalized (lowercase, underscores)"
累计涨幅,Momentum,Momentum,momentum,"normalized (lowercase, underscores)"
"市场模型异常收益[-10,-2]",car_pre,mkt_car_pre,mkt_car_pre,renamed from duplicate or unnamed: 'car_pre' -> 'mkt_car_pre'
市场模型异常收益时间窗口1,car_1,mkt_car_1,mkt_car_1,renamed from duplicate or unnamed: 'car_1' -> 'mkt_car_1'
市场模型异常收益2,car_2,mkt_car_2,mkt_car_2,renamed from duplicate or unnamed: 'car_2' -> 'mkt_car_2'
市场模型异常收益3,car_3,mkt_car_3,mkt_car_3,renamed from duplicate or unnamed: 'car_3' -> 'mkt_car_3'
市场模型异常收益5,car_5,mkt_car_5,mkt_car_5,renamed from duplicate or unnamed: 'car_5' -> 'mkt_car_5'
市场模型异常收益10,car_10,mkt_car_10,mkt_car_10,renamed from duplicate or unnamed: 'car_10' -> 'mkt_car_10'
市场模型异常收益15,car_15,mkt_car_15,mkt_car_15,renamed from duplicate or unnamed: 'car_15' -> 'mkt_car_15'
市场模型异常收益20,car_20,mkt_car_20,mkt_car_20,renamed from duplicate or unnamed: 'car_20' -> 'mkt_car_20'
"FF3异常收益[-10,-2]",car_pre,ff3_car_pre,ff3_car_pre,renamed from duplicate or unnamed: 'car_pre' -> 'ff3_car_pre'
FF3异常收益时间窗口1,car_1,ff3_car_1,ff3_car_1,renamed from duplicate or unnamed: 'car_1' -> 'ff3_car_1'
FF3异常收益2,car_2,ff3_car_2,ff3_car_2,renamed from duplicate or unnamed: 'car_2' -> 'ff3_car_2'
FF3异常收益3,car_3,ff3_car_3,ff3_car_3,renamed from duplicate or unnamed: 'car_3' -> 'ff3_car_3'
FF3异常收益5,car_5,ff3_car_5,ff3_car_5,renamed from duplicate or unnamed: 'car_5' -> 'ff3_car_5'
FF3异常收益10,car_10,ff3_car_10,ff3_car_10,renamed from duplicate or unnamed: 'car_10' -> 'ff3_car_10'
FF3异常收益15,car_15,ff3_car_15,ff3_car_15,renamed from duplicate or unnamed: 'car_15' -> 'ff3_car_15'
FF3异常收益20,car_20,ff3_car_20,ff3_car_20,renamed from duplicate or unnamed: 'car_20' -> 'ff3_car_20'
"媒体态度均值(2,2)",windows-2,media_sent_mean_w2,media_sent_mean_w2,renamed from duplicate or unnamed: 'windows-2' -> 'media_sent_mean_w2'
媒体态度标准差,windows-2,media_sent_sd_w2,media_sent_sd_w2,renamed from duplicate or unnamed: 'windows-2' -> 'media_sent_sd_w2'
"媒体态度均值(3,3)",windows-3,media_sent_mean_w3,media_sent_mean_w3,renamed from duplicate or unnamed: 'windows-3' -> 'media_sent_mean_w3'
媒体态度标准差,windows-3,media_sent_sd_w3,media_sent_sd_w3,renamed from duplicate or unnamed: 'windows-3' -> 'media_sent_sd_w3'
"媒体态度均值(5,5)",windows-5,media_sent_mean_w5,media_sent_mean_w5,renamed from duplicate or unnamed: 'windows-5' -> 'media_sent_mean_w5'
