entity_id,event_id,year,month,month_num,event_order,entity_order,entity_name,entity_type,entity_classification_reason,inferred_creator,inferred_modality,event_text,is_special,source,match_level,match_score,aa_record_key,aa_name,aa_slug,aa_creator,aa_modality,aa_release_date,aa_url,top_candidates_json,needs_review
AIT-2022-02-001-E01,AIT-2022-02-001,2022,February,2,1,1,Midjourney v1,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v1,False,AI Timeline _data/timeline.yml,exact_or_near_exact,1.0,text-to-image:ec8ee994-cfd0-4b8c-b244-14265c95290b,Midjourney v6,midjourney-v6,Midjourney,text-to-image,2023-12,https://artificialanalysis.ai/models/midjourney-v6,"[{""score"": 1.0, ""name"": ""Midjourney v6"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v6""}, {""score"": 1.0, ""name"": ""Midjourney v6.1"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v6-1""}, {""score"": 1.0, ""name"": ""Midjourney V1"", ""creator"": ""Midjourney"", ""modality"": ""image-to-video"", ""slug"": ""midjourney-v1""}, {""score"": 0.9519, ""name"": ""Midjourney v7 Alpha"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v7-alpha""}, {""score"": 0.78, ""name"": ""Journey"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""journey""}]",False
AIT-2022-03-001-E01,AIT-2022-03-001,2022,March,3,2,1,text-davinci-002,model,model-family or model-context clue,OpenAI,language,OpenAI releases text-davinci-002 and code-davinci-002 with an API approach.,False,AI Timeline _data/timeline.yml,unmatched,0.5428,,,,,,,,"[{""score"": 0.5428, ""name"": ""TTS-1 HD"", ""creator"": ""OpenAI"", ""modality"": ""text-to-speech"", ""slug"": ""tts-1-hd""}, {""score"": 0.5385, ""name"": ""Dreamina Seedance 2.0 720p"", ""creator"": ""ByteDance Seed"", ""modality"": ""text-to-video"", ""slug"": ""seedance-2-0""}, {""score"": 0.5385, ""name"": ""Dreamina Seedance 2.0 720p"", ""creator"": ""ByteDance Seed"", ""modality"": ""image-to-video"", ""slug"": ""seedance-2-0""}, {""score"": 0.5385, ""name"": ""Dreamina Seedance 2.0 720p"", ""creator"": ""ByteDance Seed"", ""modality"": ""text-to-video-audio"", ""slug"": ""seedance-2-0""}, {""score"": 0.5385, ""name"": ""Dreamina Seedance 2.0 720p"", ""creator"": ""ByteDance Seed"", ""modality"": ""image-to-video-audio"", ""slug"": ""seedance-2-0""}]",True
AIT-2022-03-001-E02,AIT-2022-03-001,2022,March,3,2,2,code-davinci-002,model,model-family or model-context clue,OpenAI,language,OpenAI releases text-davinci-002 and code-davinci-002 with an API approach.,False,AI Timeline _data/timeline.yml,low,0.6225,language:fd4454ff-e703-46c0-a7f5-fa69af09486d,GPT-5.1 Codex mini (high),gpt-5-1-codex-mini,OpenAI,language,2025-11-13,https://artificialanalysis.ai/models/gpt-5-1-codex-mini,"[{""score"": 0.6225, ""name"": ""GPT-5.1 Codex mini (high)"", ""creator"": ""OpenAI"", ""modality"": ""language"", ""slug"": ""gpt-5-1-codex-mini""}, {""score"": 0.5785, ""name"": ""GPT-5.2 Codex (xhigh)"", ""creator"": ""OpenAI"", ""modality"": ""language"", ""slug"": ""gpt-5-2-codex""}, {""score"": 0.5714, ""name"": ""Kimi K2.7 Code"", ""creator"": ""Kimi"", ""modality"": ""language"", ""slug"": ""kimi-k2-7-code""}, {""score"": 0.56, ""name"": ""DALLE 2"", ""creator"": ""OpenAI"", ""modality"": ""text-to-image"", ""slug"": ""dalle-2""}, {""score"": 0.56, ""name"": ""Sora 2 (October)"", ""creator"": ""OpenAI"", ""modality"": ""text-to-video"", ""slug"": ""sora-2-no-audio-october""}]",True
AIT-2022-04-001-E01,AIT-2022-04-001,2022,April,4,3,1,Midjourney v2,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v2,False,AI Timeline _data/timeline.yml,exact_or_near_exact,1.0,text-to-image:ec8ee994-cfd0-4b8c-b244-14265c95290b,Midjourney v6,midjourney-v6,Midjourney,text-to-image,2023-12,https://artificialanalysis.ai/models/midjourney-v6,"[{""score"": 1.0, ""name"": ""Midjourney v6"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v6""}, {""score"": 1.0, ""name"": ""Midjourney v6.1"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v6-1""}, {""score"": 1.0, ""name"": ""Midjourney V1"", ""creator"": ""Midjourney"", ""modality"": ""image-to-video"", ""slug"": ""midjourney-v1""}, {""score"": 0.9519, ""name"": ""Midjourney v7 Alpha"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v7-alpha""}, {""score"": 0.78, ""name"": ""Journey"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""journey""}]",False
AIT-2022-04-002-E01,AIT-2022-04-002,2022,April,4,4,1,DALL-E 2,model,model-family or model-context clue,,text-to-image,DALL-E 2 is announced for gradual release.,True,AI Timeline _data/timeline.yml,exact_or_near_exact,0.9733,text-to-image:5db3c143-21ef-4046-a9f3-9603c8297c18,DALLE 2,dalle-2,OpenAI,text-to-image,2022-09,https://artificialanalysis.ai/models/dalle-2,"[{""score"": 0.9733, ""name"": ""DALLE 2"", ""creator"": ""OpenAI"", ""modality"": ""text-to-image"", ""slug"": ""dalle-2""}, {""score"": 0.84, ""name"": ""DALLE 3"", ""creator"": ""OpenAI"", ""modality"": ""text-to-image"", ""slug"": ""dalle-3""}, {""score"": 0.7067, ""name"": ""DALLE 3 HD"", ""creator"": ""OpenAI"", ""modality"": ""text-to-image"", ""slug"": ""dalle-3-hd""}, {""score"": 0.5714, ""name"": ""PALM-2"", ""creator"": ""Google"", ""modality"": ""language"", ""slug"": ""palm-2""}, {""score"": 0.5663, ""name"": ""MAI-Image-2"", ""creator"": ""Microsoft"", ""modality"": ""text-to-image"", ""slug"": ""smith""}]",False
AIT-2022-07-001-E01,AIT-2022-07-001,2022,July,7,5,1,Midjourney v3,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v3 is launched.,False,AI Timeline _data/timeline.yml,exact_or_near_exact,1.0,text-to-image:ec8ee994-cfd0-4b8c-b244-14265c95290b,Midjourney v6,midjourney-v6,Midjourney,text-to-image,2023-12,https://artificialanalysis.ai/models/midjourney-v6,"[{""score"": 1.0, ""name"": ""Midjourney v6"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v6""}, {""score"": 1.0, ""name"": ""Midjourney v6.1"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v6-1""}, {""score"": 1.0, ""name"": ""Midjourney V1"", ""creator"": ""Midjourney"", ""modality"": ""image-to-video"", ""slug"": ""midjourney-v1""}, {""score"": 0.9519, ""name"": ""Midjourney v7 Alpha"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v7-alpha""}, {""score"": 0.78, ""name"": ""Journey"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""journey""}]",False
AIT-2022-08-001-E01,AIT-2022-08-001,2022,August,8,6,1,Stable Diffusion 1.4,model,model-family or model-context clue,,text-to-image,Stable Diffusion 1.4 is released.,False,AI Timeline _data/timeline.yml,exact_or_near_exact,0.99,text-to-image:c61456b8-0763-4327-adf9-cc4f7cdee50e,Stable Diffusion 1.6,stable-diffusion-1-6,Stability.ai,text-to-image,2023-11,https://artificialanalysis.ai/models/stable-diffusion-1-6,"[{""score"": 0.99, ""name"": ""Stable Diffusion 1.6"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-1-6""}, {""score"": 0.99, ""name"": ""Stable Diffusion 2.1"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-2-1""}, {""score"": 0.99, ""name"": ""Stable Diffusion 1.5"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-1-5""}, {""score"": 0.9237, ""name"": ""Stable Diffusion XL 1.0"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-xl-1-0""}, {""score"": 0.8582, ""name"": ""Stable Diffusion 3 Large"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-3-large""}]",False
AIT-2022-10-001-E01,AIT-2022-10-001,2022,October,10,7,1,Stable Diffusion 1.5,model,model-family or model-context clue,,text-to-image,Stable Diffusion 1.5 becomes available.,True,AI Timeline _data/timeline.yml,exact_or_near_exact,1.0,text-to-image:a9df4a85-bb58-4e9a-9d5d-4b9f562c9d61,Stable Diffusion 1.5,stable-diffusion-1-5,Stability.ai,text-to-image,2022-10,https://artificialanalysis.ai/models/stable-diffusion-1-5,"[{""score"": 1.0, ""name"": ""Stable Diffusion 1.5"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-1-5""}, {""score"": 0.99, ""name"": ""Stable Diffusion 1.6"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-1-6""}, {""score"": 0.99, ""name"": ""Stable Diffusion 2.1"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-2-1""}, {""score"": 0.9237, ""name"": ""Stable Diffusion XL 1.0"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-xl-1-0""}, {""score"": 0.8661, ""name"": ""Stable Diffusion 3.5 Large"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-3-5-large""}]",False
AIT-2022-11-002-E01,AIT-2022-11-002,2022,November,11,9,1,Midjourney v4,model,model-family or model-context clue,Midjourney,text-to-image,Midjourney v4 is released.,False,AI Timeline _data/timeline.yml,exact_or_near_exact,1.0,text-to-image:ec8ee994-cfd0-4b8c-b244-14265c95290b,Midjourney v6,midjourney-v6,Midjourney,text-to-image,2023-12,https://artificialanalysis.ai/models/midjourney-v6,"[{""score"": 1.0, ""name"": ""Midjourney v6"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v6""}, {""score"": 1.0, ""name"": ""Midjourney v6.1"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v6-1""}, {""score"": 1.0, ""name"": ""Midjourney V1"", ""creator"": ""Midjourney"", ""modality"": ""image-to-video"", ""slug"": ""midjourney-v1""}, {""score"": 0.9519, ""name"": ""Midjourney v7 Alpha"", ""creator"": ""Midjourney"", ""modality"": ""text-to-image"", ""slug"": ""midjourney-v7-alpha""}, {""score"": 0.78, ""name"": ""Journey"", ""creator"": ""Google"", ""modality"": ""text-to-speech"", ""slug"": ""journey""}]",False
AIT-2022-11-003-E01,AIT-2022-11-003,2022,November,11,10,1,Stable Diffusion 2.0,model,model-family or model-context clue,,text-to-image,Stable Diffusion 2.0 is launched.,False,AI Timeline _data/timeline.yml,exact_or_near_exact,0.99,text-to-image:73bcd079-f0cf-4dc9-ba28-9c8170d72538,Stable Diffusion 2.1,stable-diffusion-2-1,Stability.ai,text-to-image,2022-12,https://artificialanalysis.ai/models/stable-diffusion-2-1,"[{""score"": 0.99, ""name"": ""Stable Diffusion 2.1"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-2-1""}, {""score"": 0.94, ""name"": ""Stable Diffusion 1.6"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-1-6""}, {""score"": 0.94, ""name"": ""Stable Diffusion 1.5"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-1-5""}, {""score"": 0.9237, ""name"": ""Stable Diffusion XL 1.0"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-xl-1-0""}, {""score"": 0.8582, ""name"": ""Stable Diffusion 3 Large"", ""creator"": ""Stability.ai"", ""modality"": ""text-to-image"", ""slug"": ""stable-diffusion-3-large""}]",False
