event_id,ai_year,ai_month,model_names,aa_names,aa_release_dates,aa_creators,model_count,event_text
AIT-2022-04-002,2022,April,DALL-E 2,DALLE 2,2022-09,OpenAI,1,DALL-E 2 is announced for gradual release.
AIT-2022-10-001,2022,October,Stable Diffusion 1.5,Stable Diffusion 1.5,2022-10,Stability.ai,1,Stable Diffusion 1.5 becomes available.
AIT-2022-12-001,2022,December,Stable Diffusion 2.1,Stable Diffusion 2.1,2022-12,Stability.ai,1,Stable Diffusion 2.1 is released.
AIT-2023-03-002,2023,March,GPT-4,GPT-4,2023-03-14,OpenAI,1,"OpenAI's GPT-4 model is partially released, featuring multimodal image analysis and improved multi-language support."
AIT-2023-05-002,2023,May,PaLM 2,PALM-2,2023-05-10,Google,1,"Google announces an upgrade to Bard, moving it to the upgraded PaLM 2 language model. It will support 180 countries and many languages."
AIT-2023-07-001,2023,July,Stable Diffusion XL 1.0,Stable Diffusion XL 1.0,2023-07,Stability.ai,1,Stable Diffusion XL 1.0 is released.
AIT-2023-07-002,2023,July,Claude 2,Claude 2.0,2023-07-11,Anthropic,1,Anthropic announces a new version of their large language model - Claude 2 .
AIT-2023-07-003,2023,July,LLaMA 2,Llama 2 Chat 70B; Llama 2 Chat 13B; Llama 2 Chat 7B,2023-07-18; 2023-07-18; 2023-07-18,Meta,3,Meta releases the LLaMA 2 open source language model to the general public in a variety of sizes.
AIT-2023-10-001,2023,October,DALL-E 3,DALLE 3,2023-09,OpenAI,1,DALL-E 3 is released.
AIT-2023-12-001,2023,December,Midjourney v6,Midjourney v6,2023-12,Midjourney,1,Midjourney v6 is launched.
AIT-2023-12-002,2023,December,Gemini Pro,Gemini 1.0 Pro,2023-12-06,Google,1,"Google upgrades Bard in limited areas, moving it to be based on the upgraded Gemini Pro language model."
AIT-2024-02-001,2024,February,Stable Diffusion 3,Stable Diffusion 3 Large; Stable Diffusion 3 Large Turbo,2024-02; 2024-02,Stability.ai,2,Stability AI announces Stable Diffusion 3 (gradually released to waiting list).
AIT-2024-02-003,2024,February,Gemini Pro 1.5,Gemini 1.5 Pro (May '24),2024-05-15,Google,1,"Google announces the Gemini Pro 1.5 multimodal language model capable of parsing up to a million tokens, as well as parsing video and images. The model is gradually released to developers on a waiting list."
AIT-2024-03-002,2024,March,Claude 3,Claude 3 Opus; Claude 3 Sonnet; Claude 3 Haiku,2024-03-04; 2024-03-04; 2024-03-04,Anthropic,3,"Anthropic announces Claude 3 , a new version of their large language model. The version is deployed in 3 different sizes, with the largest model performing better than GPT-4."
AIT-2024-04-001,2024,April,Stable Audio 2.0,Stable Audio 2.0,,Stability.ai,1,Stability AI releases a new update to the music creation model - Stable Audio 2.0 .
AIT-2024-04-003,2024,April,Mixtral 8x22B,Mixtral 8x22B Instruct,2024-04-17,Mistral,1,The Mistral company releases its new model Mixtral 8x22B as open source. This is the most powerful model among the open source models and it contains 141 billion parameters but uses a method that allows more economical use.
AIT-2024-04-004,2024,April,LLaMA 3,Llama 3 Instruct 70B; Llama 3 Instruct 8B,2024-04-18; 2024-04-18,Meta,2,Meta releases the LLaMA 3 model as open source in sizes 8B and 70B parameters. The large model shows better performance than Claude 3 Sonnet and Gemini Pro 1.5 in several measures. Meta is expected to later release larger models with 400 billion parameters and more.
AIT-2024-04-005,2024,April,Phi-3-mini,Phi-3 Mini Instruct 3.8B,2024-04-23,Microsoft,1,"Microsoft releases the Phi-3-mini model in open source. The model comes in a reduced version of 3.8B parameters, which allows it to run on mobile devices as well, and it presents capabilities similar to GPT-3.5."
AIT-2024-04-006,2024,April,Firefly 3,Firefly Image 3,2024-04,Adobe,1,Adobe announces its new image creation model Firefly 3 .
