ticker,company,creator,r1_upstream_hardware,r1_upstream_hardware_conf,r2_upstream_cloud,r2_upstream_cloud_conf,r3_downstream_integrator,r3_downstream_integrator_conf,r4_downstream_deployer,r4_downstream_deployer_conf,r5_downstream_enabler,r5_downstream_enabler_conf,r6_competitor,r6_competitor_conf,f2_is_owner,f2_is_owner_conf,f1_is_investor,f1_is_investor_conf,justification,coder,coded_at
ADBE,Adobe Inc.,OpenAI,0,,0,,1,M,0,,0,,1,M,0,,0,,R6:Firefly competes with image and video generation model creators; R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Google,0,,0,,1,M,0,,0,,1,M,0,,0,,R6:Firefly competes with image and video generation model creators; R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Anthropic,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,DeepSeek,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Alibaba,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,xAI,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Meta,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Mistral,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Microsoft,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Kimi,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Z AI,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Amazon,0,,0,,1,M,0,,0,,1,M,0,,0,,R6:Firefly competes with image and video generation model creators; R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,MiniMax,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Stability.ai,0,,0,,1,M,0,,0,,1,M,0,,0,,R6:Firefly competes with image and video generation model creators; R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Midjourney,0,,0,,1,M,0,,0,,1,M,0,,0,,R6:Firefly competes with image and video generation model creators; R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Runway,0,,0,,1,M,0,,0,,1,M,0,,0,,R6:Firefly competes with image and video generation model creators; R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Black Forest Labs,0,,0,,1,M,0,,0,,1,M,0,,0,,R6:Firefly competes with image and video generation model creators; R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Suno,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Udio,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
ADBE,Adobe Inc.,Kyutai,0,,0,,1,H,0,,0,,0,,0,,0,,R3:Firefly and generative AI are embedded in creative software products,B,2026-07-27
