year,date_in_ai_timeline,event_order_in_month,text_raw_html,text_plain,special
2022,February,1,<b>Midjourney v1</b>,Midjourney v1,false
2022,March,1,OpenAI releases <b>text-davinci-002</b> and <b>code-davinci-002</b> with an API approach.,OpenAI releases text-davinci-002 and code-davinci-002 with an API approach.,false
2022,April,1,<b>Midjourney v2</b>,Midjourney v2,false
2022,April,2,<b>DALL-E 2</b> is announced for gradual release.,DALL-E 2 is announced for gradual release.,true
2022,July,1,<b>Midjourney v3</b> is launched.,Midjourney v3 is launched.,false
2022,August,1,<b>Stable Diffusion 1.4</b> is released.,Stable Diffusion 1.4 is released.,false
2022,October,1,<b>Stable Diffusion 1.5</b> becomes available.,Stable Diffusion 1.5 becomes available.,true
2022,November,1,"<b>ChatGPT</b>, a chatbot by OpenAI using GPT-3.5, is released to the public and quickly becomes a viral sensation.","ChatGPT, a chatbot by OpenAI using GPT-3.5, is released to the public and quickly becomes a viral sensation.",true
2022,November,2,<b>Midjourney v4</b> is released.,Midjourney v4 is released.,false
2022,November,3,<b>Stable Diffusion 2.0</b> is launched.,Stable Diffusion 2.0 is launched.,false
2022,December,1,<b>Stable Diffusion 2.1</b> is released.,Stable Diffusion 2.1 is released.,false
2023,February,1,Meta releases the <b>LLaMA</b> language model as open-source for research purposes. The model is later leaked.,Meta releases the LLaMA language model as open-source for research purposes. The model is later leaked.,true
2023,February,2,"Microsoft gradually releases <b>Bing AI</b>, an AI chat based on an upgraded GPT model integrating internet search.","Microsoft gradually releases Bing AI, an AI chat based on an upgraded GPT model integrating internet search.",false
2023,March,1,<b>Midjourney v5</b> is launched.,Midjourney v5 is launched.,false
2023,March,2,"OpenAI's <b>GPT-4</b> model is partially released, featuring multimodal image analysis and improved multi-language support.","OpenAI's GPT-4 model is partially released, featuring multimodal image analysis and improved multi-language support.",true
2023,March,3,"Google releases the AI chat <b>Bard</b> in a limited capacity, based on the LaMDA language model.","Google releases the AI chat Bard in a limited capacity, based on the LaMDA language model.",false
2023,April,1,Adobe releases the <b>Firefly</b> image creation model as a beta version to a waiting list. The model allowed a variety of capabilities including text formatting.,Adobe releases the Firefly image creation model as a beta version to a waiting list. The model allowed a variety of capabilities including text formatting.,false
2023,May,1,<b>Midjourney v5.1</b> is released.,Midjourney v5.1 is released.,false
2023,May,2,"Google announces an upgrade to Bard, moving it to the upgraded <b>PaLM 2</b> language model. It will support 180 countries and many languages.","Google announces an upgrade to Bard, moving it to the upgraded PaLM 2 language model. It will support 180 countries and many languages.",false
2023,June,1,<b>Midjourney v5.2</b> is launched.,Midjourney v5.2 is launched.,false
2023,July,1,<b>Stable Diffusion XL 1.0</b> is released.,Stable Diffusion XL 1.0 is released.,false
2023,July,2,Anthropic announces a new version of their large language model - <b>Claude 2</b>.,Anthropic announces a new version of their large language model - Claude 2.,false
2023,July,3,Meta releases the <b>LLaMA 2</b> open source language model to the general public in a variety of sizes.,Meta releases the LLaMA 2 open source language model to the general public in a variety of sizes.,false
2023,October,1,<b>DALL-E 3</b> is released.,DALL-E 3 is released.,false
2023,October,2,Adobe releases <b>Firefly 2</b>.,Adobe releases Firefly 2.,false
2023,November,1,<b>Stable Diffusion XL Turbo</b> is released - A fast model that allows the creation of an image in one step in real-time.,Stable Diffusion XL Turbo is released - A fast model that allows the creation of an image in one step in real-time.,false
2023,December,1,<b>Midjourney v6</b> is launched.,Midjourney v6 is launched.,false
2023,December,2,"Google upgrades Bard in limited areas, moving it to be based on the upgraded <b>Gemini Pro</b> language model.","Google upgrades Bard in limited areas, moving it to be based on the upgraded Gemini Pro language model.",false
