AI Timeline event,AI Timeline date,AA most likely model,AA most likely release date,Confidence 1-10,Candidate 1 time mismatch,AA second likely model,AA second release date,Confidence 2 1-10,Candidate 2 time mismatch,match_level,entity_name
Midjourney v1 — Midjourney v1,2022 February,Midjourney v6,2023-12,6.3,yes,Midjourney v6.1,2024-07,5.5,yes,exact_or_near_exact,Midjourney v1
text-davinci-002 — OpenAI releases text-davinci-002 and code-davinci-002 with an API approach.,2022 March,TTS-1 HD (OpenAI),,4.5,,Dreamina Seedance 2.0 720p (ByteDance Seed),2026-03,3.5,yes,unmatched,text-davinci-002
code-davinci-002 — OpenAI releases text-davinci-002 and code-davinci-002 with an API approach.,2022 March,DALLE 2 (OpenAI),2022-09,4.5,,GPT-5.1 Codex mini (high) (OpenAI),2025-11-13,4.0,yes,low,code-davinci-002
Midjourney v2 — Midjourney v2,2022 April,Midjourney v6,2023-12,6.3,yes,Midjourney v6.1,2024-07,5.5,yes,exact_or_near_exact,Midjourney v2
DALL-E 2 — DALL-E 2 is announced for gradual release.,2022 April,DALLE 2 (OpenAI),2022-09,8.5,,DALLE 3 (OpenAI),2023-09,6.0,yes,exact_or_near_exact,DALL-E 2
Midjourney v3 — Midjourney v3 is launched.,2022 July,Midjourney v6,2023-12,6.3,yes,Midjourney v6.1,2024-07,6.3,yes,exact_or_near_exact,Midjourney v3
Stable Diffusion 1.4 — Stable Diffusion 1.4 is released.,2022 August,Stable Diffusion 1.5 (Stability.ai),2022-10,9.4,,Stable Diffusion 2.1 (Stability.ai),2022-12,8.6,,exact_or_near_exact,Stable Diffusion 1.4
Stable Diffusion 1.5 — Stable Diffusion 1.5 becomes available.,2022 October,Stable Diffusion 1.5 (Stability.ai),2022-10,10.0,,Stable Diffusion 2.1 (Stability.ai),2022-12,9.4,,exact_or_near_exact,Stable Diffusion 1.5
Midjourney v4 — Midjourney v4 is released.,2022 November,Midjourney v6,2023-12,6.3,yes,Midjourney v6.1,2024-07,6.3,yes,exact_or_near_exact,Midjourney v4
Stable Diffusion 2.0 — Stable Diffusion 2.0 is launched.,2022 November,Stable Diffusion 2.1 (Stability.ai),2022-12,9.9,,Stable Diffusion 1.5 (Stability.ai),2022-10,9.6,,exact_or_near_exact,Stable Diffusion 2.0
