final_event_id,event_name,creator,company_id,dimension,coder_a,coder_b,confidence_a,confidence_b,audit_note
FMR-0014,Qwen2.5 Coder 32B,Alibaba,AMZN,upstream_cloud,0,1,H,M,云服务宽窄口径分歧。按宽口径，AWS 是 AI cloud 基础设施，B=1。按实际托管口径，A=0。建议先固定 R2 口径。
FMR-0022,Qwen2.5-Max,Alibaba,AMZN,upstream_cloud,0,1,H,M,云服务宽窄口径分歧。按宽口径，AWS 是 AI cloud 基础设施，B=1。按实际托管口径，A=0。建议先固定 R2 口径。
FMR-0043,Qwen3-235B-A22B-Instruct-2507,Alibaba,AMZN,upstream_cloud,0,1,H,M,云服务宽窄口径分歧。按宽口径，AWS 是 AI cloud 基础设施，B=1。按实际托管口径，A=0。建议先固定 R2 口径。
FMR-0044,Qwen3-Coder,Alibaba,AMZN,upstream_cloud,0,1,H,M,云服务宽窄口径分歧。按宽口径，AWS 是 AI cloud 基础设施，B=1。按实际托管口径，A=0。建议先固定 R2 口径。
FMR-0048,Qwen-3-Max,Alibaba,AMZN,upstream_cloud,0,1,H,M,云服务宽窄口径分歧。按宽口径，AWS 是 AI cloud 基础设施，B=1。按实际托管口径，A=0。建议先固定 R2 口径。
FMR-0053,Z-Image-Turbo,Alibaba,AMZN,upstream_cloud,0,1,H,M,云服务宽窄口径分歧。按宽口径，AWS 是 AI cloud 基础设施，B=1。按实际托管口径，A=0。建议先固定 R2 口径。
FMR-0055,Qwen-Image-2512,Alibaba,AMZN,upstream_cloud,0,1,H,M,云服务宽窄口径分歧。按宽口径，AWS 是 AI cloud 基础设施，B=1。按实际托管口径，A=0。建议先固定 R2 口径。
FMR-0002,Imagen 3,Google,GOOGL,upstream_cloud,0,1,H,H,自有发布方事件是否仍标 upstream_cloud 的口径分歧。codebook 示例不完全一致，建议统一 self-cloud 规则。
FMR-0003,Gemini Flash 1.5,Google,GOOGL,upstream_cloud,0,1,H,H,自有发布方事件是否仍标 upstream_cloud 的口径分歧。codebook 示例不完全一致，建议统一 self-cloud 规则。
FMR-0005,Gemini 1.5 Flash,Google,GOOGL,upstream_cloud,0,1,H,H,自有发布方事件是否仍标 upstream_cloud 的口径分歧。codebook 示例不完全一致，建议统一 self-cloud 规则。
FMR-0007,Imagen 3,Google,GOOGL,upstream_cloud,0,1,H,H,自有发布方事件是否仍标 upstream_cloud 的口径分歧。codebook 示例不完全一致，建议统一 self-cloud 规则。
