event_id,vendor,model_names,aa_names,official_date,source_url,source_title,source_type,confidence,notes
AIT-2024-08-004,xAI,Grok 2,Grok 2 (Dec '24),2024-08-13,https://x.ai/news/grok-2,Grok-2 Beta Release,official technical blog,high,xAI blog date; source announces Grok-2 and Grok-2 mini.
AIT-2024-09-008,Kyutai,Moshi,Moshi,2024-09-18,https://kyutai.org/blog/2024-09-18-moshi-release/,Moshi open-source release: run Moshi locally!,official technical blog,high,Matches event text about open-source Moshi release.
AIT-2024-12-001,Amazon,NOVA,Nova Pro; Nova Lite; Nova Micro,2024-12-03,https://aws.amazon.com/blogs/aws/introducing-amazon-nova-frontier-intelligence-and-industry-leading-price-performance/,Introducing Amazon Nova foundation models: Frontier intelligence and industry leading price performance,official AWS News Blog,high,AWS News Blog announces Amazon Nova foundation models.
AIT-2025-02-001,xAI,Grok 3; Grok 3 Reasoning; Grok 3 mini,Grok 3; Grok 3 Reasoning Beta; Grok 3 mini Reasoning (high),2025-02-19,https://x.ai/news/grok-3,Grok 3 Beta — The Age of Reasoning Agents,official technical blog,high,xAI blog introduces Grok 3 and Grok 3 mini reasoning.
AIT-2025-06-002,ElevenLabs,Eleven v3 (alpha),Eleven v3,2025-06-03,https://elevenlabs.io/blog/eleven-v3,Introducing Eleven v3 (alpha),official research blog,high,"Official ElevenLabs blog says Eleven v3 alpha was published Jun 3, 2025 and available that day."
AIT-2025-07-001,xAI,Grok 4,Grok 4,2025-07-09,https://x.ai/news/grok-4,Grok 4,official technical blog,high,xAI blog says Grok 4 is available now.
AIT-2025-11-003,xAI,Grok 4.1,Grok 4.1 Fast (Reasoning),2025-11-17,https://x.ai/news/grok-4-1,Grok 4.1,official technical blog,high,"Event maps to AA Fast reasoning variant, but blog date is base Grok 4.1 rollout."
AIT-2025-12-004,Amazon,Nova 2; Nova 2 Sonic,Nova 2.0 Omni (medium); Nova 2.0 Pro Preview (medium); Nova 2.0 Sonic,,,,unresolved,unresolved,No first-party Amazon technical blog or announcement found for Nova 2 / Nova 2 Sonic during this pass.
AIT-2025-12-006,xAI,Grok Voice Agent API,Grok Voice Agent,2025-12-17,https://x.ai/news/grok-voice-agent-api,Grok Voice Agent API,official technical blog,high,"xAI blog date used as requested. xAI docs release notes list GA on Dec 16, 2025, but the blog post date is Dec 17."
AIT-2025-12-009,MiniMax,MiniMax-M2.1,MiniMax-M2.1,,,,unresolved,unresolved,No first-party MiniMax technical blog or announcement found for MiniMax-M2.1 during this pass.
AIT-2026-01-004,xAI,Imagine Video,grok-imagine-video,2026-01-28,https://x.ai/news/grok-imagine-api,Grok Imagine API,official technical blog,medium,Official xAI blog announces Grok Imagine API as unified video generation bundle; event name is Imagine Video.
AIT-2026-02-006,xAI,Grok 4.20,Grok 4.20 0309 v2 (Reasoning),2026-03-10,https://docs.x.ai/developers/release-notes,Release Notes,official docs release notes,high,Official xAI docs release notes say Grok 4.20 and Grok 4.20 Multi-agent are live on Mar 10. This differs from ATL February month.
