event_id,ai_year,ai_month,official_date,official_date_all,model_names,aa_creators,model_count,date_status,date_confidence,date_source_types,event_trading_date,first_us_trading_date_on_or_after_official_date,official_date_is_trading_day,date_roll_rule,price_start_for_return_at_t_minus_200,estimation_start_t_minus_200,estimation_end_t_minus_10,pre_window_start_t_minus_10,pre_window_end_t_minus_2,event_window_end_t_plus_20,official_date_month_matches_ai_month,multi_component_date_flag,release_time_status,date_review_flag
AIT-2022-04-002,2022,April,2022-04-06,2022-04-06,DALL-E 2,OpenAI,1,day_resolved,medium,official page (dated via Wayback first snapshot),2022-04-06,2022-04-06,True,same_day,2021-06-21,2021-06-22,2022-03-23,2022-03-23,2022-04-04,2022-05-05,True,False,unknown,False
AIT-2022-10-001,2022,October,2022-10-20,2022-10-20,Stable Diffusion 1.5,Stability.ai,1,day_resolved,medium,first-party model repo (dated via Wayback first snapshot),2022-10-20,2022-10-20,True,same_day,2022-01-03,2022-01-04,2022-10-06,2022-10-06,2022-10-18,2022-11-17,True,False,unknown,False
AIT-2022-12-001,2022,December,2022-12-07,2022-12-07,Stable Diffusion 2.1,Stability.ai,1,day_resolved,high,official blog; official blog not retrieved,2022-12-07,2022-12-07,True,same_day,2022-02-18,2022-02-22,2022-11-22,2022-11-22,2022-12-05,2023-01-06,True,False,unknown,False
AIT-2023-03-002,2023,March,2023-03-14,2023-03-14,GPT-4,OpenAI,1,day_resolved,high,official research announcement,2023-03-14,2023-03-14,True,same_day,2022-05-24,2022-05-25,2023-02-28,2023-02-28,2023-03-10,2023-04-12,True,False,unknown,False
AIT-2023-05-002,2023,May,2023-05-10,2023-05-10,PaLM 2,Google,1,day_resolved,high,Google Blog,2023-05-10,2023-05-10,True,same_day,2022-07-22,2022-07-25,2023-04-26,2023-04-26,2023-05-08,2023-06-08,True,False,unknown,False
AIT-2023-07-001,2023,July,2023-07-26,2023-07-26,Stable Diffusion XL 1.0,Stability.ai,1,day_resolved,high,official blog; first-party model card,2023-07-26,2023-07-26,True,same_day,2022-10-05,2022-10-06,2023-07-12,2023-07-12,2023-07-24,2023-08-23,True,False,unknown,False
AIT-2023-07-002,2023,July,2023-07-11,2023-07-11,Claude 2,Anthropic,1,day_resolved,high,official_news,2023-07-11,2023-07-11,True,same_day,2022-09-20,2022-09-21,2023-06-26,2023-06-26,2023-07-07,2023-08-08,True,False,unknown,False
AIT-2023-07-003,2023,July,2023-07-18,2023-07-18,LLaMA 2,Meta,3,day_resolved,high,official_blog,2023-07-18,2023-07-18,True,same_day,2022-09-27,2022-09-28,2023-07-03,2023-07-03,2023-07-14,2023-08-15,True,False,unknown,False
AIT-2023-10-001,2023,October,2023-10-19,2023-10-19,DALL-E 3,OpenAI,1,day_resolved,medium,official blog (dated via Wayback first snapshot),2023-10-19,2023-10-19,True,same_day,2022-12-30,2023-01-03,2023-10-05,2023-10-05,2023-10-17,2023-11-16,True,False,unknown,False
AIT-2023-12-001,2023,December,2023-12-20,2023-12-20,Midjourney v6,Midjourney,1,day_resolved,high,official documentation,2023-12-20,2023-12-20,True,same_day,2023-03-06,2023-03-07,2023-12-06,2023-12-06,2023-12-18,2024-01-22,True,False,unknown,False
AIT-2023-12-002,2023,December,2023-12-06,2023-12-06,Gemini Pro,Google,1,day_resolved,high,Google Blog,2023-12-06,2023-12-06,True,same_day,2023-02-17,2023-02-21,2023-11-21,2023-11-21,2023-12-04,2024-01-05,True,False,unknown,False
AIT-2024-02-001,2024,February,2024-02-22,2024-02-22,Stable Diffusion 3,Stability.ai,2,day_resolved,high,official blog,2024-02-22,2024-02-22,True,same_day,2023-05-04,2023-05-05,2024-02-07,2024-02-07,2024-02-20,2024-03-21,True,False,unknown,False
AIT-2024-02-003,2024,February,2024-02-15,2024-02-15,Gemini Pro 1.5,Google,1,day_resolved,high,Google Blog,2024-02-15,2024-02-15,True,same_day,2023-04-28,2023-05-01,2024-02-01,2024-02-01,2024-02-13,2024-03-15,True,False,unknown,False
AIT-2024-03-002,2024,March,2024-03-04,2024-03-04,Claude 3,Anthropic,3,day_resolved,high,official_news,2024-03-04,2024-03-04,True,same_day,2023-05-15,2023-05-16,2024-02-16,2024-02-16,2024-02-29,2024-04-02,True,False,unknown,False
AIT-2024-04-001,2024,April,2024-04-03,2024-04-03,Stable Audio 2.0,Stability.ai,1,day_resolved,high,official blog,2024-04-03,2024-04-03,True,same_day,2023-06-14,2023-06-15,2024-03-19,2024-03-19,2024-04-01,2024-05-01,True,False,unknown,False
AIT-2024-04-003,2024,April,2024-04-17,2024-04-17,Mixtral 8x22B,Mistral,1,day_resolved,high,official_blog,2024-04-17,2024-04-17,True,same_day,2023-06-29,2023-06-30,2024-04-03,2024-04-03,2024-04-15,2024-05-15,True,False,unknown,False
AIT-2024-04-004,2024,April,2024-04-18,2024-04-18,LLaMA 3,Meta,2,day_resolved,high,official_blog,2024-04-18,2024-04-18,True,same_day,2023-06-30,2023-07-03,2024-04-04,2024-04-04,2024-04-16,2024-05-16,True,False,unknown,False
AIT-2024-04-005,2024,April,2024-04-23,2024-04-23,Phi-3-mini,Microsoft,1,day_resolved,high,official_blog,2024-04-23,2024-04-23,True,same_day,2023-07-06,2023-07-07,2024-04-09,2024-04-09,2024-04-19,2024-05-21,True,False,unknown,False
