"event_id","vendor","model_names","aa_names","official_date","source_url","source_title","source_type","confidence","notes"
"AIT-2024-08-003","Google","Imagen 3","Imagen 3 (v002)","2024-08-13","https://arxiv.org/abs/2408.07009","Imagen 3","first-party technical report (arXiv)","medium","arXiv 提交记录 [v1] Tue, 13 Aug 2024。替换原 Whisk 博客证据。"
"AIT-2024-08-006","Google","Gemini 1.5 Flash8B","Gemini 1.5 Flash-8B","2024-08-27","https://ai.google.dev/gemini-api/docs/changelog","Gemini API release notes","official changelog","high","Changelog: ""August 27, 2024 — Released the following experimental models: gemini-1.5-pro-exp-0827, gemini-1.5-flash-exp-0827, gemini-1.5-flash-8b-exp-0827""。"
"AIT-2024-11-007","Anthropic","Claude 3.5 Haiku","Claude 3.5 Haiku","2024-11-04","https://cloud.google.com/vertex-ai/generative-ai/docs/release-notes","Vertex AI release notes","platform release notes","medium","""November 04, 2024 — The Anthropic Claude Haiku 3.5 is Generally Available on Vertex AI."" 用作可用日证据，替代 10-22 预告日。"
"AIT-2022-04-002","OpenAI","DALL-E 2","DALLE 2","2022-04-06","https://openai.com/index/dall-e-2/","DALL·E 2","official page (dated via Wayback first snapshot)","medium","OpenAI 官方页面本身无日期；Wayback Machine 首次快照为 2022-04-06T14:10Z，与公开报道的公告日 2022-04-06 一致。"
"AIT-2022-10-001","Stability.ai","Stable Diffusion 1.5","Stable Diffusion 1.5","2022-10-20","https://huggingface.co/runwayml/stable-diffusion-v1-5","Stable Diffusion v1-5 (runwayml, Hugging Face)","first-party model repo (dated via Wayback first snapshot)","medium","原 runwayml 仓库页 Wayback 首次快照为 2022-10-20，与二手报道的发布日一致。"
"AIT-2023-10-001","OpenAI","DALL-E 3","DALLE 3","2023-10-19","https://openai.com/blog/dall-e-3-is-now-available-in-chatgpt-plus-and-enterprise","DALL·E 3 is now available in ChatGPT Plus and Enterprise","official blog (dated via Wayback first snapshot)","medium","ATL 10 月事件对应 ChatGPT 内可用；该官方博客 Wayback 首次快照为 2023-10-19。9 月 20 日为预告公告，与本事件月不符。"
"AIT-2024-07-006","Udio","Udio v1.5","Udio v1.5 Allegro","2024-07-23","https://www.udio.com/blog/introducing-v1-5","Introducing v1.5","official blog","high","Udio 官方博客页面元数据 datePublished 2024-07-23，与二手报道一致。"
"AIT-2024-08-002","OpenAI","GPT-4o 0806","GPT-4o (Aug '24)","2024-08-06","https://openai.com/index/introducing-structured-outputs-in-the-api/","Introducing structured outputs in the API","official blog (dated via Wayback first snapshot)","high","该官方博客发布 gpt-4o-2024-08-06 快照模型；Wayback 首次快照为 2024-08-06，且模型版本号本身编码 0806。"
"AIT-2024-10-013","Recraft","Recraft v3","Recraft V3","2024-10-30","https://www.recraft.ai/blog/recraft-introduces-a-revolutionary-ai-model-that-thinks-in-design-language","Introducing Recraft V3: #1 AI Image Generation Model","official blog","high","Recraft 官方博客页面日期 October 30, 2024，由 month_only 升级为 day_resolved。"
"AIT-2025-12-004","Amazon","Nova 2; Nova 2 Sonic","Nova 2.0 Omni (medium); Nova 2.0 Pro Preview (medium); Nova 2.0 Sonic","2025-12-02","https://aws.amazon.com/about-aws/whats-new/2025/12/amazon-nova-2-omni-preview/","Introducing Amazon Nova 2 Omni in Preview","official what's-new post","high","AWS What's New 页面 ""Posted on: Dec 2, 2025""（re:Invent）；Nova 2 系列（Omni/Pro/Sonic）同日发布。"
"AIT-2025-12-009","MiniMax","MiniMax-M2.1","MiniMax-M2.1","2025-12-20","https://huggingface.co/MiniMaxAI/MiniMax-M2.1","MiniMaxAI/MiniMax-M2.1 (Hugging Face)","first-party model repo (createdAt)","medium","MiniMax 官方 HF 仓库 createdAt 2025-12-20T05:45Z。未找到一方博客，公告可能早数日，故 medium。"
