firm,firm_ticker,model_company,model,event_date,relationship,value,evidence_text,source_name,source_url,source_date,before_event_date,confidence,notes
Samsung Electronics,005930 KS,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Samsung Electronics owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Samsung Electronics,005930 KS,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Samsung Electronics making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Samsung Electronics,005930 KS,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Samsung Electronics providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Samsung Electronics,005930 KS,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] Samsung Electronics is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,Samsung Electronics is not a designated business_upstream firm.
Samsung Electronics,005930 KS,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of Samsung Electronics supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,medium,[MAPPED from upstream] 
Samsung Electronics,005930 KS,Meta,LLaMA 3,2024-04-18,business_downstream,0,[BUSINESS POSITION — NARROWED] Researcher coding convention: Samsung Electronics is NOT classified as business_downstream under the narrowed definition. Firm not classified as business_downstream. Core business is not downstream of generative-AI model capabilities in a commercially meaningful way.,Researcher Convention,N/A,N/A,N/A,medium,business_downstream=0 confirmed under narrowed definition.
Samsung Electronics,005930 KS,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of Samsung Electronics integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
Samsung Electronics,005930 KS,Meta,LLaMA 3,2024-04-18,competitor,0,No public evidence found of Samsung Electronics developing or offering directly competing foundation models or AI platforms vs Meta before event date,N/A,N/A,N/A,N/A,high,
Alphabet,GOOGL,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Alphabet owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Alphabet,GOOGL,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Alphabet making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Alphabet,GOOGL,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Alphabet providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Alphabet,GOOGL,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] Alphabet is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,Alphabet is not a designated business_upstream firm.
Alphabet,GOOGL,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of Alphabet supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,high,[MAPPED from upstream] 
Alphabet,GOOGL,Meta,LLaMA 3,2024-04-18,business_downstream,0,"[BUSINESS POSITION — NARROWED] Researcher coding convention: Alphabet is NOT classified as business_downstream under the narrowed definition. Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/infrastructure provider, upstream complement, platform, adtech/e-commerce firm, or general AI adopter. Broad AI use is insufficient for business_downstream=1.",Researcher Convention,N/A,N/A,N/A,high,Changed 1→0 under narrowed business_downstream definition.
Alphabet,GOOGL,Meta,LLaMA 3,2024-04-18,real_downstream,0,"No public evidence found of Alphabet integrating, using, or distributing Meta models or technology in products before event date",N/A,N/A,N/A,N/A,high,[MAPPED from downstream] 
Alphabet,GOOGL,Meta,LLaMA 3,2024-04-18,competitor,1,Alphabet launched Bard/Gemini as a directly competing foundation model/AI platform versus Meta models.,Alphabet Official,https://blog.google/technology/ai/try-bard/,2023-03-21,yes,high,
Micron Technology,MU,Meta,LLaMA 3,2024-04-18,owner,0,"No public evidence found that Micron Technology owns, controls, or directly develops Meta or its models before event date",N/A,N/A,N/A,N/A,high,
Micron Technology,MU,Meta,LLaMA 3,2024-04-18,investor,0,No public evidence found of Micron Technology making equity investment in Meta before event date,N/A,N/A,N/A,N/A,high,
Micron Technology,MU,Meta,LLaMA 3,2024-04-18,cloud,0,No public evidence found of Micron Technology providing cloud/infrastructure services to Meta before event date,N/A,N/A,N/A,N/A,high,
Micron Technology,MU,Meta,LLaMA 3,2024-04-18,business_upstream,0,[BUSINESS POSITION] Micron Technology is not positioned as a key upstream supplier to the LLM/generative-AI production ecosystem.,Researcher Convention,N/A,N/A,N/A,medium,Micron Technology is not a designated business_upstream firm.
Micron Technology,MU,Meta,LLaMA 3,2024-04-18,real_upstream,0,"No public evidence found of Micron Technology supplying key upstream inputs (GPUs, chips, infrastructure) to Meta before event date",N/A,N/A,N/A,N/A,medium,[MAPPED from upstream] 
