match_timing,month_gap,matched_names,new_event_id,new_ai_month,new_model_names,new_aa_names,new_event_text,old_event_id,old_release_date,old_event_name,old_model_names,old_aa_names,old_creator
time_far,10,Sora = Sora,AIT-2024-02-004,2024-02,Sora,Sora,OpenAI announces the Sora model that produces videos up to a minute long. The model is not released to the public at this time.,FMR-0016,2024-12-09,SORA,SORA,Sora,OpenAI
same_month,0,Grok 2 = Grok 2 (Dec '24),AIT-2024-08-004,2024-08,Grok 2,Grok 2,"xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market.",FMR-0006,2024-08-13,Grok 2,Grok 2,Grok 2 (Dec '24),xAI
time_far,3,Gemini 1.5 Flash (May '24) = Gemini 1.5 Flash (May '24),AIT-2024-08-006,2024-08,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,Gemini 1.5 Flash-8B; Gemini 1.5 Pro (May '24); Gemini 1.5 Flash (May '24),"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",FMR-0003,2024-05-30,Gemini Flash 1.5,Gemini Flash 1.5,Gemini 1.5 Flash (May '24),Google
same_month,0,Gemini 1.5 Flash (May '24) = Gemini 1.5 Flash (Sep '24),AIT-2024-08-006,2024-08,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,Gemini 1.5 Flash-8B; Gemini 1.5 Pro (May '24); Gemini 1.5 Flash (May '24),"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",FMR-0005,2024-08-08,Gemini 1.5 Flash,Gemini 1.5 Flash,Gemini 1.5 Flash (Sep '24),Google
adjacent_month,1,Gemini 1.5 Flash (May '24) = Gemini 1.5 Flash (Sep '24); Gemini 1.5 Pro (May '24) = Gemini 1.5 Pro (Sep '24),AIT-2024-08-006,2024-08,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,Gemini 1.5 Flash-8B; Gemini 1.5 Pro (May '24); Gemini 1.5 Flash (May '24),"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",FMR-0010,2024-09-24,Gemini 1.5 002 family,Gemini Pro 1.5 002; Gemini Flash 1.5 002,Gemini 1.5 Pro (Sep '24); Gemini 1.5 Flash (Sep '24),Google
time_far,2,Gemini 1.5 Pro (May '24) = Gemini 1.5 Pro (Sep '24),AIT-2024-08-006,2024-08,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,Gemini 1.5 Flash-8B; Gemini 1.5 Pro (May '24); Gemini 1.5 Flash (May '24),"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",FMR-0011,2024-10-03,Gemini 1.5 Pro,Gemini 1.5 Pro,Gemini 1.5 Pro (Sep '24),Google
time_far,2,Gemini 1.5 Flash-8B = Gemini 1.5 Flash-8B,AIT-2024-08-006,2024-08,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,Gemini 1.5 Flash-8B; Gemini 1.5 Pro (May '24); Gemini 1.5 Flash (May '24),"Google has introduced three new experimental AI models: Gemini 1.5 Flash8B , Gemini 1.5 Pro Enhanced, and Gemini 1.5 Flash Updated.",FMR-0012,2024-10-03,Gemini 1.5 Flash8B,Gemini 1.5 Flash8B,Gemini 1.5 Flash-8B,Google
same_month,0,o1-preview = o1-preview,AIT-2024-09-002,2024-09,o1 preview; o1 mini,o1-preview; o1-mini,"OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini . These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more.",FMR-0008,2024-09-12,o1 preview,o1 preview,o1-preview,OpenAI
same_month,0,o1-mini = o1-mini,AIT-2024-09-002,2024-09,o1 preview; o1 mini,o1-preview; o1-mini,"OPENAI has released two nextgeneration AI models to its subscribers: o1 preview and o1 mini . These models show a significant improvement in performance, particularly in tasks requiring reasoning, including coding, mathematics, GPQA, and more.",FMR-0009,2024-09-12,o1 mini,o1 mini,o1-mini,OpenAI
same_month,0,Claude 3.5 Haiku = Claude 3.5 Haiku,AIT-2024-10-011,2024-10,Claude 3.5 Haiku,Claude 3.5 Haiku,"Anthropic launches Claude 3.5 Sonnet New , demonstrating significant advancements in specific areas over its previous version, and announces Claude 3.5 Haiku .",FMR-0013,2024-10-22,Claude 3.5 Sonnet New / Haiku family,Claude 3.5 Sonnet New; Claude 3.5 Haiku,Claude 3.5 Sonnet (Oct '24); Claude 3.5 Haiku,Anthropic
