old_match_status,old_event_id,old_release_date,old_event_name,old_model_names,old_aa_names,old_creator,matched_new_event_ids,matched_new_months,matched_new_model_names,match_timing,month_gaps,matched_names
old60_only,FMR-0001,2024-04-18,LLaMA 3,LLaMA 3,Llama 3 Instruct 70B,Meta,,,,,,
old60_only,FMR-0002,2024-05-14,Imagen 3,Imagen 3,Imagen 3 (v002),Google,,,,,,
matched_new61,FMR-0003,2024-05-30,Gemini Flash 1.5,Gemini Flash 1.5,Gemini 1.5 Flash (May '24),Google,AIT-2024-08-006,2024-08,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,time_far,3,Gemini 1.5 Flash (May '24) = Gemini 1.5 Flash (May '24)
old60_only,FMR-0004,2024-06-12,Stable Diffusion 3,Stable Diffusion 3,Stable Diffusion 3 Medium,Stability AI,,,,,,
matched_new61,FMR-0005,2024-08-08,Gemini 1.5 Flash,Gemini 1.5 Flash,Gemini 1.5 Flash (Sep '24),Google,AIT-2024-08-006,2024-08,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,same_month,0,Gemini 1.5 Flash (May '24) = Gemini 1.5 Flash (Sep '24)
matched_new61,FMR-0006,2024-08-13,Grok 2,Grok 2,Grok 2 (Dec '24),xAI,AIT-2024-08-004,2024-08,Grok 2,same_month,0,Grok 2 = Grok 2 (Dec '24)
old60_only,FMR-0007,2024-08-28,Imagen 3,Imagen 3,Imagen 3 (v002),Google,,,,,,
matched_new61,FMR-0008,2024-09-12,o1 preview,o1 preview,o1-preview,OpenAI,AIT-2024-09-002,2024-09,o1 preview; o1 mini,same_month,0,o1-preview = o1-preview
matched_new61,FMR-0009,2024-09-12,o1 mini,o1 mini,o1-mini,OpenAI,AIT-2024-09-002,2024-09,o1 preview; o1 mini,same_month,0,o1-mini = o1-mini
matched_new61,FMR-0010,2024-09-24,Gemini 1.5 002 family,Gemini Pro 1.5 002; Gemini Flash 1.5 002,Gemini 1.5 Pro (Sep '24); Gemini 1.5 Flash (Sep '24),Google,AIT-2024-08-006,2024-08,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,adjacent_month,1,Gemini 1.5 Flash (May '24) = Gemini 1.5 Flash (Sep '24); Gemini 1.5 Pro (May '24) = Gemini 1.5 Pro (Sep '24)
matched_new61,FMR-0011,2024-10-03,Gemini 1.5 Pro,Gemini 1.5 Pro,Gemini 1.5 Pro (Sep '24),Google,AIT-2024-08-006,2024-08,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,time_far,2,Gemini 1.5 Pro (May '24) = Gemini 1.5 Pro (Sep '24)
matched_new61,FMR-0012,2024-10-03,Gemini 1.5 Flash8B,Gemini 1.5 Flash8B,Gemini 1.5 Flash-8B,Google,AIT-2024-08-006,2024-08,Gemini 1.5 Flash8B; Gemini 1.5 Pro; Gemini 1.5 Flash,time_far,2,Gemini 1.5 Flash-8B = Gemini 1.5 Flash-8B
matched_new61,FMR-0013,2024-10-22,Claude 3.5 Sonnet New / Haiku family,Claude 3.5 Sonnet New; Claude 3.5 Haiku,Claude 3.5 Sonnet (Oct '24); Claude 3.5 Haiku,Anthropic,AIT-2024-10-011; AIT-2024-11-007,2024-10; 2024-11,Claude 3.5 Haiku; Claude 3.5 Haiku,same_month; adjacent_month,0; 1,Claude 3.5 Haiku = Claude 3.5 Haiku; Claude 3.5 Haiku = Claude 3.5 Haiku
old60_only,FMR-0014,2024-11-12,Qwen2.5 Coder 32B,Qwen2.5 Coder 32B,Qwen2.5 Coder Instruct 32B,Alibaba,,,,,,
old60_only,FMR-0015,2024-12-06,Llama 3.3 70B,Llama 3.3 70B,Llama 3.3 Instruct 70B,Meta,,,,,,
matched_new61,FMR-0016,2024-12-09,SORA,SORA,Sora,OpenAI,AIT-2024-02-004; AIT-2024-12-002; AIT-2024-12-006,2024-02; 2024-12; 2024-12,Sora; SORA; o1; o1 Pro; GPT 4o; Veo 2; SORA,time_far; same_month; same_month,10; 0; 0,Sora = Sora; Sora = Sora; Sora = Sora
old60_only,FMR-0017,2024-12-11,Gemini-2.0-Flash-Thinking,Gemini-2.0-Flash-Thinking,Gemini 2.0 Flash Thinking Experimental (Dec '24),Google,,,,,,
matched_new61,FMR-0018,2024-12-17,o1,o1,o1,OpenAI,AIT-2024-12-002; AIT-2024-12-015; AIT-2025-01-003,2024-12; 2024-12; 2025-01,SORA; o1; o1 Pro; GPT 4o; o3; o3 Mini; o1; o1,same_month; same_month; adjacent_month,0; 0; 1,o1 = o1; o1 = o1; o1 = o1
matched_new61,FMR-0019,2024-12-17,o1 Pro,o1 Pro,o1-pro,OpenAI,AIT-2024-12-002,2024-12,SORA; o1; o1 Pro; GPT 4o,same_month,0,o1-pro = o1-pro
matched_new61,FMR-0020,2024-12-20,o3 family announcement,o3; o3 Mini,o3; o3-mini,OpenAI,AIT-2024-12-015; AIT-2025-01-007; AIT-2025-05-008,2024-12; 2025-01; 2025-05,o3; o3 Mini; o1; o3 mini; o3,same_month; adjacent_month; time_far,0; 1; 5,o3-mini = o3-mini; o3 = o3; o3-mini = o3-mini; o3 = o3
old60_only,FMR-0021,2025-01-22,DeepSeek R1,DeepSeek R1,DeepSeek R1 (Jan '25),DeepSeek,,,,,,
matched_new61,FMR-0022,2025-01-28,Qwen2.5-Max,Qwen2.5-Max,Qwen2.5 Max,Alibaba,AIT-2025-01-006,2025-01,Qwen2.5-Max; DeepSeek-V3; GPT-4o,same_month,0,Qwen2.5 Max = Qwen2.5 Max
matched_new61,FMR-0023,2025-01-31,o3 mini,o3 mini,o3-mini,OpenAI,AIT-2024-12-015; AIT-2025-01-007,2024-12; 2025-01,o3; o3 Mini; o1; o3 mini,adjacent_month; same_month,1; 0,o3-mini = o3-mini; o3-mini = o3-mini
matched_new61,FMR-0024,2025-02-05,Gemini 2.0 family,Gemini 2.0 Pro Experimental; Gemini 2.0 Flash,Gemini 2.0 Pro Experimental (Feb '25); Gemini 2.0 Flash (experimental),Google,AIT-2024-12-004; AIT-2024-12-005; AIT-2025-02-004; AIT-2025-03-004,2024-12; 2024-12; 2025-02; 2025-03,Gemini 2.0 Flash; Gemini 2.0 Flash; Gemini 2.0 Flash; Gemini 2.0 Flash-Lite Preview; Gemini 2.0 Pro Experimental; Gemini 2.0 Flash Experimental,time_far; time_far; same_month; adjacent_month,2; 2; 0; 1,Gemini 2.0 Flash (Feb '25) = Gemini 2.0 Flash; Gemini 2.0 Flash (Feb '25) = Gemini 2.0 Flash; Gemini 2.0 Pro Experimental (Feb '25) = Gemini 2.0 Pro Experimental (Feb '25); Gemini 2.0 Flash (Feb '25) = Gemini 2.0 Flash; Gemini 2.0 Flash Experimental = Gemini 2.0 Flash (experimental)
