source_row_number,event_name,creator,release_date,refined_event_type,aa_match_status,current_aa_candidate,match_score,failure_reason,candidate_1,candidate_2,candidate_3,recommended_action,manual_confirmed_model_id,manual_notes
3,AlphaEvolve,Google,2025/5/14,research_system,unmatched,,,research_system_not_on_leaderboard,Gemini 2.5 Pro Preview (May' 25) | id=073b5329-c4b3-4f1f-8f97-4753aadf4398 | score=0.1918 | method=fuzzy_name+creator | release_date=2025-05-06,Gemini 2.0 Flash-Lite (Preview) | id=3de55b83-e02b-412e-8211-315bbebe3e94 | score=0.1669 | method=fuzzy_name+creator | release_date=2025-02-05,Gemini 3.1 Flash-Lite Preview | id=598190f8-dc9c-4fea-a7ea-4b81c402ab18 | score=0.1669 | method=fuzzy_name+creator | release_date=2026-03-03,exclude_from_llm_leaderboard_merge,,
4,AlphaGeometry 2,Google,2024/7/25,research_system,unmatched,,,research_system_not_on_leaderboard,PALM-2 | id=515852e7-ba9c-4571-8cf9-82ad6b45f22f | score=0.4662 | method=fuzzy_name+creator | release_date=2023-05-10,Gemini 2.0 Flash-Lite (Preview) | id=3de55b83-e02b-412e-8211-315bbebe3e94 | score=0.1632 | method=fuzzy_name+creator | release_date=2025-02-05,Gemini 1.5 Flash (May '24) | id=ac48c49d-9e77-4394-ac4e-d1ee51fd5fee | score=0.135 | method=fuzzy_name+creator | release_date=2024-05-14,exclude_from_llm_leaderboard_merge,,
5,AlphaProof,Google,2024/7/25,research_system,unmatched,,,research_system_not_on_leaderboard,Gemini 1.5 Pro (May '24) | id=16f2578b-1b28-4be3-b371-700c2677bcd6 | score=0.1415 | method=fuzzy_name+creator | release_date=2024-05-15,Gemini 2.5 Pro Preview (Mar' 25) | id=62de31e8-a1a3-429c-b634-a2afccfd9363 | score=0.1382 | method=fuzzy_name+creator | release_date=2025-03-25,Gemini 2.5 Pro Preview (May' 25) | id=073b5329-c4b3-4f1f-8f97-4753aadf4398 | score=0.1382 | method=fuzzy_name+creator | release_date=2025-05-06,exclude_from_llm_leaderboard_merge,,
6,Amazon Nova,Amazon,2024/12/3,multimodal_model,matched_low_confidence,Nova Micro | id=344c6718-c573-41d4-9556-10287a3fa1fc | score=0.6733 | method=fuzzy_name+creator,0.6733,model_family_not_specific,Nova Micro | id=344c6718-c573-41d4-9556-10287a3fa1fc | score=0.6733 | method=fuzzy_name+creator | release_date=2024-12-03,Nova Lite | id=5c3dd927-48a3-4f3c-8045-9b135f62dfbb | score=0.5533 | method=fuzzy_name+creator | release_date=2024-12-03,Nova Pro | id=546ec53f-273c-4af7-b13f-b88c41f45905 | score=0.5322 | method=fuzzy_name+creator | release_date=2024-12-03,manual_select_specific_variant,,
12,ChatGPT Agent,OpenAI,2025/7/10,agent_product,matched_low_confidence,GPT-5 (ChatGPT) | id=eab1492c-b853-4852-aa71-06b0ec2481c1 | score=0.6068 | method=fuzzy_name+creator,0.6068,product_event_mislabeled_as_model,GPT-5 (ChatGPT) | id=eab1492c-b853-4852-aa71-06b0ec2481c1 | score=0.6068 | method=fuzzy_name+creator | release_date=2025-08-07,GPT-4o (ChatGPT) | id=b4784397-aa28-411b-b011-9c4331bfa9c8 | score=0.5533 | method=fuzzy_name+creator | release_date=2025-02-15,"GPT-4o (March 2025, chatgpt-4o-latest) | id=575498d6-60ec-466b-9372-fea19911fd07 | score=0.312 | method=fuzzy_name+creator | release_date=2025-03-27",reclassify_as_product_event,,
13,ChatGPT Atlas,OpenAI,2025/1/20,agent_product,unmatched,,,product_event_mislabeled_as_model,GPT-4o (ChatGPT) | id=b4784397-aa28-411b-b011-9c4331bfa9c8 | score=0.5442 | method=fuzzy_name+creator | release_date=2025-02-15,GPT-5 (ChatGPT) | id=eab1492c-b853-4852-aa71-06b0ec2481c1 | score=0.537 | method=fuzzy_name+creator | release_date=2025-08-07,"GPT-4o (March 2025, chatgpt-4o-latest) | id=575498d6-60ec-466b-9372-fea19911fd07 | score=0.3463 | method=fuzzy_name+creator | release_date=2025-03-27",reclassify_as_product_event,,
15,DALL-E 3,OpenAI,2023/9/20,image_model,unmatched,,,non_llm_endpoint_mismatch,GPT-3.5 Turbo | id=037dec2f-51e8-4127-a1f1-85155dae7a1d | score=0.1301 | method=fuzzy_name+creator | release_date=2022-11-30,GPT-4o (May '24) | id=e98e911e-9fb2-4a9a-826e-3d681d0cdca8 | score=0.0741 | method=fuzzy_name+creator | release_date=2024-05-13,GPT-4o (Aug '24) | id=8c1be908-67b6-4cf4-ba08-83ddbe44fde3 | score=0.0741 | method=fuzzy_name+creator | release_date=2024-08-06,use_aa_media_endpoint,,
16,Fara-7B,Microsoft,2025/11/1,text_llm,unmatched,,,genuinely_missing_from_aa,Phi-4 Mini Instruct | id=9f873c2f-2c2d-4ccb-9e1b-71bf61b052be | score=0.0 | method=fuzzy_name+creator | release_date=2024-02-26,Phi-3 Mini Instruct 3.8B | id=ded8d96e-835f-4359-947a-a4c3bb78e983 | score=0.0 | method=fuzzy_name+creator | release_date=2024-04-23,Phi-4 | id=ee708f92-374e-4123-b900-e22d7b2afc19 | score=0.0 | method=fuzzy_name+creator | release_date=2024-12-12,leave_metrics_blank_until_aa_adds_model,,
17,Florence 2,Microsoft,2024/6/21,multimodal_model,unmatched,,,genuinely_missing_from_aa,Phi-4 Multimodal Instruct | id=2cd04201-2b6e-47ef-853e-7601f705f2a8 | score=0.0257 | method=fuzzy_name+creator | release_date=2025-02-26,Phi-4 Mini Instruct | id=9f873c2f-2c2d-4ccb-9e1b-71bf61b052be | score=0.0 | method=fuzzy_name+creator | release_date=2024-02-26,Phi-3 Mini Instruct 3.8B | id=ded8d96e-835f-4359-947a-a4c3bb78e983 | score=0.0 | method=fuzzy_name+creator | release_date=2024-04-23,leave_metrics_blank_until_aa_adds_model,,
18,Fluid,Nvidia,2024/1/15,multimodal_model,unmatched,,,genuinely_missing_from_aa,Llama 3.1 Nemotron Instruct 70B | id=7393c56a-ec31-48e9-b804-c04f2d2cb641 | score=0.0129 | method=fuzzy_name+creator | release_date=2024-10-15,Llama 3.3 Nemotron Super 49B v1 (Non-reasoning) | id=c4c3b42f-e0f0-48ca-b6f9-b296e7697806 | score=0.0 | method=fuzzy_name+creator | release_date=2025-03-18,Llama 3.3 Nemotron Super 49B v1 (Reasoning) | id=1a8ba535-df18-459b-ad40-3199191296d7 | score=0.0 | method=fuzzy_name+creator | release_date=2025-03-18,leave_metrics_blank_until_aa_adds_model,,
