firm,firm_ticker,model_company,model,event_date,relationship,provisional_value,reason_for_review,key_sources,recommended_action
Oracle,ORCL,Meta,LLaMA 3,2024-04-18,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Imagen 3,2024-05-14,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini Flash 1.5,2024-05-30,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Stability AI,Stable Diffusion 3,2024-06-12,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini 1.5 Flash,2024-08-08,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,xAI,Grok 2,2024-08-13,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Imagen 3,2024-08-28,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,o1 preview,2024-09-12,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,OpenAI,o1 mini,2024-09-12,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini Pro 1.5 002; Gemini Flash 1.5 002,2024-09-24,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini 1.5 Pro,2024-10-03,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Google,Gemini 1.5 Flash8B,2024-10-03,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Anthropic,Claude 3.5 Sonnet New; Claude 3.5 Haiku,2024-10-22,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Alibaba,Qwen2.5 Coder 32B,2024-11-12,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
Oracle,ORCL,Meta,Llama 3.3 70B,2024-12-06,competitor,1,"[MAPPED from competitor] Strict competitor audit: Oracle OCI Generative AI is a cloud platform that hosts third-party models (Cohere, Llama). Oracle does not develop, release, sell, or operate its own directly competing foundation models or LLMs. A c",Oracle Official,Change to 0; verify if firm genuinely develops competing LLM/foundation model/AI platform
