event_id,vendor,model_names,aa_names,official_date,source_url,source_title,source_type,confidence,notes
AIT-2022-04-002,OpenAI,DALL-E 2,DALLE 2,,https://openai.com/index/dall-e-2/,DALL-E 2,official product/research page,low,"Official first-party page found, but the fetched page did not expose a publication date for the initial DALL-E 2 announcement. It only states phased deployment and beta availability later in 2022."
AIT-2023-03-002,OpenAI,GPT-4,GPT-4,2023-03-14,https://openai.com/index/gpt-4-research/,GPT-4,official research announcement,high,"OpenAI research page is dated March 14, 2023."
AIT-2023-10-001,OpenAI,DALL-E 3,DALLE 3,,https://openai.com/index/dall-e-3/,DALL-E 3,official research/product page,low,"Official first-party page found, but the fetched page did not expose a publication date. It states DALL-E 3 availability but not the dated announcement."
AIT-2024-05-001,OpenAI,GPT-4o model,GPT-4o (May '24),2024-05-13,https://openai.com/index/hello-gpt-4o/,Hello GPT-4o,official research/product announcement,high,"OpenAI page is dated May 13, 2024 and announces GPT-4o."
AIT-2024-07-001,OpenAI,GPT-4o mini,GPT-4o mini,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,GPT-4o mini: advancing cost-efficient intelligence,official product announcement,high,"OpenAI page is dated July 18, 2024 and says GPT-4o mini is available starting today."
AIT-2024-08-002,OpenAI,GPT-4o 0806,GPT-4o (Aug '24),,,,,low,"No first-party technical blog or dated announcement page was identified for the GPT-4o 0806 snapshot. The input/AA date was not copied into official_date without an official source."
AIT-2024-09-002,OpenAI,o1 preview; o1 mini,o1-preview; o1-mini,2024-09-12,https://openai.com/index/introducing-openai-o1-preview/,Introducing OpenAI o1-preview,official product announcement,high,"OpenAI page is dated September 12, 2024 and says o1-preview and o1-mini are released in ChatGPT and API."
AIT-2024-12-002,OpenAI,SORA; o1; o1 Pro,Sora; o1; o1-pro,2024-12-09; 2024-12-05; 2024-12-05,https://openai.com/index/sora-is-here/; https://help.openai.com/en/articles/6825453-chatgpt-release-notes,Sora is here; ChatGPT Release Notes,official product announcement; official release notes,medium,"Multi-model event. Sora page is dated December 9, 2024. o1 and o1 Pro dates are from first-party ChatGPT release notes rather than a dedicated dated page captured here."
AIT-2025-01-007,OpenAI,o3 mini,o3-mini (high),2025-01-31,https://openai.com/index/openai-o3-mini/,OpenAI o3-mini,official product/research announcement,high,"OpenAI page is dated January 31, 2025 and says o3-mini is available in ChatGPT and API today."
AIT-2025-02-007,OpenAI,GPT-4.5,GPT-4.5 (Preview),2025-02-27,https://openai.com/index/introducing-gpt-4-5/,Introducing GPT-4.5,official product/research announcement,high,"OpenAI page is dated February 27, 2025 and announces GPT-4.5 research preview."
AIT-2025-03-003,OpenAI,GPT-4o Image Generation,GPT Image 1 (high),2025-03-25,https://openai.com/index/introducing-4o-image-generation/,Introducing 4o Image Generation,official product/release announcement,high,"OpenAI page is dated March 25, 2025 and announces native image generation in GPT-4o. The API model gpt-image-1 was separately announced on April 23, 2025."
AIT-2025-04-004,OpenAI,GPT-4.1,GPT-4.1,2025-04-14,https://openai.com/index/gpt-4-1/,Introducing GPT-4.1 in the API,official product/research announcement,high,"OpenAI page is dated April 14, 2025 and launches GPT-4.1, GPT-4.1 mini, and GPT-4.1 nano in the API."
AIT-2025-04-005,OpenAI,o3 full; o4 mini,o3; o4-mini (high),2025-04-16,https://openai.com/index/introducing-o3-and-o4-mini/,Introducing OpenAI o3 and o4-mini,official product/research announcement,high,"OpenAI page is dated April 16, 2025 and announces o3 and o4-mini."
AIT-2025-06-003,OpenAI,o3 pro,o3-pro,2025-06-10,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,ChatGPT Release Notes,official release notes,medium,"OpenAI first-party release notes state that o3-pro became available on June 10, 2025. The o3/o4-mini page also notes this June 10 update."
AIT-2025-08-004,OpenAI,gpt-oss-120b; gpt-oss-20b,gpt-oss-120b (high); gpt-oss-20B (high),2025-08-05,https://openai.com/index/introducing-gpt-oss/,Introducing gpt-oss,official product/research announcement,high,"OpenAI page is dated August 5, 2025 and releases gpt-oss-120b and gpt-oss-20b."
AIT-2025-08-005,OpenAI,GPT-5,GPT-5 (high),2025-08-07,https://openai.com/index/introducing-gpt-5/,Introducing GPT-5,official product/research announcement,high,"OpenAI page is dated August 7, 2025 and introduces GPT-5."
AIT-2025-09-008,OpenAI,Sora 2,Sora 2 (October),2025-09-30,https://openai.com/index/sora-2/,Sora 2 is here,official product/research announcement,high,"OpenAI page is dated September 30, 2025 and says Sora 2 is being released. This differs from the AA label that says October."
AIT-2025-11-002,OpenAI,GPT 5.1,GPT-5.1 (high),2025-11-12,https://openai.com/index/gpt-5-1/,"GPT-5.1: A smarter, more conversational ChatGPT",official product/release announcement,high,"OpenAI page is dated November 12, 2025 and announces GPT-5.1 Instant and GPT-5.1 Thinking. This differs from the AA date 2025-11-13."
AIT-2025-12-002,OpenAI,GPT-5.2; GPT-Image 1.5,GPT-5.2 (xhigh); GPT Image 1.5 (high),2025-12-11; 2025-12-16,https://openai.com/index/introducing-gpt-5-2/; https://help.openai.com/en/articles/6825453-chatgpt-release-notes,Introducing GPT-5.2; ChatGPT Release Notes,official product/research announcement; official release notes,medium,"Multi-model event. GPT-5.2 page is dated December 11, 2025. GPT Image 1.5 is tied to the first-party ChatGPT Images release note dated December 16, 2025; no dedicated dated blog URL was verified here."
AIT-2026-02-002,OpenAI,GPT-5.3-Codex,GPT-5.3 Codex (xhigh),2026-02-05,https://openai.com/index/introducing-gpt-5-3-codex/,Introducing GPT-5.3-Codex,official product/research announcement,high,"OpenAI page is dated February 5, 2026 and introduces GPT-5.3-Codex."
AIT-2026-03-002,OpenAI,GPT-5.4; GPT-5.4 mini; GPT-5.4 nano,GPT-5.4 (xhigh); GPT-5.4 mini (xhigh); GPT-5.4 nano (xhigh),2026-03-05; 2026-03-17; 2026-03-17,https://help.openai.com/en/articles/6825453-chatgpt-release-notes; https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,ChatGPT Release Notes; Introducing GPT-5.4 mini and nano,official release notes; official product announcement,medium,"Multi-model event. GPT-5.4 flagship date is from first-party release notes. GPT-5.4 mini and nano page is dated March 17, 2026."
