company_id,creator,dimension,coder_a,coder_b,confidence_a,confidence_b,justification_a,justification_b,creator_event_count,event_rows_affected,audit_note
AMZN,Alibaba,upstream_cloud,0,1,H,M,Titan/Nova competes; AWS does not host Alibaba models,R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,7,7,云服务宽窄口径分歧。按宽口径，AWS 是 AI cloud 基础设施，B=1。按实际托管口径，A=0。建议先固定 R2 口径。
GOOGL,Google,upstream_cloud,0,1,H,H,Alphabet is Google's listed parent,F2:listed parent of Google model releases; R2:Google Cloud and Vertex AI infrastructure,19,19,自有发布方事件是否仍标 upstream_cloud 的口径分歧。codebook 示例不完全一致，建议统一 self-cloud 规则。
MSFT,Mistral AI,downstream_integrator,0,1,H,M,Azure hosts Mistral; Phi competes; EUR15M investment,F1:Microsoft minority investment in Mistral AI; R2:Azure cloud infrastructure for AI workloads; R6:Phi models and OpenAI partnership create model competition; R3:Microsoft Copilot integrates frontier LLM capability,2,2,Microsoft 是否对所有非自有发布方保持 R3 的一致性分歧。若 Copilot 暴露按 creator 通用处理，B=1。
QUBT,Alibaba,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,7,7,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,Anthropic,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,8,8,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,DeepSeek,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,1,1,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,Google,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,19,19,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,Kuaishou,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,1,1,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,Meta,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,2,2,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,Microsoft,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,1,1,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,Mistral AI,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,2,2,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,OpenAI,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,13,13,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,Runway,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,1,1,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,ShengShu Technology,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,1,1,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,Stability AI,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,1,1,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,Zhipu AI,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,1,1,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
QUBT,xAI,downstream_integrator,0,1,L,L,No meaningful LLM relationship — quantum-AI optimization marginal,R3:quantum-AI optimization with marginal LLM relevance,2,2,低置信度 R3 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,Alibaba,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,7,7,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,Anthropic,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,8,8,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,DeepSeek,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,1,1,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,Google,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,19,19,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,Kuaishou,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,1,1,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,Meta,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,2,2,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,Microsoft,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,1,1,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,Mistral AI,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,2,2,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,OpenAI,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,13,13,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,Runway,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,1,1,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,ShengShu Technology,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,1,1,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,Stability AI,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,1,1,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,Zhipu AI,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,1,1,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
WRD,xAI,downstream_deployer,0,1,L,L,Rugged computing; very limited AI relevance; conservative coding all 0,R4:rugged computing with limited AI deployment relevance,2,2,低置信度 R4 边界。codebook 表中列为 L，A 按保守全 0，B 按 inclusive L=1。保守 H/M 样本中该差异消失。
