final_event_id,release_date,release_year,release_month,release_quarter,trend_month_since_2022_11,event_name,true_model_creator,creator_country,creator_type,model_names,representative_model_name,merged_model_count,merge_rule,model_family,model_variants,model_modality,model_modalities,is_cross_modality_release,is_model_family,is_multimodal,is_reasoning_model,is_coding_model,is_media_generation_model,is_open_weight_or_open_source,is_chinese_model,candidate_tier,likely_us_market_relevance,potential_us_exposure_type,possible_us_exposed_tickers,needs_relationship_mapping,llm_capability_sample_flag,media_capability_sample_flag,representative_aa_model_id,representative_aa_model_name,representative_aa_creator_name,representative_aa_source_table,representative_selection_rule,aa_model_ids,aa_model_names,aa_intelligence_index,aa_coding_index,aa_math_index,mmlu_pro,gpqa,hle,livecodebench,scicode,math_500,aime,price_1m_input_tokens,price_1m_output_tokens,price_1m_blended_3_to_1,median_output_tokens_per_second,median_time_to_first_token_seconds,aa_media_elo,aa_media_rank,aa_media_ci95,aa_media_appearances,aa_media_category_rows
FMR-0001,2024-04-18,2024,2024-04,2024Q2,17,LLaMA 3,Meta,United States,listed_us_company,LLaMA 3,LLaMA 3,1,single_model_event,Llama,3,text_llm,text_llm,0,1,0,0,0,0,1,0,Tier 2,high,publisher,META,0,1,0,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,6.8,,0.574,0.379,0.044,0.198,0.189,0.483,0.0,0.65,2.75,1.175,46.417,0.664,,,,,
FMR-0002,2024-05-14,2024,2024-05,2024Q2,18,Imagen 3,Google,United States,listed_us_company,Imagen 3,Imagen 3,1,single_model_event,Imagen,3,image_generation,image_generation,0,1,1,0,0,1,0,0,Tier 2,high,publisher,GOOGL,0,0,1,fdca46eb-4014-45f5-b0aa-db73ee85deb1,Imagen 3 (v002),Google,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,fdca46eb-4014-45f5-b0aa-db73ee85deb1,Imagen 3 (v002),,,,,,,,,,,,,,,,1117.0,38.0,-1.0,4666.0,15.0
FMR-0003,2024-05-30,2024,2024-05,2024Q2,18,Gemini Flash 1.5,Google,United States,listed_us_company,Gemini Flash 1.5,Gemini Flash 1.5,1,single_model_event,Gemini,Flash 1.5,multimodal_llm,multimodal_llm,0,1,1,0,0,0,0,0,Tier 2,high,publisher,GOOGL,0,1,0,ac48c49d-9e77-4394-ac4e-d1ee51fd5fee,Gemini 1.5 Flash (May '24),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,ac48c49d-9e77-4394-ac4e-d1ee51fd5fee,Gemini 1.5 Flash (May '24),10.5,,,0.574,0.324,0.042,0.196,0.181,0.554,0.093,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0004,2024-06-12,2024,2024-06,2024Q2,19,Stable Diffusion 3,Stability AI,United Kingdom,private_non_us_company,Stable Diffusion 3,Stable Diffusion 3,1,single_model_event,Stable Diffusion,3,image_generation,image_generation,0,0,0,0,0,1,0,0,Tier 1,high,media_generation_competition,ADBE,1,0,1,71604070-731c-4009-b97a-79f92da9b643,Stable Diffusion 3 Medium,Stability.ai,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,71604070-731c-4009-b97a-79f92da9b643,Stable Diffusion 3 Medium,,,,,,,,,,,,,,,,917.0,109.0,-1.0,10761.0,15.0
FMR-0005,2024-08-08,2024,2024-08,2024Q3,21,Gemini 1.5 Flash,Google,United States,listed_us_company,Gemini 1.5 Flash,Gemini 1.5 Flash,1,single_model_event,Gemini,1.5 Flash,text_llm,text_llm,0,1,0,0,0,0,0,0,Tier 2,high,publisher,GOOGL,0,1,0,41faf421-118b-465b-b170-d200776580d1,Gemini 1.5 Flash (Sep '24),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,41faf421-118b-465b-b170-d200776580d1,Gemini 1.5 Flash (Sep '24),13.8,,,0.68,0.463,0.035,0.273,0.267,0.827,0.18,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0006,2024-08-13,2024,2024-08,2024Q3,21,Grok 2,xAI,United States,private_us_company,Grok 2,Grok 2,1,single_model_event,Grok,2,text_llm,text_llm,0,1,0,0,0,0,0,0,Tier 1,high,compute_supplier_demand,NVDA,1,1,0,291a510a-dcc0-40df-8a80-b3aa31900a6c,Grok 2 (Dec '24),xAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,291a510a-dcc0-40df-8a80-b3aa31900a6c,Grok 2 (Dec '24),13.9,,,0.709,0.51,0.038,0.267,0.285,0.778,0.133,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0007,2024-08-28,2024,2024-08,2024Q3,21,Imagen 3,Google,United States,listed_us_company,Imagen 3,Imagen 3,1,single_model_event,Imagen,3,image_generation,image_generation,0,0,0,0,0,1,0,0,Tier 1,high,publisher,GOOGL,0,0,1,fdca46eb-4014-45f5-b0aa-db73ee85deb1,Imagen 3 (v002),Google,aa_media_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,fdca46eb-4014-45f5-b0aa-db73ee85deb1,Imagen 3 (v002),,,,,,,,,,,,,,,,1117.0,38.0,-1.0,4666.0,15.0
FMR-0008,2024-09-12,2024,2024-09,2024Q3,22,o1 preview,OpenAI,United States,private_us_company,o1 preview,o1 preview,1,single_model_event,o-series,,reasoning_llm,reasoning_llm,0,1,0,1,1,0,0,0,Tier 2,high,strategic_partner,MSFT;NVDA,1,1,0,078f4dc8-5350-40a2-a5ea-e8359f795b70,o1-preview,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,078f4dc8-5350-40a2-a5ea-e8359f795b70,o1-preview,23.7,34.0,,,,,,,0.924,,16.5,66.0,28.875,0.0,0.0,,,,,
FMR-0009,2024-09-12,2024,2024-09,2024Q3,22,o1 mini,OpenAI,United States,private_us_company,o1 mini,o1 mini,1,single_model_event,o-series,,reasoning_llm,reasoning_llm,0,1,0,1,1,0,0,0,Tier 2,high,strategic_partner,MSFT;NVDA,1,1,0,b515503d-4d65-4a3f-8a4a-6c731e2b079f,o1-mini,OpenAI,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,b515503d-4d65-4a3f-8a4a-6c731e2b079f,o1-mini,20.4,,,0.742,0.603,0.049,0.576,0.323,0.944,0.603,0.0,0.0,0.0,0.0,0.0,,,,,
FMR-0010,2024-09-24,2024,2024-09,2024Q3,22,Gemini 1.5 002 family,Google,United States,listed_us_company,Gemini Pro 1.5 002; Gemini Flash 1.5 002,Gemini Pro 1.5 002,2,Gemini 1.5 002 family,Gemini,Pro 1.5 002; Flash 1.5 002,text_llm,text_llm,0,1,0,0,0,0,0,0,Tier 2,high,publisher,GOOGL,0,1,0,2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9,Gemini 1.5 Pro (Sep '24),Google,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,2ac96b67-f4f8-4c8c-ac08-c7510faa7bb9; 41faf421-118b-465b-b170-d200776580d1,Gemini 1.5 Pro (Sep '24); Gemini 1.5 Flash (Sep '24),16.0,23.6,,0.75,0.589,0.049,0.316,0.295,0.876,0.23,0.0,0.0,0.0,0.0,0.0,,,,,
