event_id,ai_year,ai_month,model_names,aa_names,aa_release_dates,aa_creators,model_count,event_text
AIT-2024-08-004,2024,August,Grok 2,Grok 2 (Dec '24),2024-12-12,xAI,1,"xAI Corporation has launched the models Grok 2 and Grok 2 mini , which demonstrate performance on par with leading SOTA models in the market."
AIT-2024-09-008,2024,September,Moshi,Moshi,,Kyutai,1,"Kyutai releases two opensource versions of its voicetovoice model, Moshi ."
AIT-2024-12-001,2024,December,NOVA,Nova Pro; Nova Lite; Nova Micro,2024-12-03; 2024-12-03; 2024-12-03,Amazon,3,"Amazon introduced a new series of models called NOVA , designed for text, image, and video processing."
AIT-2025-02-001,2025,February 2025,Grok 3; Grok 3 Reasoning; Grok 3 mini,Grok 3; Grok 3 Reasoning Beta; Grok 3 mini Reasoning (high),2025-02-19; 2025-02-19; 2025-02-19,xAI,3,"xAI launches Grok 3 , Grok 3 Reasoning and Grok 3 mini , next-generation AI models trained with 10 times the computing power of Grok 2, significantly improving SOTA performance. They include ""Think"" and ""Big Brain"" modes for advanced reasoning, as well as DeepSearch for autonomous web searches."
AIT-2025-06-002,2025,June 2025,Eleven v3 (alpha),Eleven v3,,ElevenLabs,1,ElevenLabs rolls out Eleven v3 (alpha) TTS with fine grained emotion control and support for 70+ languages.
AIT-2025-07-001,2025,July 2025,Grok 4,Grok 4,2025-07-10,xAI,1,"xAI releases Grok 4 , achieving a new SOTA of 15.9% on ARC-AGI v2 and 25.4% on Humanity’s Last Exam."
AIT-2025-11-003,2025,November 2025,Grok 4.1,Grok 4.1 Fast (Reasoning),2025-11-19,xAI,1,"xAI released Grok 4.1 , combining high EQ with strong logic to top the LM Arena leaderboard."
AIT-2025-12-004,2025,December 2025,Nova 2; Nova 2 Sonic,Nova 2.0 Omni (medium); Nova 2.0 Pro Preview (medium); Nova 2.0 Sonic,2025-11-26; 2025-11-27; ,Amazon,3,"Amazon unveils the Nova 2 series, highlighted by Nova 2 Sonic , a native speech-to-speech model delivering ultra-low latency and natural conversation flow."
AIT-2025-12-006,2025,December 2025,Grok Voice Agent API,Grok Voice Agent,,xAI,1,"xAI launches the Grok Voice Agent API , enabling native, real-time bidirectional audio streaming for developers."
AIT-2025-12-009,2025,December 2025,MiniMax-M2.1,MiniMax-M2.1,2025-12-23,MiniMax,1,"MiniMax releases MiniMax-M2.1 , a 200k-context MoE model that rises to the top of web development and coding leaderboards, establishing itself as a leading open model for developers."
AIT-2026-01-004,2026,January 2026,Imagine Video,grok-imagine-video,2026-01,xAI,1,"xAI launches Imagine Video , a video generation model in Grok that quickly rises to the top of public leaderboards."
AIT-2026-02-006,2026,February 2026,Grok 4.20,Grok 4.20 0309 v2 (Reasoning),2026-04-07,xAI,1,"xAI releases Grok 4.20 , an updated flagship model with improved reasoning and chat performance."
