final_event_id,release_date,release_year,release_month,release_quarter,trend_month,event_name,Unnamed: 7,true_model_creator,creator_country,creator_type,model_names,company,搜索代码1,搜索代码2,company_id,relationship_old,industry,industry_2,size_log_assets,bm_ratio,volatility,momentum,car_pre,car_1,car_2,car_3,car_5,car_10,car_15,car_20,"FF3异常收益[-10,-2]",ff3_car_1,ff3_car_2,ff3_car_3,ff3_car_5,ff3_car_10,ff3_car_15,ff3_car_20,"媒体态度均值(2,2)",媒体态度标准差,"媒体态度均值(3,3)","媒体态度均值(5,5)","媒体态度均值(10,10)","媒体态度均值(15,15)","媒体态度均值(20,20)",填充代表性 AA 能力指标的模型,合并事件包含的原始模型行数量,合并规则,模型家族名称,模型变体信息,model_modality,该事件包含的所有模态,是否跨模态发布,是否为模型家族或多模型事件,是否包含多模态模型,是否包含推理模型,是否包含代码模型,是否包含图像、视频等媒体生成模型,is_open_weight,is_chinese_model,candidate_tier,对美股 AI 相关公司的潜在相关性,潜在美股暴露类型，用于后续公司-事件关系映射,显而易见的潜在美股暴露 ticker,是否仍需构造公司,是否可进入 LLM 能力机制样本,是否可进入 media 模型能力补充样本,代表模型在 Artificial Analysis 中的名称,代表模型在 Artificial Analysis 中的发布者名称,模型来自 AA LLM 表还是 AA media 表,模型选择规则说明,该事件中所有匹配到的 AA 模型 ID,该事件中所有匹配到的 AA 模型名称,aa_intelligence_index,relationship_notes,upstream_hardware,upstream_cloud,downstream_integrator,downstream_deployer,downstream_enabler,competitor,is_investor,is_owner,relationship_confidence,relationship_justification
FMR-0001,2024/4/18,2024,24-Apr,2024Q2,17,LLaMA 3,Meta-Llama-3-8B model card,Meta,United States,listed_us_company,LLaMA 3,三星电子,三星电子45400,三星电子2024Q2,005930 KS,,信息技术,半导体和半导体设备,8.324,0.659,0.200787418063588,0.1876019575856444,-0.022798061,-0.025643232,-0.033070035,-0.047721697,-0.086227012,-0.082457371,-0.073859736,-0.001144348,-0.013077439,-0.032734522,-0.032794798,-0.047619937,-0.091332659,-0.086005752,-0.075211234,-0.024299362,0.1005636817745624,0.3457705588519821,0.1003324515999309,0.112317135406507,0.0853794315321879,0.0831696991201328,0.0876426256802534,LLaMA 3,1,single_model_event,Llama,3,text_llm,text_llm,0,1,0,0,0,0,1,0,Tier 2,high,publisher,META,0,1,0,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,No identified relationship,1,0,0,0,0,0,0,0,H,HBM/DRAM supplier and chip foundry for AI infrastructure
FMR-0001,2024/4/18,2024,24-Apr,2024Q2,17,LLaMA 3,Meta-Llama-3-8B model card,Meta,United States,listed_us_company,LLaMA 3,Alphabet（谷歌）,Alphabet（谷歌）45400,Alphabet（谷歌）2024Q2,GOOGL,,通信服务,互联网服务和基础设施,9.74,0.167,0.3020170362530958,0.4532572328281834,0.044657657,0.016389825,0.015413468,0.010943624,0.014717612,0.147179219,0.101333149,0.134744377,0.041891756,0.026680525,0.024142509,0.021391023,0.026600018,0.153922017,0.112939007,0.140151306,0.1005636817745624,0.3457705588519821,0.1003324515999309,0.112317135406507,0.0853794315321879,0.0831696991201328,0.0876426256802534,LLaMA 3,1,single_model_event,Llama,3,text_llm,text_llm,0,1,0,0,0,0,1,0,Tier 2,high,publisher,META,0,1,0,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Google Cloud AI services, Google Workspace AI features, search AI — positioned a); competitor=1 (high)",0,1,0,0,0,1,0,0,H,GCP hosts AI workloads; Gemini competes
FMR-0001,2024/4/18,2024,24-Apr,2024Q2,17,LLaMA 3,Meta-Llama-3-8B model card,Meta,United States,listed_us_company,LLaMA 3,美光科技,美光科技45400,美光科技2024Q2,MU,,信息技术,半导体和半导体设备,6.618,0.568,0.3436208518878107,0.6551358983409814,0.009956499,-0.111163707,-0.108653711,-0.099965599,-0.092478656,-0.093498904,-0.127343773,-0.070872252,0.028268295,-0.13576675,-0.126328261,-0.122237348,-0.120948086,-0.098030405,-0.120202129,-0.060366811,0.1005636817745624,0.3457705588519821,0.1003324515999309,0.112317135406507,0.0853794315321879,0.0831696991201328,0.0876426256802534,LLaMA 3,1,single_model_event,Llama,3,text_llm,text_llm,0,1,0,0,0,0,1,0,Tier 2,high,publisher,META,0,1,0,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,No identified relationship,1,0,0,0,0,0,0,0,H,HBM and DRAM memory for AI training/inference
FMR-0001,2024/4/18,2024,24-Apr,2024Q2,17,LLaMA 3,Meta-Llama-3-8B model card,Meta,United States,listed_us_company,LLaMA 3,AMD,AMD45400,AMD2024Q2,AMD,,信息技术,半导体和半导体设备,7.78,0.221,0.5120329712421097,0.9485895339329518,0.029741208,-0.064734234,-0.04089472,-0.02828047,-0.042892939,-0.029747544,-0.128101901,-0.12691749,0.02984523,-0.048856652,-0.026232815,-0.011150002,-0.024582272,-0.01501355,-0.097158329,-0.109819234,0.1005636817745624,0.3457705588519821,0.1003324515999309,0.112317135406507,0.0853794315321879,0.0831696991201328,0.0876426256802534,LLaMA 3,1,single_model_event,Llama,3,text_llm,text_llm,0,1,0,0,0,0,1,0,Tier 2,high,publisher,META,0,1,0,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,No identified relationship,1,0,0,0,0,0,0,0,H,MI-series AI accelerators and EPYC CPUs for AI training/inference
FMR-0001,2024/4/18,2024,24-Apr,2024Q2,17,LLaMA 3,Meta-Llama-3-8B model card,Meta,United States,listed_us_company,LLaMA 3,SK海力士,SK海力士45400,SK海力士2024Q2,000660 KS,,信息技术,半导体和半导体设备,6.51,0.56,0.3191742013378649,0.9559523809523808,0.009352042,-0.032017687,-0.057469912,-0.051043684,-0.083054676,-0.034572045,-0.088498121,-0.060070807,0.022772483,-0.050952907,-0.066071816,-0.064075673,-0.102069465,-0.043999458,-0.086816786,-0.092035215,0.1005636817745624,0.3457705588519821,0.1003324515999309,0.112317135406507,0.0853794315321879,0.0831696991201328,0.0876426256802534,LLaMA 3,1,single_model_event,Llama,3,text_llm,text_llm,0,1,0,0,0,0,1,0,Tier 2,high,publisher,META,0,1,0,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,upstream=1 (low),1,0,0,0,0,0,0,0,H,HBM memory supplier for AI training/inference infrastructure
FMR-0001,2024/4/18,2024,24-Apr,2024Q2,17,LLaMA 3,Meta-Llama-3-8B model card,Meta,United States,listed_us_company,LLaMA 3,阿里巴巴,阿里巴巴45400,阿里巴巴2024Q2,BABA,,非必需消费品,互联网零售,7.87,0.55,0.3533626474182875,-0.099777723,0.018081263,-0.004515226,-0.007023368,-0.012048281,-0.002622652,0.025183662,0.049238375,0.027898791,0.020442069,-0.008457638,-0.009777213,-0.015966317,-0.007267473,0.023779951,0.05109914,0.028901021,0.1005636817745624,0.3457705588519821,0.1003324515999309,0.112317135406507,0.0853794315321879,0.0831696991201328,0.0876426256802534,LLaMA 3,1,single_model_event,Llama,3,text_llm,text_llm,0,1,0,0,0,0,1,0,Tier 2,high,publisher,META,0,1,0,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Alibaba Cloud AI, e-commerce AI features — positioned as both competitor (Qwen) ); competitor=1 (high)",0,1,0,0,0,1,0,0,H,Alibaba Cloud hosts AI workloads; Qwen competes
FMR-0001,2024/4/18,2024,24-Apr,2024Q2,17,LLaMA 3,Meta-Llama-3-8B model card,Meta,United States,listed_us_company,LLaMA 3,台积电,台积电45400,台积电2024Q2,TSM,,信息技术,半导体和半导体设备,8.592,0.274,0.3533626474182875,-0.099777723,0.028066251,-0.064627331,-0.065681515,-0.062009497,-0.058732173,-0.011814425,-0.003901903,0.026270778,0.021339578,-0.051250165,-0.055189486,-0.049152863,-0.043269596,-0.006151073,0.001847001,0.027027836,0.1005636817745624,0.3457705588519821,0.1003324515999309,0.112317135406507,0.0853794315321879,0.0831696991201328,0.0876426256802534,LLaMA 3,1,single_model_event,Llama,3,text_llm,text_llm,0,1,0,0,0,0,1,0,Tier 2,high,publisher,META,0,1,0,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,business_upstream=1 by researcher convention (TSMC is universal upstream); upstream=1 (medium),1,0,0,0,0,0,0,0,H,Fabricates AI chips for NVIDIA/AMD and other AI silicon designers
FMR-0001,2024/4/18,2024,24-Apr,2024Q2,17,LLaMA 3,Meta-Llama-3-8B model card,Meta,United States,listed_us_company,LLaMA 3,特斯拉,特斯拉45400,特斯拉2024Q2,TSLA,,非必需消费品,汽车制造,9.066,0.0734,0.4567380322814464,-0.035141287,0.037332834,-0.024850442,-0.043194914,-0.076816802,-0.106300738,0.154740838,0.275595321,0.215673194,0.031416789,-0.037124794,-0.056123112,-0.09140946,-0.120425622,0.137569723,0.234271013,0.190766865,0.1005636817745624,0.3457705588519821,0.1003324515999309,0.112317135406507,0.0853794315321879,0.0831696991201328,0.0876426256802534,LLaMA 3,1,single_model_event,Llama,3,text_llm,text_llm,0,1,0,0,0,0,1,0,Tier 2,high,publisher,META,0,1,0,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,No identified relationship,0,0,0,1,0,0,0,0,H,FSD uses AI; core is automotive/energy
FMR-0001,2024/4/18,2024,24-Apr,2024Q2,17,LLaMA 3,Meta-Llama-3-8B model card,Meta,United States,listed_us_company,LLaMA 3,苹果,苹果45400,苹果2024Q2,AAPL,,信息技术,技术硬件、存储和外围设备,10.214,0.0227,0.1826389248148363,0.120774193548387,0.047276245,-0.002126261,-0.016622973,-0.024347231,-0.025392715,0.063053239,0.169355532,0.162709079,0.033816203,0.008827958,-0.010202842,-0.015658455,-0.012689393,0.059813748,0.150349479,0.147402283,0.1005636817745624,0.3457705588519821,0.1003324515999309,0.112317135406507,0.0853794315321879,0.0831696991201328,0.0876426256802534,LLaMA 3,1,single_model_event,Llama,3,text_llm,text_llm,0,1,0,0,0,0,1,0,Tier 2,high,publisher,META,0,1,0,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Apple Intelligence, Siri, on-device AI features — positioned as both competitor ); No identified relationship",0,0,0,0,0,1,0,0,M,Apple Intelligence competes with all foundation model creators
FMR-0001,2024/4/18,2024,24-Apr,2024Q2,17,LLaMA 3,Meta-Llama-3-8B model card,Meta,United States,listed_us_company,LLaMA 3,博通,博通45400,博通2024Q2,AVGO,,信息技术,半导体和半导体设备,2.83,0.04,0.371712734930101,0.9606973058637084,0.049388348,-0.063214046,-0.046419852,-0.04465752,-0.057637056,0.032076913,-0.037833491,-0.00493626,0.047760318,-0.047778564,-0.032638408,-0.028403982,-0.03982723,0.044687734,-0.012908208,0.008222541,0.1005636817745624,0.3457705588519821,0.1003324515999309,0.112317135406507,0.0853794315321879,0.0831696991201328,0.0876426256802534,LLaMA 3,1,single_model_event,Llama,3,text_llm,text_llm,0,1,0,0,0,0,1,0,Tier 2,high,publisher,META,0,1,0,Llama 3 Instruct 70B,Meta,aa_llm_models,highest AA Intelligence Index for LLM releases; highest AA media Elo for media releases; representative row used for reported capability metrics,aa83359a-d804-4f0b-b5bf-dc637711c26f,Llama 3 Instruct 70B,8.9,No identified relationship,1,0,0,0,0,0,0,0,H,Custom AI accelerators (e.g. Google TPU) and data center networking
