event_id,ai_year,ai_month,official_date,official_date_all,model_names,aa_creators,model_count,date_status,date_confidence,date_source_types
AIT-2022-04-002,2022,April,2022-04-06,2022-04-06,DALL-E 2,OpenAI,1,day_resolved,medium,official page (dated via Wayback first snapshot)
AIT-2022-10-001,2022,October,2022-10-20,2022-10-20,Stable Diffusion 1.5,Stability.ai,1,day_resolved,medium,first-party model repo (dated via Wayback first snapshot)
AIT-2022-12-001,2022,December,2022-12-07,2022-12-07,Stable Diffusion 2.1,Stability.ai,1,day_resolved,high,official blog; official blog not retrieved
AIT-2023-03-002,2023,March,2023-03-14,2023-03-14,GPT-4,OpenAI,1,day_resolved,high,official research announcement
AIT-2023-05-002,2023,May,2023-05-10,2023-05-10,PaLM 2,Google,1,day_resolved,high,Google Blog
AIT-2023-07-001,2023,July,2023-07-26,2023-07-26,Stable Diffusion XL 1.0,Stability.ai,1,day_resolved,high,official blog; first-party model card
AIT-2023-07-002,2023,July,2023-07-11,2023-07-11,Claude 2,Anthropic,1,day_resolved,high,official_news
AIT-2023-07-003,2023,July,2023-07-18,2023-07-18,LLaMA 2,Meta,3,day_resolved,high,official_blog
AIT-2023-10-001,2023,October,2023-10-19,2023-10-19,DALL-E 3,OpenAI,1,day_resolved,medium,official blog (dated via Wayback first snapshot)
AIT-2023-12-001,2023,December,2023-12-20,2023-12-20,Midjourney v6,Midjourney,1,day_resolved,high,official documentation
AIT-2023-12-002,2023,December,2023-12-06,2023-12-06,Gemini Pro,Google,1,day_resolved,high,Google Blog
AIT-2024-02-001,2024,February,2024-02-22,2024-02-22,Stable Diffusion 3,Stability.ai,2,day_resolved,high,official blog
AIT-2024-02-003,2024,February,2024-02-15,2024-02-15,Gemini Pro 1.5,Google,1,day_resolved,high,Google Blog
AIT-2024-03-002,2024,March,2024-03-04,2024-03-04,Claude 3,Anthropic,3,day_resolved,high,official_news
AIT-2024-04-001,2024,April,2024-04-03,2024-04-03,Stable Audio 2.0,Stability.ai,1,day_resolved,high,official blog
AIT-2024-04-003,2024,April,2024-04-17,2024-04-17,Mixtral 8x22B,Mistral,1,day_resolved,high,official_blog
AIT-2024-04-004,2024,April,2024-04-18,2024-04-18,LLaMA 3,Meta,2,day_resolved,high,official_blog
AIT-2024-04-005,2024,April,2024-04-23,2024-04-23,Phi-3-mini,Microsoft,1,day_resolved,high,official_blog
AIT-2024-05-001,2024,May,2024-05-13,2024-05-13,GPT-4o model,OpenAI,1,day_resolved,high,official research/product announcement
AIT-2024-05-002,2024,May,2024-05-14,2024-05-14,Gemini Flash 1.5 model,Google,1,day_resolved,high,Google Blog
AIT-2024-06-001,2024,June,2024-06-12,2024-06-12,Stable Diffusion 3,Stability.ai,1,day_resolved,high,official blog
AIT-2024-06-003,2024,June,2024-06-17,2024-06-17,DeepSeekCoderV2,DeepSeek,1,day_resolved,high,first-party_technical_report
AIT-2024-06-004,2024,June,2024-06-17,2024-06-17,Gen3 Alpha,Runway,1,day_resolved,high,official research blog
AIT-2024-06-005,2024,June,2024-06-20,2024-06-20,Claude Sonnet 3.5,Anthropic,1,day_resolved,high,official_news
AIT-2024-07-001,2024,July,2024-07-18,2024-07-18,GPT-4o mini,OpenAI,1,day_resolved,high,official product announcement
AIT-2024-07-002,2024,July,2024-07-23,2024-07-23,llama 3.1 model,Meta,3,day_resolved,high,official_blog
AIT-2024-07-006,2024,July,2024-07-23,2024-07-23,Udio v1.5,Udio,1,day_resolved,high,official blog
AIT-2024-07-007,2024,July,2024-07-24,2024-07-24,Mistral Large 2,Mistral,1,day_resolved,high,official_blog
AIT-2024-07-008,2024,July,2024-07-30,2024-07-30,Midjourney v6.1,Midjourney,1,day_resolved,high,official documentation
AIT-2024-08-001,2024,August,2024-08-01,2024-08-01,Flux,Black Forest Labs,3,day_resolved,high,official blog
AIT-2024-08-002,2024,August,2024-08-06,2024-08-06,GPT-4o 0806,OpenAI,1,day_resolved,high,official blog (dated via Wayback first snapshot)
AIT-2024-08-003,2024,August,2024-08-13,2024-08-13,Imagen 3,Google,1,day_resolved,medium,first-party technical report (arXiv)
AIT-2024-08-004,2024,August,2024-08-13,2024-08-13,Grok 2,xAI,1,day_resolved,high,official technical blog
AIT-2024-08-006,2024,August,2024-08-27,2024-08-27,Gemini 1.5 Flash8B,Google,1,day_resolved,high,official changelog
AIT-2024-09-002,2024,September,2024-09-12,2024-09-12,o1 preview; o1 mini,OpenAI,2,day_resolved,high,official product announcement
AIT-2024-09-003,2024,September,2024-09-19,2024-09-19,Qwen 2.5,Alibaba,2,day_resolved,high,official_technical_blog
