source_row_number,event_name,creator_original,creator,release_date_raw,release_date,release_month_original,release_month,manual_sota,manual_reason,duplicate_group_size,manual_review_issues
2,AI Overviews,Google,Google,2024.05.14,2024-05-14,2024.5,2024-05,,,,missing_manual_sota; missing_manual_reason
4,AlphaGeometry 2,Google,Google,2024.07.25,2024-07-25,2024.7,2024-07,1,,,missing_manual_reason
5,AlphaProof,Google,Google,2024.07.25,2024-07-25,2024.7,2024-07,1,,,missing_manual_reason
7,Amazon Nova Act,Amazon,Amazon,2025.04.01,2025-04-01,2025.4,2025-04,,,,missing_manual_sota; missing_manual_reason
8,Apple Intelligence,Apple,Apple,2024.06.10,2024-06-10,2024.6,2024-06,,,,missing_manual_sota; missing_manual_reason
9,Bard,Google,Google,2023.03.21,2023-03-21,2023.3,2023-03,,,,missing_manual_sota; missing_manual_reason
10,Bing AI,Microsoft,Microsoft,2023.02.07,2023-02-07,2023.2,2023-02,,,,missing_manual_sota; missing_manual_reason
11,ChatGPT,Openai,OpenAI,2022.11.30,2022-11-30,2022.11,2022-11,,,,missing_manual_sota; missing_manual_reason
12,ChatGPT Agent,Openai,OpenAI,2025.07.10,2025-07-10,2025.7,2025-07,,,,missing_manual_sota; missing_manual_reason
13,ChatGPT Atlas,Openai,OpenAI,2025.01.20,2025-01-20,2025.1,2025-01,,,,missing_manual_sota; missing_manual_reason
14,Codex,OpenAI,OpenAI,2025.05.13,2025-05-13,2025.5,2025-05,,,,missing_manual_sota; missing_manual_reason
19,Gemini 1.5,Google,Google,2024.02.15,2024-02-15,2024.8,2024-02,1,Google旗舰Pro系列，冲SOTA,,release_date_month_conflict
33,Gemma 2 2B,Google,Google,2024.07.30,2024-07-30,2024.7,2024-07,0,,,missing_manual_reason
37,Google Jules,Google,Google,2025.05.10,2025-05-10,2025.5,2025-05,,,,missing_manual_sota; missing_manual_reason
49,GPT Operator,OpenAI,OpenAI,2025.01.23,2025-01-23,2025.1,2025-01,,,,missing_manual_sota; missing_manual_reason
52,GPT-4o Image Generation,OpenAI,OpenAI,2025.03.25,2025-03-25,2025.3,2025-03,,,,missing_manual_sota; missing_manual_reason
63,Grok AI,XAI,xAI,2023.12.07,2023-12-07,2023.12,2023-12,,,,missing_manual_sota; missing_manual_reason
64,Grok Voice Agent API,XAI,xAI,2025.12.01,2025-12-01,2025.12,2025-12,,,,missing_manual_sota; missing_manual_reason
79,NotebookLM,Google,Google,2024.09.20,2024-09-20,2024.9,2024-09,,,,missing_manual_sota; missing_manual_reason
81,OpenAI Deep Research,OpenAI,OpenAI,2025.02.02,2025-02-02,2025.2,2025-02,,,,missing_manual_sota; missing_manual_reason
90,Search GPT,OpenAI,OpenAI,2024.07.25,2024-07-25,2024.7,2024-07,,,,missing_manual_sota; missing_manual_reason
