entity_id,entity_name,event_id,algorithmic_level,algorithmic_aa_name,action,final_aa_name,reason
AIT-2022-02-001-E01,Midjourney v1,AIT-2022-02-001,exact_or_near_exact,Midjourney v6,unmatched,,AA 未收录 2022 图像模型 v1（AA 的 Midjourney V1 是 2025-06 视频模型，不同产品）
AIT-2022-03-001-E02,code-davinci-002,AIT-2022-03-001,low,GPT-5.1 Codex mini (high),unmatched,,AA 未收录 2022 年 code-davinci-002
AIT-2022-04-001-E01,Midjourney v2,AIT-2022-04-001,exact_or_near_exact,Midjourney v6,unmatched,,AA 未收录该历史版本
AIT-2022-07-001-E01,Midjourney v3,AIT-2022-07-001,exact_or_near_exact,Midjourney v6,unmatched,,AA 未收录该历史版本
AIT-2022-08-001-E01,Stable Diffusion 1.4,AIT-2022-08-001,exact_or_near_exact,Stable Diffusion 1.6,unmatched,,AA 未收录 1.4
AIT-2022-11-002-E01,Midjourney v4,AIT-2022-11-002,exact_or_near_exact,Midjourney v6,unmatched,,AA 未收录该历史版本
AIT-2022-11-003-E01,Stable Diffusion 2.0,AIT-2022-11-003,exact_or_near_exact,Stable Diffusion 2.1,unmatched,,AA 未收录 2.0
AIT-2023-02-001-E01,LLaMA,AIT-2023-02-001,exact_or_near_exact,Llama 3.3 Instruct 70B,unmatched,,AA 未收录初代 LLaMA
AIT-2023-03-001-E01,Midjourney v5,AIT-2023-03-001,exact_or_near_exact,Midjourney v6,unmatched,,AA 未收录该历史版本
AIT-2023-04-001-E01,Firefly,AIT-2023-04-001,exact_or_near_exact,Firefly Image 5 Preview,unmatched,,AA 未收录初代 Firefly
AIT-2023-05-001-E01,Midjourney v5.1,AIT-2023-05-001,exact_or_near_exact,Midjourney v6.1,unmatched,,AA 未收录该历史版本
AIT-2023-06-001-E01,Midjourney v5.2,AIT-2023-06-001,exact_or_near_exact,Midjourney v6.1,unmatched,,AA 未收录该历史版本
AIT-2023-07-003-E01-R1,LLaMA 2,AIT-2023-07-003,exact_or_near_exact,Llama 2 Chat 7B,redirect,Llama 2 Chat 70B,家族全收（原仅配到 7B）
AIT-2023-07-003-E01-R2,LLaMA 2,AIT-2023-07-003,exact_or_near_exact,Llama 2 Chat 7B,redirect,Llama 2 Chat 13B,家族全收（原仅配到 7B）
AIT-2023-07-003-E01-R3,LLaMA 2,AIT-2023-07-003,exact_or_near_exact,Llama 2 Chat 7B,redirect,Llama 2 Chat 7B,家族全收（原仅配到 7B）
AIT-2023-10-002-E01,Firefly 2,AIT-2023-10-002,medium,Firefly Image 4,unmatched,,AA 的 Firefly Image 3/4/5 编号体系与 Firefly 2 不对应
AIT-2023-11-001-E01,Stable Diffusion XL Turbo,AIT-2023-11-001,high,Stable Diffusion 3 Large Turbo,unmatched,,AA 未收录 SDXL Turbo（原错配到 SD3 Large Turbo）
AIT-2023-12-002-E01,Gemini Pro,AIT-2023-12-002,exact_or_near_exact,"Gemini 3 Pro (High), Google",redirect,Gemini 1.0 Pro,2023-12 Bard 升级即 Gemini 1.0 Pro 发布（原错配到 Gemini 3 Pro）
AIT-2024-02-001-E01-R1,Stable Diffusion 3,AIT-2024-02-001,exact_or_near_exact,Stable Diffusion 3.5 Large,redirect,Stable Diffusion 3 Large,2月宣布对应 AA 同月的 Large/Large Turbo，家族全收
AIT-2024-02-001-E01-R2,Stable Diffusion 3,AIT-2024-02-001,exact_or_near_exact,Stable Diffusion 3.5 Large,redirect,Stable Diffusion 3 Large Turbo,2月宣布对应 AA 同月的 Large/Large Turbo，家族全收
AIT-2024-02-002-E01,Gemini Pro,AIT-2024-02-002,exact_or_near_exact,"Gemini 3 Pro (High), Google",unmatched,,Bard 改名/多语言扩展提及，Gemini Pro 发布为 2023-12 事件
AIT-2024-02-004-E01,Sora,AIT-2024-02-004,exact_or_near_exact,Sora 2 Pro,unmatched,,announce（'not released to the public at this time'），release 为 2024-12 事件
AIT-2024-03-001-E01,Grok 1.5,AIT-2024-03-001,exact_or_near_exact,Grok-1,unmatched,,AA 未收录 Grok 1.5
AIT-2024-03-002-E01-R1,Claude 3,AIT-2024-03-002,exact_or_near_exact,Claude 3.5 Sonnet (Oct '24),redirect,Claude 3 Opus,AA 有同月的 Claude 3 三尺寸，家族全收
AIT-2024-03-002-E01-R2,Claude 3,AIT-2024-03-002,exact_or_near_exact,Claude 3.5 Sonnet (Oct '24),redirect,Claude 3 Sonnet,AA 有同月的 Claude 3 三尺寸，家族全收
AIT-2024-03-002-E01-R3,Claude 3,AIT-2024-03-002,exact_or_near_exact,Claude 3.5 Sonnet (Oct '24),redirect,Claude 3 Haiku,AA 有同月的 Claude 3 三尺寸，家族全收
AIT-2024-03-003-E01,Suno v3,AIT-2024-03-003,exact_or_near_exact,Suno V5,unmatched,,AA 未收录 Suno V3
AIT-2024-04-002-E01,Grok-1.5V,AIT-2024-04-002,exact_or_near_exact,Grok-1,unmatched,,AA 未收录 Grok 1.5V
AIT-2024-04-004-E01-R1,LLaMA 3,AIT-2024-04-004,exact_or_near_exact,Llama 3.3 Instruct 70B,redirect,Llama 3 Instruct 70B,AA 有同月的 Llama 3 两尺寸，家族全收
AIT-2024-04-004-E01-R2,LLaMA 3,AIT-2024-04-004,exact_or_near_exact,Llama 3.3 Instruct 70B,redirect,Llama 3 Instruct 8B,AA 有同月的 Llama 3 两尺寸，家族全收
AIT-2024-05-002-E02,Imagen 3,AIT-2024-05-002,exact_or_near_exact,Imagen 3 (v002),unmatched,,I/O announce，release 为 2024-08 事件
AIT-2024-05-002-E03,Music AI,AIT-2024-05-002,medium,Studio,unmatched,,Google I/O 功能代号，非独立可交易模型
AIT-2024-05-002-E04,Veo,AIT-2024-05-002,exact_or_near_exact,Veo 3 Preview,unmatched,,AA 未收录初代 Veo
AIT-2024-05-002-E05,Astra model,AIT-2024-05-002,medium,Standard,unmatched,,Project Astra 是产品代号，非独立模型
AIT-2024-05-003-E02,Phi-3 Small,AIT-2024-05-003,low,Phi-3 Mini Instruct 3.8B,unmatched,,AA 仅收录 Phi-3 Mini，具名兄弟型号不视为同一模型
AIT-2024-05-003-E03,Phi-3 Medium,AIT-2024-05-003,medium,Phi-3 Mini Instruct 3.8B,unmatched,,AA 仅收录 Phi-3 Mini
AIT-2024-05-003-E04,Phi-3 Vision,AIT-2024-05-003,medium,Phi-3 Mini Instruct 3.8B,unmatched,,AA 仅收录 Phi-3 Mini
AIT-2024-05-005-E01,Mistral-7B-Instruct-v0.3,AIT-2024-05-005,exact_or_near_exact,Mistral 7B Instruct,unmatched,,AA 仅有 2023-09 初代 Mistral 7B Instruct，v0.3 更新未收录
AIT-2024-05-007-E01,Suno v3.5,AIT-2024-05-007,exact_or_near_exact,Suno V5.5,unmatched,,AA 未收录 Suno V3.5
AIT-2024-05-008-E01,Codestral,AIT-2024-05-008,high,Devstral 2,unmatched,,AA 未收录 Codestral（原错配到 Devstral 2）
AIT-2024-06-001-E01,Stable Diffusion 3,AIT-2024-06-001,exact_or_near_exact,Stable Diffusion 3.5 Large,redirect,Stable Diffusion 3 Medium,6月发布 medium 2B，事件文本明示
AIT-2024-06-004-E01,Runway,AIT-2024-06-004,exact_or_near_exact,Runway Gen-4.5,unmatched,,公司名被误标为模型实体（Gen3 Alpha 已单独匹配）
AIT-2024-06-007-E01,Gemma 2,AIT-2024-06-007,high,"Gemma 4 12B, Google",unmatched,,AA 未收录 Gemma 2
AIT-2024-07-002-E01-R1,llama 3.1 model,AIT-2024-07-002,exact_or_near_exact,Llama 3.1 Instruct 405B,redirect,Llama 3.1 Instruct 405B,家族全收
AIT-2024-07-002-E01-R2,llama 3.1 model,AIT-2024-07-002,exact_or_near_exact,Llama 3.1 Instruct 405B,redirect,Llama 3.1 Instruct 70B,家族全收
AIT-2024-07-002-E01-R3,llama 3.1 model,AIT-2024-07-002,exact_or_near_exact,Llama 3.1 Instruct 405B,redirect,Llama 3.1 Instruct 8B,家族全收
AIT-2024-07-003-E01,Codestral Mamba,AIT-2024-07-003,medium,Mistral Saba,unmatched,,AA 未收录
AIT-2024-07-003-E02,Mistral NeMo,AIT-2024-07-003,high,Mistral Medium,unmatched,,AA 未收录 Mistral NeMo（原错配到 Mistral Medium）
AIT-2024-07-003-E03,Mathstral,AIT-2024-07-003,medium,Mistral Saba,unmatched,,AA 未收录
AIT-2024-07-006-E01,Udio v1.5,AIT-2024-07-006,exact_or_near_exact,Udio v1.5 Allegro,confirm,Udio v1.5 Allegro,AA 仅收录 Allegro 档，同版本算 match
AIT-2024-07-008-E01,Midjourney v6.1,AIT-2024-07-008,exact_or_near_exact,Midjourney v6,redirect,Midjourney v6.1,AA 有同名同月记录，此前被排序 bug 埋没
AIT-2024-07-009-E01,Gemma 2 2B,AIT-2024-07-009,high,Gemma 4 12B (Non-reasoning),unmatched,,AA 未收录 Gemma 2
AIT-2024-08-001-E01-R1,Flux,AIT-2024-08-001,exact_or_near_exact,FLUX.2 [max],redirect,FLUX.1 [pro],2024-08 FLUX.1 家族发布，家族全收（原错配到 FLUX.2）
AIT-2024-08-001-E01-R2,Flux,AIT-2024-08-001,exact_or_near_exact,FLUX.2 [max],redirect,FLUX.1 [dev],2024-08 FLUX.1 家族发布，家族全收（原错配到 FLUX.2）
AIT-2024-08-001-E01-R3,Flux,AIT-2024-08-001,exact_or_near_exact,FLUX.2 [max],redirect,FLUX.1 [schnell],2024-08 FLUX.1 家族发布，家族全收（原错配到 FLUX.2）
AIT-2024-08-003-E01,Imagen 3,AIT-2024-08-003,exact_or_near_exact,Imagen 3 (v002),confirm,Imagen 3 (v002),AA 仅收录 v002 构建，同版本算 match（release 事件保留在此）
AIT-2024-08-004-E01,Grok 2,AIT-2024-08-004,exact_or_near_exact,Grok 2 (Dec '24),confirm,Grok 2 (Dec '24),AA 仅有 Dec '24 快照，无 8 月快照，保留
AIT-2024-08-004-E02,Grok 2 mini,AIT-2024-08-004,exact_or_near_exact,Grok 2 (Dec '24),unmatched,,AA 未收录 mini，事件由 Grok 2 记录覆盖
