"event_id","model_names","representative_aa_name","model_modalities","is_cross_modality_release","is_model_family","is_multimodal","is_reasoning_model","is_coding_model","is_media_generation_model","is_open_weight_or_open_source","is_chinese_model","notes","coder","coded_at"
"AIT-2022-04-002","DALL-E 2","DALLE 2","text-to-image","0","0","0","0","0","1","0","0","代表模型为 DALLE 2，AA 模态为 text-to-image；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2022-10-001","Stable Diffusion 1.5","Stable Diffusion 1.5","text-to-image","0","0","0","0","0","1","1","0","代表模型为 Stable Diffusion 1.5，AA 模态为 text-to-image；事件包含媒体生成模态；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2022-12-001","Stable Diffusion 2.1","Stable Diffusion 2.1","text-to-image","0","0","0","0","0","1","1","0","代表模型为 Stable Diffusion 2.1，AA 模态为 text-to-image；事件包含媒体生成模态；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2023-03-002","GPT-4","GPT-4","language","0","0","1","0","0","0","0","0","代表模型为 GPT-4，AA 模态为 language；代表模型支持多模态输入或输出。","B","2026-07-03"
"AIT-2023-05-002","PaLM 2","PALM-2","language","0","0","0","0","0","0","0","0","代表模型为 PALM-2，AA 模态为 language；未触发家族、多模态、推理、代码、媒体、开放权重或中国生态标签。","B","2026-07-03"
"AIT-2023-07-001","Stable Diffusion XL 1.0","Stable Diffusion XL 1.0","text-to-image","0","0","0","0","0","1","1","0","代表模型为 Stable Diffusion XL 1.0，AA 模态为 text-to-image；事件包含媒体生成模态；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2023-07-002","Claude 2","Claude 2.0","language","0","0","0","0","0","0","0","0","代表模型为 Claude 2.0，AA 模态为 language；未触发家族、多模态、推理、代码、媒体、开放权重或中国生态标签。","B","2026-07-03"
"AIT-2023-07-003","LLaMA 2","Llama 2 Chat 7B","language","0","1","0","0","0","0","1","0","代表模型为 Llama 2 Chat 7B，AA 模态为 language；同事件含同系列多规格或多档变体；事件含开放权重或开源主要模型。","B","2026-07-03"
"AIT-2023-10-001","DALL-E 3","DALLE 3","text-to-image","0","0","0","0","0","1","0","0","代表模型为 DALLE 3，AA 模态为 text-to-image；事件包含媒体生成模态。","B","2026-07-03"
"AIT-2023-12-001","Midjourney v6","Midjourney v6","text-to-image","0","0","0","0","0","1","0","0","代表模型为 Midjourney v6，AA 模态为 text-to-image；事件包含媒体生成模态。","B","2026-07-03"
