scope_key,company_id,creator,final_event_id,relationship_dimension,provisional_value,confidence,rule_basis,risk_note,recommended_check
company_creator,MSFT,OpenAI,,upstream_cloud|downstream_integrator|competitor|is_investor,1,H,F1:Microsoft equity investment in OpenAI; R2:Azure cloud infrastructure for AI workloads; R6:Phi models and OpenAI partnership create model competition; R3:Microsoft Copilot integrates frontier LLM capability,Microsoft is investor not owner,manual review if changing cloud width or modality-specific coding
company_creator,MSFT,Microsoft,,upstream_cloud|is_owner,1,H,F2:listed parent of Microsoft model releases; R2:Azure cloud infrastructure for AI workloads,own Phi events should not be competitor,manual review if changing cloud width or modality-specific coding
company_creator,MSFT,Mistral AI,,upstream_cloud|downstream_integrator|competitor|is_investor,1,M,F1:Microsoft minority investment in Mistral AI; R2:Azure cloud infrastructure for AI workloads; R6:Phi models and OpenAI partnership create model competition; R3:Microsoft Copilot integrates frontier LLM capability,minor investment must still be captured,manual review if changing cloud width or modality-specific coding
company_creator,GOOGL,Google,,upstream_cloud|is_owner,1,H,F2:listed parent of Google model releases; R2:Google Cloud and Vertex AI infrastructure,own Google events should not be competitor,manual review if changing cloud width or modality-specific coding
company_creator,GOOGL,Anthropic,,upstream_cloud|competitor|is_investor,1,H,F1:Google equity investment in Anthropic; R2:Google Cloud and Vertex AI infrastructure; R6:Gemini Imagen and Veo compete across model modalities,investor plus cloud plus competitor,manual review if changing cloud width or modality-specific coding
company_creator,AMZN,Anthropic,,upstream_cloud|competitor|is_investor,1,M,F1:Amazon equity investment in Anthropic; R2:AWS cloud infrastructure and AI workloads; R6:Titan and Nova models compete in foundation models,investor plus cloud plus competitor,manual review if changing cloud width or modality-specific coding
company_creator,CRM,Anthropic,,downstream_integrator|is_investor,1,M,F1:Salesforce Ventures investment in Anthropic; R3:Einstein GPT and Agentforce integrated into CRM platform,Salesforce Ventures investment plus R3,manual review if changing cloud width or modality-specific coding
company_creator,BABA,Alibaba,,upstream_cloud|is_owner,1,H,F2:listed parent of Alibaba model releases; R2:Alibaba Cloud infrastructure and AI services,own Alibaba events should not be competitor,manual review if changing cloud width or modality-specific coding
company_creator,META,Meta,,is_owner,1,H,F2:listed parent of Meta model releases,own Meta events should not be competitor,manual review if changing cloud width or modality-specific coding
company_creator,NVDA,OpenAI,,upstream_hardware,1,H,R1:GPU and AI accelerator supplier for LLM training and inference,NVIDIA upstream hardware not competitor,manual review if changing cloud width or modality-specific coding
company_creator,ORCL,xAI,,upstream_cloud,1,H,R2:OCI GPU cloud infrastructure for AI workloads,Oracle is cloud not model competitor,manual review if changing cloud width or modality-specific coding
company_creator,IBM,OpenAI,,downstream_enabler|competitor,1,M,R6:Granite models compete in enterprise foundation models; R5:IBM Consulting helps enterprises adopt AI,IBM can be R5 and R6,manual review if changing cloud width or modality-specific coding
company_creator,HPE,OpenAI,,upstream_hardware|downstream_enabler,1,M,R1:AI-optimized servers and HPC systems; R5:enterprise AI infrastructure and implementation services,HPE can be R1 and R5 with medium confidence,manual review if changing cloud width or modality-specific coding
company_creator,HUT,OpenAI,,downstream_deployer,1,M,R4:crypto mining business transitioning toward AI and HPC hosting,Hut 8 R2 versus R4 boundary,manual review if changing cloud width or modality-specific coding
company_creator,EXPN LN,OpenAI,,downstream_integrator,1,M,R3:AI-enhanced data and credit analytics products,professional information service coded R3,manual review if changing cloud width or modality-specific coding
company_creator,TRI,OpenAI,,downstream_integrator,1,M,R3:AI-powered professional information products,professional information service coded R3,manual review if changing cloud width or modality-specific coding
company_creator,WKL NA,OpenAI,,downstream_integrator,1,M,R3:AI-powered professional workflow products,professional information service coded R3,manual review if changing cloud width or modality-specific coding
company_creator,ACN,OpenAI,,downstream_enabler,1,H,R5:IT consulting firm helping enterprises deploy GenAI,consulting firm coded R5 not R3,manual review if changing cloud width or modality-specific coding
company_creator,AAPL,Google,,competitor,1,M,R6:Apple Intelligence and on-device foundation models,Apple competitor with medium confidence,manual review if changing cloud width or modality-specific coding
company_creator,700 HK,Kuaishou,,competitor,1,M,R6:Hunyuan models compete in foundation models,Tencent is not Kuaishou owner,manual review if changing cloud width or modality-specific coding
