firm,firm_ticker,model_company,model,event_date,owner,investor,cloud,business_upstream,real_upstream,business_downstream,real_downstream,competitor,notes
Samsung Electronics,005930 KS,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Alphabet,GOOGL,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Google Cloud AI services, Google Workspace AI features, search AI — positioned a); competitor=1 (high)"
Micron Technology,MU,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
AMD,AMD,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
SK Hynix,000660 KS,Meta,LLaMA 3,2024-04-18,0,0,0,1,1,0,0,0,upstream=1 (low)
Alibaba,BABA,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,1,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Alibaba Cloud AI, e-commerce AI features — positioned as both competitor (Qwen) ); competitor=1 (high)"
TSMC,TSM,Meta,LLaMA 3,2024-04-18,0,0,0,1,1,0,0,0,business_upstream=1 by researcher convention (TSMC is universal upstream); upstream=1 (medium)
Tesla,TSLA,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
Apple,AAPL,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,"[NARROWED] business_downstream changed 1→0: Removed from business_downstream under narrowed definition. Firm is better treated as model owner, competitor, cloud/inf; business_downstream=1 (Apple Intelligence, Siri, on-device AI features — positioned as both competitor ); No identified relationship"
Broadcom,AVGO,Meta,LLaMA 3,2024-04-18,0,0,0,0,0,0,0,0,No identified relationship
