event_id,ai_year,ai_month,model_names,aa_names,aa_release_dates,aa_creators,model_count,event_text
AIT-2023-07-003,2023,July,LLaMA 2,Llama 2 Chat 70B; Llama 2 Chat 13B; Llama 2 Chat 7B,2023-07-18; 2023-07-18; 2023-07-18,Meta,3,Meta releases the LLaMA 2 open source language model to the general public in a variety of sizes.
AIT-2024-04-003,2024,April,Mixtral 8x22B,Mixtral 8x22B Instruct,2024-04-17,Mistral,1,The Mistral company releases its new model Mixtral 8x22B as open source. This is the most powerful model among the open source models and it contains 141 billion parameters but uses a method that allows more economical use.
AIT-2024-04-004,2024,April,LLaMA 3,Llama 3 Instruct 70B; Llama 3 Instruct 8B,2024-04-18; 2024-04-18,Meta,2,Meta releases the LLaMA 3 model as open source in sizes 8B and 70B parameters. The large model shows better performance than Claude 3 Sonnet and Gemini Pro 1.5 in several measures. Meta is expected to later release larger models with 400 billion parameters and more.
AIT-2024-04-005,2024,April,Phi-3-mini,Phi-3 Mini Instruct 3.8B,2024-04-23,Microsoft,1,"Microsoft releases the Phi-3-mini model in open source. The model comes in a reduced version of 3.8B parameters, which allows it to run on mobile devices as well, and it presents capabilities similar to GPT-3.5."
AIT-2024-07-002,2024,July,llama 3.1 model,Llama 3.1 Instruct 405B; Llama 3.1 Instruct 70B; Llama 3.1 Instruct 8B,2024-07-23; 2024-07-23; 2024-07-23,Meta,3,"Meta releases as open source the llama 3.1 model in sizes 8B, 70B and 405B. The large model features the same capabilities as the best closed source models"
AIT-2024-07-007,2024,July,Mistral Large 2,Mistral Large 2 (Jul '24),2024-07-24,Mistral,1,"Mistral AI has released a large language model Mistral Large 2 in size 123B, which presents capabilities close to the closed SOTA models."
AIT-2024-09-006,2024,September,Llama 3.2,Llama 3.2 Instruct 90B (Vision); Llama 3.2 Instruct 11B (Vision); Llama 3.2 Instruct 3B; Llama 3.2 Instruct 1B,2024-09-25; 2024-09-25; 2024-09-25; 2024-09-25,Meta,4,"Meta releases Llama 3.2 in sizes 1B, 3B, 11B and 90B, featuring image recognition capabilities for the first time."
AIT-2024-09-010,2024,September,Mistral Small,Mistral Small (Sep '24),2024-09-17,Mistral,1,Mistral AI launches a 22B model named Mistral Small .
AIT-2024-11-005,2024,November,Pixtral Large,Pixtral Large,2024-11-18,Mistral,1,"Mistral AI launched the Pixtral Large model, a multimodal language model excelling in image recognition and advanced performance metrics, and an update to Mistral Large, 2411."
AIT-2024-12-008,2024,December,Phi4,Phi-4,2024-12-12,Microsoft,1,"Microsoft open-sourced the Phi4 model, sized at 14B, showcasing impressive capabilities for its size."
AIT-2024-12-009,2024,December,Llama 3.3 70B,Llama 3.3 Instruct 70B,2024-12-06,Meta,1,"Meta released Llama 3.3 70B , a model offering performance comparable to Llama 3.1 405B ."
AIT-2025-02-006,2025,February 2025,Phi4-mini; Phi4 Multimodal,Phi-4 Mini Instruct; Phi-4 Multimodal Instruct,2024-02-26; 2025-02-26,Microsoft,2,"Microsoft presents Phi4-mini and Phi4 Multimodal , lightweight models (3.8B and 5.6B) with enhanced performance, including support for multimodal inputs."
AIT-2025-04-001,2025,April 2025,Llama 4,Llama 4 Maverick; Llama 4 Scout,2025-04-05; 2025-04-05,Meta,2,Meta releases Llama 4 in three sizes with a context window of 10 million tokens and medium performance.
AIT-2025-12-001,2025,December 2025,Mistral 3; Devstral 2,Mistral Large 3; Ministral 3 3B; Ministral 3 8B; Ministral 3 14B; Devstral 2,2025-12-02; 2025-12-02; 2025-12-02; 2025-12-02; 2025-12-09,Mistral,5,"Mistral AI launches the Mistral 3 family (Large & Ministral) alongside Mistral OCR 3 and the Devstral 2 coding series, reinforcing its open-weight leadership with advanced agentic workflows and Vibe CLI integration."
AIT-2026-03-003,2026,March 2026,Mistral Small 4,Mistral Small 4 (Reasoning),2026-03-16,Mistral,1,"Mistral AI releases Mistral Small 4 , a multimodal open model that unifies reasoning, coding, and vision capabilities."
